tier,subtier,phase,target_launch_offset_days,target_launch_offset_label,organizations,org_count,expected_response_rate_pct,success_criterion,gate_required,notes
1,1C,Active outreach wave 2,11,Day 11 (Week 2),"National Bail Fund Network; 4 local/regional mutual aid networks",5,15-25%,At least 3 of 5 confirmed delivered; at least 1 click or forward by Day 14,Gate 1,Switch to Template 1C (shorter; Signal-native format). These audiences have security culture — no need to explain what Signal is.
1,1C,Active outreach wave 2,12,Day 12 (Week 2),"5 mutual aid networks (Food Not Bombs chapters; Anarchist Black Cross affiliates; local mutual aid)",5,15-25%,At least 3 of 5 confirmed delivered,Gate 1,Template 1C. Post directly in Signal/Slack/Discord channels if you have access — outperforms cold email for these networks.
1,1A+1B+1C,Week 2 mid-course correction,14,Day 14 (end of Week 2),"All Week 2 sends",25,Review only,Classify all Week 2 contacts by score 0-5; Week 1 follow-ups due for non-responders (Template R2),Gate 2 prep,"If response rate across both weeks is below 5% (fewer than 3 responses from 50 sends), trigger Scenario A pivot review before continuing to Week 3"
1,1C,Active outreach wave 3,15,Day 15 (Week 3),"3-5 remaining new contacts (any subtier)",3-5,10-20%,At least 2 confirmed delivered; begin Week 1 follow-up batch,Gate 2 prep,Lower pace — Week 3 is primarily catch-up and follow-up management
1,1A+1B,Follow-up wave 1,16,Day 16 (Week 3),"Week 1 sends that have not responded (Score 1 contacts)",Varies,5-10%,Send Template R2 to all non-responders from Days 1-3; update tracking spreadsheet,Gate 2 prep,Maximum 2 contacts per organization (1 initial + 1 follow-up). Never send a third email.
1,mixed,Active catch-up + follow-up,17,Day 17 (Week 3),"3-5 remaining new contacts + follow-up batch",3-5,10-15%,Remaining new sends complete; follow-up sent to Week 1 Days 4-5 non-responders,Gate 2 prep,By end of Day 17 the full contact list of 50+ should be exhausted for initial sends
1,mixed,Follow-up completion,19,Day 19 (Week 3),"All remaining follow-ups",Varies,5-10%,All tracking spreadsheet rows have a final status (Sent; Response type; or Follow-up sent); Week 3 log complete,Gate 2 prep,Close out any remaining sends; review spreadsheet completeness before beginning Tier 2 preparation
1,mixed,Follow-up loop,22,Week 4,"Week 2 sends non-responders; Week 3 non-responders",Varies,5-10%,Template R2 sent to all Week 2 and Week 3 non-responders; all engagement responses answered (Template R1) within 24 hours,Gate 2 assessment,~2-3 hours this week; no new outreach
1,mixed,Follow-up loop,29,Week 5,"Week 3 and 4 non-responders; final response handling",Varies,2-5%,Final response handling complete; all contacts classified with final status; Gate 2 assessment documented,Gate 2 assessment,"At end of Week 5, assess Gate 2 criteria: volume (40+ contacted); response signal (10%+ rate or 3+ Score-3 contacts); no critical failure"
0,transition,Tier 2 preparation,22,Weeks 4-5 (parallel with T1 follow-up),"Internal preparation only — no outreach",0,N/A,Top 5 Tier 2A contacts researched and verified; Tier 2 email templates personalized; May 2026 threat briefings attached per TIER2_MESSAGING_TEMPLATES.md; sector-specific briefing files prepared,Gate 2,"This preparation runs parallel to Tier 1 follow-up; ~2 hours/week"
2,2A,Active outreach wave 1,35,Week 5 (or Week 4 if T1 high-response scenario),"EFF; CDT; Access Now; Privacy International; Tor Project",5,15-25%,At least 3 of 5 confirmed delivered; at least 1 acknowledgment from a named digital rights organization by Day 42,Gate 2,Highest amplification reach. Lead with subject line variants from TIER2_MESSAGING_TEMPLATES.md. Attach tier2-digital-rights-threat-briefing.md.
2,2A,Active outreach wave 1,36,Week 5-6,"Mozilla Foundation; STOP; EPIC; Center for Digital Democracy; Restore the Fourth; Fight for the Future; Demand Progress",7,10-20%,At least 4 of 7 confirmed delivered; track response type (Acknowledged vs. Engagement vs. Decline),Gate 2,Second 2A wave. Use engagement data from first 5 to refine subject line. EPIC particularly relevant due to FOIA-source alignment with corpus methodology.
2,2A+2D,Week 5-6 mid-course correction,42,Day 42 (Week 6 midpoint),"All 2A sends",12,Review only,Classify all 2A contacts by score; at least 2 Score 3+ contacts (clicks or replies) to confirm Tier 2 framing is working before beginning 2D,Gate 2 ongoing,If no Score 3+ contacts after 12 sends: adjust subject line; check whether attach-or-link decision for threat briefings needs revision
2,2D,Active outreach wave 2,43,Week 7,"Freedom of the Press Foundation; IRE; CPJ; Reporters Committee for Freedom of the Press; SPJ; NAHJ; AAJA",7,10-20%,At least 4 of 7 confirmed delivered; FPF response is highest-value outcome (SecureDrop integration potential); at least 1 acknowledgment from any journalist org by Day 56,Gate 3 prep,Attach tier2-journalists-threat-briefing.md. Lead with source protection angle; secondary angle is threat model as background for reporting. News cycles move fast — send 2D early.
2,2B,Active outreach wave 3,50,Weeks 8-9 (semester timing: avoid May-August),"CMU CyLab; UC Berkeley CLTC; MIT CSAIL/IPRI; UW Security Lab; Stanford Cyber Policy Center; Harvard Berkman Klein; Georgia Tech IISP; RPI CCC; Northeastern CPI",9,5-15%,At least 6 of 9 confirmed delivered; at least 1 curriculum interest or research engagement signal by Day 70,Gate 3 prep,"Slower response cycles — semester-driven. Attach tier2-academic-cybersecurity-threat-briefing.md. Lead with peer-review invitation framing; secondary is curriculum value. Do NOT send during May-August; delay to September if timing conflicts."
2,2C,Active outreach ongoing,50,Weeks 8-12 (ongoing),"DEF CON community; CCC; Black Hat CFP; ShmooCon; 3-5 individual surveillance researchers",5,5-15%,At least 1 researcher provides substantive technical feedback (validation or corrections) by Day 84; at least 1 conference channel submission acknowledged,Gate 3 prep,"Attach tier2-researcher-communities-threat-briefing.md. Peer-to-peer framing required — treat as reviewer not audience. CTA is technical review, not distribution."
2,2A,Follow-up wave,57,Week 9,"2A non-responders; any 2D non-responders",Varies,5-10%,Template R2 sent to all non-responders from 2A and 2D first sends; engagement responses answered within 24 hours,Gate 3 prep,Maximum 2 contacts per organization
2,2B+2C,Follow-up wave,70,Week 10-11,"2B non-responders",Varies,5-10%,Template R2 sent to 2B non-responders; Gate 3 criteria assessed at end of Week 10,Gate 3 assessment,"At end of Week 10: assess Gate 3 criteria: volume (25+ Tier 2 contacts); institutional validation signal (1+ acknowledged from EFF/CDT/Access Now/FPF/academic); 6-week minimum from T2 launch"
0,transition,Tier 3 preparation,64,Weeks 10-11 (parallel with T2 follow-up),"Internal preparation only",0,N/A,Priority 3A contacts researched and verified (Georgetown CPT; ACLU SPT; Brennan Center; New America OTI); Tier 3 emails personalized with specific org publication references; any Tier 2 citations documented for Tier 3 credibility compounding,Gate 3,"This preparation runs parallel to Tier 2 follow-up; ~2 hours/week. Harder research than T2 — staff turnover in policy organizations is high."
3,3A,Active outreach wave 1,77,Week 11,"Georgetown Center on Privacy & Technology; ACLU Speech Privacy & Technology Project; Brennan Center for Justice; New America/OTI; Brookings CTI",5,10-20%,At least 3 of 5 confirmed delivered; Georgetown CPT and ACLU SPT are priority — engagement from either constitutes strong Gate 3 success,Gate 3,Georgetown CPT: reference American Dragnet directly — corpus is companion work. ACLU SPT: frame around their litigation against warrantless commercial data purchases. Attach any T2 citation if available.
3,3A,Active outreach wave 2,84,Week 12,"CNAS; Aspen Digital; EPIC; Center for Constitutional Rights; Cato Institute Civil Liberties Project; R Street Institute; Future of Privacy Forum",7,5-15%,At least 4 of 7 confirmed delivered; at least 1 policy organization begins internal review (any score 3+ contact),Gate 3,CNAS: frame around government data integrity and rule-of-law (not civil liberties). CATO/R Street: Fourth Amendment angle for cross-aisle reach.
3,3B,Active outreach wave 3,91,Week 13,"AFL-CIO Technology Institute; CWA/CODE-CWA; SEIU; SAG-AFTRA; National Domestic Workers Alliance; United Farm Workers; Alphabet Workers Union",7,10-20%,At least 4 of 7 confirmed delivered; NDWA and UFW are highest priority (membership directly in scope of ELITE targeting); at least 1 labor org requests adapted member education version,Gate 3,Lead with Part 0 direct member protection angle for NDWA and UFW. AFL-CIO Tech Institute: connect to AI Principles for Workers and commercial data privacy angle.
3,3C,Active outreach wave 4,98,Weeks 14-18 (semester timing: target September-October or February-March),"Harvard Cyberlaw Clinic; Yale ISP/Privacy Lab; Stanford CodeX; NYU Tech Law & Policy Clinic; UW Law Tech Policy Lab; Columbia/Knight Institute; Michigan Law Civil Rights Litigation Initiative; Berkeley Law BCLT; American University IGL; Georgetown Law CPT",10,5-10%,At least 6 of 10 confirmed delivered; at least 1 law clinic expresses interest in corpus as case study or research resource by Day 140,Gate 3,"Semester timing is critical — do NOT send during May-August. If Week 14 lands in May-August, delay 3C to September. Reference Georgetown Law CPT separately from Georgetown Center on Privacy & Technology (related but distinct programs)."
3,3A+3B,Follow-up wave,98,Week 14,"3A and 3B non-responders",Varies,5-10%,Template R2 sent to all non-responders from 3A and 3B first sends (use monthly cadence for Tier 3 — not weekly),Gate 3 ongoing,Tier 3 follow-up cadence is monthly (not 10-day). These organizations operate on long timelines; a 10-day follow-up will feel pushy.
3,3C,Follow-up wave,140,Week 20,"3C non-responders; second-round outreach with any accumulated T2 endorsements",Varies,5-10%,At least 1 academic law/policy program engagement logged; Gate 4 (quarterly review) check-in scheduled,Gate 4,"Second-round outreach: for organizations that did not respond initially, a follow-up email that references a Tier 2 or 3A publication/citation has materially higher conversion probability"
0,review,Quarterly corpus review,84,July 26 2026 (fixed date regardless of campaign timing),"All previously contacted organizations if material updates needed",Varies,N/A,Corpus reviewed for accuracy (FISA 702 status; Palantir contracts; DOGE litigation; GrapheneOS supported devices); update Gist if material changes identified; brief update email sent to Score 3+ contacts from T1 and T2 if updated,Gate 4,"This is a fixed date tied to corpus currency, not campaign position. Run this review regardless of where you are in the outreach sequence."
