keyword,search_volume_estimate,competition_density,commercial_intent,seasonal_pattern,primary_product_fit,secondary_products,notes
plant markers,3000-6000,very_high,medium,Mar-Jun peak,plant_markers,,"Strong spring seasonality. Very saturated. Differentiate via 3D-printed + personalized framing."
custom plant labels,1500-3000,high,high,Mar-Jun peak,plant_markers,,"Personalization angle improves margin and reduces competition. Gift intent."
3D printed plant markers,200-400,low,high,Mar-Jun peak,plant_markers,,"Niche but excellent conversion. Very few dedicated listings. Strong differentiator."
herb garden markers,1000-2000,medium,medium,Mar-May peak,plant_markers,,"Spring specific. Strong seasonal spike March-May. Add in February."
personalized plant stakes,800-1500,medium,high,Mar-Jun/Nov-Dec peaks,plant_markers,,"Gift intent strong Q4 as gardening gifts. Year-round with seasonal spikes."
indoor plant markers,600-1200,medium,medium,Jan/Mar peaks,plant_markers,,"Indoor plant buyer. Year-round demand with spring and new year spikes."
garden gift,1500-3000,high,very_high,Mar-May/Nov-Dec peaks,plant_markers,,"Broad gift term. Use in tags for plant marker listings in season."
succulent markers,400-800,low_medium,medium,Mar-Jun peak,plant_markers,,"Specific plant type. Lower competition than generic plant markers."
pegboard hooks,3000-6000,high,high,Jan/Mar peaks,pegboard_hooks,cable_clips_bundle,"Broad category. 1000+ listings. Must have secondary differentiators in title."
3D printed pegboard hooks,400-800,medium,very_high,Jan/Mar peaks,pegboard_hooks,cable_clips_bundle,"Original design signal. Better competition profile than generic pegboard hooks."
IKEA skadis accessories,500-1000,medium,very_high,evergreen,pegboard_hooks,,"Highly specific brand-compatible search. High conversion. Growing SKADIS owner community."
pegboard organizer,1500-3000,high,high,Jan/Mar peaks,pegboard_hooks,,"Broad term. Use as tag not primary title keyword."
garage pegboard hooks,600-1200,medium,high,Mar-Jun peak,pegboard_hooks,,"Use-case modifier; reduces competition vs. generic pegboard hooks."
custom pegboard accessories,300-600,low_medium,very_high,Jan/Mar peaks,pegboard_hooks,,"Personalization angle. Low competition. Premium price tolerance."
workshop pegboard hooks,400-800,medium,high,Mar-Jun peak,pegboard_hooks,,"Garage/workshop buyer. Slightly different aesthetic need from office buyer."
monitor riser,2000-4000,very_high,high,Jan/Aug peaks,monitor_riser_legs,cable_clips_bundle,"Extremely competitive. Wooden risers dominate. Only enter with differentiated design."
desk riser,1500-3000,very_high,high,Jan/Aug peaks,monitor_riser_legs,cable_clips_bundle,"Same competitive situation as monitor riser."
3D printed monitor stand,200-400,low,high,Jan/Aug peaks,monitor_riser_legs,cable_clips_bundle,"Niche but differentiated. Low competition. Only viable with highly distinctive design."
monitor stand desk organizer,400-800,medium,high,Jan/Aug peaks,monitor_riser_legs,cable_clips_bundle,"Combined use case with storage shelf component. Growing query."
dorm room desk organizer,400-800,medium,high,Jul-Sep peak,cable_clips_bundle,headphone_hook,"Back-to-school specific. Strong seasonal spike July-August. Add to descriptions only in season."
college desk accessories,300-600,medium,high,Jul-Sep peak,cable_clips_bundle,headphone_hook,"BTS buyer segment. Gift from parents to college-bound students."
new home gift,800-1500,medium,very_high,Mar-Jun/Nov-Dec peaks,cable_clips_bundle,headphone_hook,"Moving season + holiday gift crossover. High AOV per order."
work from home gift,500-1000,medium,very_high,Nov-Dec peak,cable_clips_bundle,headphone_hook,"Holiday gift intent. Strong Q4 modifier. Add to tags October 1."
home office gift for men,400-800,medium,very_high,Nov-Dec peak,cable_clips_bundle,headphone_hook,"Gender-specific gift modifier. High conversion for practical desk products."
tech gift ideas,1000-2000,high,very_high,Nov-Dec peak,cable_clips_bundle,headphone_hook,"Broad gift term. Use as tag supplement in Q4 only."
desk setup bundle,300-600,low,very_high,Jan/Nov-Dec peaks,cable_clips_bundle,headphone_hook,"Complete-system buyer. Low competition. Ideal title keyword for bundle listings."
home office accessories,1500-3000,high,high,Jan/Sep peaks,cable_clips_bundle,headphone_hook,"Broad category; use as supplementary tag."
cable management for home office,300-600,low,very_high,Jan/Sep peaks,cable_clips_bundle,cable_rail_system,"Long-tail; very high conversion intent. Low competition."
clean desk setup,300-500,low,high,Jan peaks,cable_clips_individual,cable_clips_bundle,"Aesthetic buyer. r/minimalism crossover. Pinterest search term."
