Date,Platform,Time_EST,Content_Type,Caption_Summary,Full_Caption_Source,Hashtag_Pack,Destination_Link,Image_File,Posting_Notes
2026-06-05,TikTok,11:00 AM,Educational Video,"How to save tomato seeds — and why it's not as simple as letting them dry.","phase-2-social-content-calendar-60day.md > June 5 TT","#seedsaving #tomatoes #heirloomseeds #growyourown #foodsovereignty #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,The fermentation method — step-by-step detail
2026-06-05,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — save seeds from 30 vegetable varieties. Fermentation. Drying. Storage.","phase-2-social-content-calendar-60day.md > June 5 Pin","#seedsaving #heirloomseeds #foodsovereignty #growyourown #gardening #sustainablegardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Strong evergreen pin — prioritize in Pinterest queue
2026-06-06,Instagram,09:00 AM,Educational - Reel,"5 heirloom varieties I'd grow if starting over with a 4x8 raised bed.","phase-2-social-content-calendar-60day.md > June 6 IG","#heirloomseeds #raisedbed #growyourown #seedsaving #vegetablegarden #urbanfarming #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Educational hook — drives saves and shares
2026-06-06,Pinterest,08:00 PM,Educational Carousel Pin,"Zone-by-zone seed starting calendar — when to start seeds indoors (and when you're too late).","phase-2-social-content-calendar-60day.md > June 6 Pin","#seedstarting #gardeningcalendar #zonegardening #growyourown #seedlings #springgardening #seedwarden",Zone Calendar Etsy listing,assets/zone-cards/zone-5-preview.png,Seasonal educational — high save rate
2026-06-07,Instagram,10:00 AM,Educational - Carousel,"Companion planting: 5 combinations that actually work — based on documented field research.","phase-2-social-content-calendar-60day.md > June 7 IG","#companionplanting #organicgardening #growyourown #gardeningtips #vegetablegarden #seedwarden",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Reference the chart as source — drives listing click-through
2026-06-07,TikTok,06:00 PM,Educational Video,"3 companion planting myths people still believe — and what actually works.","phase-2-social-content-calendar-60day.md > June 7 TT","#companionplanting #gardeningtips #organicgardening #growyourown #seedwarden #gardeningtok",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Myth-busting format — strong hook for algorithm
2026-06-08,Instagram,10:00 AM,CTA - Single Image,"Your zone card is free. First name and email is all we need — no credit card.","phase-2-social-content-calendar-60day.md > June 8 IG","#growyourown #zonegardening #gardeningcalendar #freegarden #seedwarden #etsyshop #heirloomseeds",Kit landing page,assets/zone-cards/zone-5-preview.png,Direct CTA post — run weekly alternating with educational
2026-06-08,Pinterest,08:00 PM,Product Pin,"Harvest Preservation Handbook — 47 recipes for fermenting, canning, drying your harvest. Print for your kitchen.","phase-2-social-content-calendar-60day.md > June 8 Pin","#foodpreservation #canning #fermentation #harvest #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Product pin with lifestyle image — kitchen setting
2026-06-09,Instagram,10:00 AM,Educational - Reel,"What does 'days to harvest' actually mean? It's not what most seed packets say.","phase-2-social-content-calendar-60day.md > June 9 IG","#heirloomseeds #growyourown #gardeningtips #seedsaving #vegetablegarden #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Short educational reel — 30–45 seconds
2026-06-09,TikTok,11:00 AM,Educational Video,"Reading a seed packet — 3 things you probably skip that actually matter.","phase-2-social-content-calendar-60day.md > June 9 TT","#seeds #gardeningtips #growyourown #heirloomseeds #seedwarden #gardeningtok",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Cross-post from IG Reel if available
2026-06-09,Pinterest,08:00 PM,Educational Pin,"Container soil mix recipe — what actually goes in it and what you can skip.","phase-2-social-content-calendar-60day.md > June 9 Pin","#containergardening #soilmix #urbangardening #balconygarden #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,DIY gardening content — high save rate on Pinterest
2026-06-10,Instagram,10:00 AM,Social Proof - Carousel,"3 things people say after buying the guides. Real messages. Unedited.","phase-2-social-content-calendar-60day.md > June 10 IG","#seedwarden #etsyseller #growyourown #heirloomseeds #smallbusiness #digitaldownload",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,If no reviews yet: use paraphrased DM sentiment — note in caption
2026-06-10,Pinterest,08:00 PM,Educational Pin,"Fermented hot sauce — how to make it last without refrigeration.","phase-2-social-content-calendar-60day.md > June 10 Pin","#hotsauce #fermentation #foodpreservation #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Seasonal preservation content — strong for summer
2026-06-11,Instagram,09:00 AM,Educational - Reel,"Why I stopped buying seeds from big catalogs — and what I use instead.","phase-2-social-content-calendar-60day.md > June 11 IG","#heirloomseeds #openpollinated #seedsaving #foodsovereignty #growyourown #seedwarden #gardening",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Values-based content — resonates with core audience
2026-06-11,TikTok,06:00 PM,Educational Video,"How to store seeds so they actually germinate next year.","phase-2-social-content-calendar-60day.md > June 11 TT","#seedsaving #seeds #heirloomseeds #growyourown #gardening #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Practical technique — pairs with seed saving email in nurture sequence
2026-06-11,Pinterest,08:00 PM,Product Pin,"Container Growing Blueprint — apartment gardeners and balcony growers: 40+ pages on small-space food production.","phase-2-social-content-calendar-60day.md > June 11 Pin","#containergardening #balconygarden #apartmentgarden #urbangardening #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Product pin with urban lifestyle context
2026-06-12,Instagram,10:00 AM,CTA - Story Poll,"Poll: growing in a container, raised bed, or in-ground? (Figuring out what guide to write next.)","phase-2-social-content-calendar-60day.md > June 12 IG","#growyourown #gardening #seedwarden #urbanfarming #raisedbed #containergardening",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Story with Poll sticker — drives engagement and provides audience intel
2026-06-12,TikTok,11:00 AM,Behind the Scenes Video,"I built these guides in a small apartment. Here's what the research process actually looked like.","phase-2-social-content-calendar-60day.md > June 12 TT","#smallbusiness #etsyseller #digitaldownload #growyourown #seedwarden #creatortok",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Founder story — builds relatability and trust
2026-06-12,Pinterest,08:00 PM,Educational Carousel Pin,"5 vegetables for a 4x8 raised bed — what to plant and how to maximize yield per square foot.","phase-2-social-content-calendar-60day.md > June 12 Pin","#raisedbed #vegetablegarden #growyourown #gardening #gardeningtips #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-search-volume topic on Pinterest
2026-06-13,Instagram,09:00 AM,Educational - Reel,"Hot sauce fermentation — why the store-bought version is missing the best part.","phase-2-social-content-calendar-60day.md > June 13 IG","#fermentation #hotsauce #foodpreservation #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Seasonal content — summer pepper harvest approaching
2026-06-13,Pinterest,08:00 PM,Product Pin,"Zone Calendar 2026 — when to plant, when to harvest, when to start seeds indoors. Your zone on one page.","phase-2-social-content-calendar-60day.md > June 13 Pin","#gardeningcalendar #zonegardening #planting #growyourown #seedstartingcalendar #seedwarden",Zone Calendar Etsy listing,assets/zone-cards/zone-5-preview.png,Calendar product pin — evergreen
2026-06-14,Instagram,10:00 AM,Educational - Carousel,"Lacto-fermentation for beginners: the easiest preservation method that doesn't require a canner.","phase-2-social-content-calendar-60day.md > June 14 IG","#lactofermentation #fermentation #foodpreservation #canning #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Step-by-step carousel — 4–6 slides with technique
2026-06-14,TikTok,06:00 PM,Educational Video,"The preservation method your grandparents used that doesn't need electricity.","phase-2-social-content-calendar-60day.md > June 14 TT","#fermentation #foodpreservation #homesteading #growyourown #lactofermentation #seedwarden #gardeningtok",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Cross-post from IG carousel if filmed as reel
2026-06-14,Pinterest,08:00 PM,Educational Pin,"Lacto-fermentation basics — the science behind why it works and how to do it without a kit.","phase-2-social-content-calendar-60day.md > June 14 Pin","#lactofermentation #fermentation #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Educational pin — strong evergreen search volume
2026-06-15,Instagram,10:00 AM,CTA - Single Image,"Free zone card. No credit card. No subscription. Just tell us your zone.","phase-2-social-content-calendar-60day.md > June 15 IG","#growyourown #zonegardening #gardeningcalendar #freegarden #seedwarden #etsyshop",Kit landing page,assets/zone-cards/zone-5-preview.png,Rotating CTA post — alternate with educational
2026-06-15,Pinterest,08:00 PM,Educational Pin,"Open-pollinated seeds vs. hybrid vs. heirloom — what's the actual difference and why it matters.","phase-2-social-content-calendar-60day.md > June 15 Pin","#heirloomseeds #openpollinated #seedsaving #growyourown #gardening #sustainability #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-search educational pin — drives traffic year-round
2026-06-16,Instagram,09:00 AM,Educational - Reel,"The number one mistake new growers make with seeds. (It's not underwatering.)","phase-2-social-content-calendar-60day.md > June 16 IG","#seedsaving #growyourown #gardeningtips #heirloomseeds #seedwarden #gardening",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Hook-driven short reel — strong for shares
2026-06-16,TikTok,11:00 AM,Educational Video,"Why I ferment my tomato seeds before saving them — the simple science behind it.","phase-2-social-content-calendar-60day.md > June 16 TT","#seedsaving #tomatoes #heirloomseeds #growyourown #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Technique explainer — pairs with June 19 newsletter
2026-06-16,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — complete guide to saving seeds from 30 vegetables. Step-by-step for each variety.","phase-2-social-content-calendar-60day.md > June 16 Pin","#seedsaving #heirloomseeds #openpollinated #growyourown #gardening #foodsovereignty #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Re-pin with updated description — fresh pin policy
2026-06-17,Instagram,10:00 AM,Social Proof - Story,"Someone just messaged saying they printed their zone card and put it on the fridge.","phase-2-social-content-calendar-60day.md > June 17 IG","#seedwarden #growyourown #zonegardening #gardeninglife",Kit landing page,assets/zone-cards/zone-5-preview.png,Organic testimonial story — use real message if available
2026-06-17,Pinterest,08:00 PM,Educational Carousel Pin,"How to build a survival garden in any zone — 6 most calorie-dense vegetables for a small space.","phase-2-social-content-calendar-60day.md > June 17 Pin","#survivalgarden #growyourown #foodsovereignty #gardeningtips #vegetablegarden #seedwarden",Survival Garden Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-d-composite.jpg,Educational carousel for Cluster D/E product
2026-06-18,Instagram,09:00 AM,Behind the Scenes - Reel,"Building a zone card for 8 growing zones = 8 different frost date tables. Here's how that research works.","phase-2-social-content-calendar-60day.md > June 18 IG","#seedwarden #bts #growyourown #zonegardening #etsyseller #smallbusiness",Kit landing page,assets/zone-cards/zone-5-preview.png,Process content — shows depth behind product
2026-06-18,TikTok,06:00 PM,Educational Video,"What is a growing zone and how do you find yours? (The 60-second explanation.)","phase-2-social-content-calendar-60day.md > June 18 TT","#growingzones #gardeningtips #growyourown #seedwarden #zonegardening #gardeningtok",Kit landing page,assets/zone-cards/zone-5-preview.png,Beginner-friendly — broad audience appeal
2026-06-18,Pinterest,08:00 PM,Educational Pin,"What to plant in June — zone-by-zone breakdown. Download your free zone card.","phase-2-social-content-calendar-60day.md > June 18 Pin","#june #planting #growyourown #gardeningcalendar #zonegardening #seedwarden",Kit landing page,assets/zone-cards/zone-5-preview.png,Seasonal CTA pin — high search volume in June
2026-06-19,Instagram,10:00 AM,CTA - Carousel,"6 reasons people tell us they didn't download the free zone card sooner. (Same answer every time.)","phase-2-social-content-calendar-60day.md > June 19 IG","#zonegardening #growyourown #freegarden #seedwarden #gardeningcalendar",Kit landing page,assets/zone-cards/zone-5-preview.png,Carousel objection-handling — addresses common hesitations
2026-06-19,TikTok,11:00 AM,Educational Video,"Container soil vs. garden soil — why you can't use one for the other.","phase-2-social-content-calendar-60day.md > June 19 TT","#containergardening #soilmix #urbangardening #growyourown #gardeningtips #seedwarden #gardeningtok",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Pairs with June 26 newsletter
2026-06-19,Pinterest,08:00 PM,Product Pin,"Container Growing Blueprint — 40 pages on container vegetables, balcony growing, and small-space food production.","phase-2-social-content-calendar-60day.md > June 19 Pin","#containergardening #balconygarden #urbangardening #apartmentgarden #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Product pin refresh
2026-06-20,Instagram,09:00 AM,Educational - Reel,"Drying herbs at home — 3 methods and which one actually preserves the flavor.","phase-2-social-content-calendar-60day.md > June 20 IG","#herbs #dryingherbs #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Summer harvest content — high seasonal relevance
2026-06-20,Pinterest,08:00 PM,Educational Pin,"Drying herbs: 3 methods compared — air drying vs. oven vs. dehydrator. Which keeps more flavor?","phase-2-social-content-calendar-60day.md > June 20 Pin","#dryingherbs #herbs #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Companion pin to IG Reel topic
2026-06-21,Instagram,10:00 AM,Educational - Carousel,"5 seed-saving mistakes that ruin viability before seeds hit the soil.","phase-2-social-content-calendar-60day.md > June 21 IG","#seedsaving #heirloomseeds #growyourown #foodsovereignty #gardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Mistake-format content — high share rate
2026-06-21,TikTok,06:00 PM,Educational Video,"5 seed saving mistakes that killed my whole batch. Don't do what I did.","phase-2-social-content-calendar-60day.md > June 21 TT","#seedsaving #heirloomseeds #growyourown #gardening #foodsovereignty #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Personal failure story — strong TikTok format
2026-06-22,Instagram,10:00 AM,CTA - Single Image,"Free zone card. Just your zone and your email. What you'll grow this season depends on knowing your zone.","phase-2-social-content-calendar-60day.md > June 22 IG","#zonegardening #growyourown #gardeningcalendar #freegarden #seedwarden",Kit landing page,assets/zone-cards/zone-5-preview.png,Rotating direct CTA — keep simple
2026-06-22,Pinterest,08:00 PM,Educational Pin,"How to can tomatoes at home — the safest beginner method without a pressure canner.","phase-2-social-content-calendar-60day.md > June 22 Pin","#canning #tomatoes #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Seasonal preservation peak — tomato harvest starts June–July
2026-06-23,Instagram,09:00 AM,Educational - Reel,"The difference between open-pollinated and heirloom seeds — explained in under 60 seconds.","phase-2-social-content-calendar-60day.md > June 23 IG","#heirloomseeds #openpollinated #seeds #growyourown #seedsaving #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Short explainer reel — beginner-friendly hook
2026-06-23,TikTok,11:00 AM,Educational Video,"Open-pollinated vs. hybrid seeds: why it matters for saving seeds year after year.","phase-2-social-content-calendar-60day.md > June 23 TT","#openpollinated #heirloomseeds #seedsaving #growyourown #foodsovereignty #seedwarden #gardeningtok",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Complements IG reel — upload natively to TikTok
2026-06-23,Pinterest,08:00 PM,Product Pin,"Heirloom Seed Varieties Guide — 30 varieties with growing notes, seed saving instructions, and zone data.","phase-2-social-content-calendar-60day.md > June 23 Pin","#heirloomseeds #seedsaving #openpollinated #growyourown #gardening #foodsovereignty #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Product pin refresh — update description to keep it fresh
2026-06-24,Instagram,10:00 AM,Behind the Scenes - Carousel,"What 30 days of Seedwarden Phase 2 actually looked like — numbers, surprises, what's next.","phase-2-social-content-calendar-60day.md > June 24 IG","#seedwarden #smallbusiness #etsyseller #growyourown #bts #creatortok",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Month 1 debrief — builds trust and transparency; drives DM responses
2026-06-24,TikTok,06:00 PM,Behind the Scenes Video,"One month since launching Phase 2. Here's what I learned.","phase-2-social-content-calendar-60day.md > June 24 TT","#smallbusiness #etsyseller #growyourown #creatortok #seedwarden #digitaldownload",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Founder debrief format — authentic and personal
2026-06-24,Pinterest,08:00 PM,Educational Carousel Pin,"Companion planting for pest control — 8 combinations that actually repel insects without spray.","phase-2-social-content-calendar-60day.md > June 24 Pin","#companionplanting #pestcontrol #organicgardening #growyourown #gardeningtips #seedwarden",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Educational companion planting — high save rate
2026-06-25,Instagram,10:00 AM,CTA - Story,"Zone card downloads this month: [X]. Most downloaded zone: Zone 5. Yours is waiting at the link in bio.","phase-2-social-content-calendar-60day.md > June 25 IG","#zonegardening #growyourown #gardeningcalendar #seedwarden",Kit landing page,assets/zone-cards/zone-5-preview.png,Social proof CTA — use actual numbers if available
2026-06-25,Pinterest,08:00 PM,Educational Pin,"Seed starting mix vs. potting mix vs. garden soil — which one for which job.","phase-2-social-content-calendar-60day.md > June 25 Pin","#seedstarting #soilmix #gardeningtips #growyourown #containergardening #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Evergreen beginner question — high search volume
2026-06-26,Instagram,09:00 AM,Educational - Reel,"Everything we grow eventually needs preserving. Here's the framework I use to decide which method to use.","phase-2-social-content-calendar-60day.md > June 26 IG","#foodpreservation #homesteading #growyourown #fermentation #canning #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Decision-framework content — pairs with June 26 newsletter send
2026-06-26,TikTok,06:00 PM,Educational Video,"Ferment, can, or dry? How I decide what to do with each harvest.","phase-2-social-content-calendar-60day.md > June 26 TT","#foodpreservation #fermentation #canning #drying #homesteading #growyourown #seedwarden #gardeningtok",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Matches newsletter theme — coordinate timing
2026-06-26,Pinterest,08:00 PM,Product Pin,"Harvest Preservation Handbook — 47 recipes. Fermentation. Canning. Drying. Everything for your harvest.","phase-2-social-content-calendar-60day.md > June 26 Pin","#foodpreservation #harvest #fermentation #canning #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,End-of-month product pin — keep fresh with updated copy
2026-06-27,Instagram,10:00 AM,Educational - Carousel,"30-day wrap: what grew, what didn't, and what Seedwarden is building next.","phase-2-social-content-calendar-60day.md > June 27 IG","#seedwarden #growyourown #smallbusiness #etsyseller #heirloomseeds",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Momentum post — week 4 close; tease Phase 3 if timeline allows
2026-06-27,Pinterest,08:00 PM,Educational Pin,"Summer garden checklist: 6 things to do in your garden this week.","phase-2-social-content-calendar-60day.md > June 27 Pin","#summergarden #gardeningtips #growyourown #vegetablegarden #seedwarden",Zone Quick-Start Card Etsy listing,assets/zone-cards/zone-5-preview.png,Seasonal relevance — drives traffic during peak gardening season
2026-06-28,Instagram,10:00 AM,CTA - Reel,"If you've been thinking about downloading the zone card — this is the nudge. Link in bio.","phase-2-social-content-calendar-60day.md > June 28 IG","#zonegardening #growyourown #gardeningcalendar #seedwarden #freegarden",Kit landing page,assets/zone-cards/zone-5-preview.png,Final June CTA reel — conversational tone
2026-06-28,TikTok,11:00 AM,CTA Video,"Free zone card — no credit card, no catch. Here's why I made it free.","phase-2-social-content-calendar-60day.md > June 28 TT","#zonegardening #growyourown #seedwarden #gardeningtok #freegarden",Kit landing page,assets/zone-cards/zone-5-preview.png,Explainer-style CTA — works well for TikTok
2026-06-28,Pinterest,08:00 PM,Product Pin,"Zone Quick-Start Card — your zone, your crops, right now. Free. One page.","phase-2-social-content-calendar-60day.md > June 28 Pin","#zonegardening #gardeningcalendar #growyourown #freegarden #seedwarden",Kit landing page,assets/zone-cards/zone-5-preview.png,End-of-month CTA pin — drive sign-ups into July
2026-06-29,Instagram,10:00 AM,Educational - Single Image,"One thing I wish I knew before my first seed saving season. (Save this.)","phase-2-social-content-calendar-60day.md > June 29 IG","#seedsaving #heirloomseeds #growyourown #gardeningtips #foodsovereignty #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-save educational format — tip revealed in slide or caption
2026-06-29,Pinterest,08:00 PM,Educational Pin,"How to build a no-dig garden bed — the method that skips the hard labor.","phase-2-social-content-calendar-60day.md > June 29 Pin","#nodigigarden #gardeningtips #growyourown #raisedbed #organicgardening #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-interest beginner topic — drives saves and follows
2026-06-30,Instagram,10:00 AM,Monthly Wrap - Carousel,"June by the numbers: posts, downloads, orders, and what's coming in July.","phase-2-social-content-calendar-60day.md > June 30 IG","#seedwarden #smallbusiness #growyourown #etsyseller #creatortok",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Monthly wrap — transparency builds audience trust and retention
2026-06-30,TikTok,06:00 PM,Monthly Wrap Video,"June was our first full month of Phase 2. Here's what actually happened.","phase-2-social-content-calendar-60day.md > June 30 TT","#smallbusiness #etsyseller #seedwarden #growyourown #creatortok #digitaldownload",Kit landing page,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Data-honest founder content — authentic format works on TikTok
2026-06-30,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — everything you need to save seeds from 30 varieties and grow for food sovereignty.","phase-2-social-content-calendar-60day.md > June 30 Pin","#seedsaving #heirloomseeds #foodsovereignty #growyourown #sustainability #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Month-close product pin — strong evergreen

POSTING_NOTES_GLOBAL,,,,,,,,,
INSTAGRAM_OPTIMAL_TIMES,Best engagement windows: 9:00–10:00 AM EST (educational content) and 2:00–3:00 PM EST (CTAs). Avoid posting before 8:00 AM or after 9:00 PM EST.,,,,,,,
TIKTOK_OPTIMAL_TIMES,"Best engagement windows: 11:00 AM–1:00 PM EST and 6:00–8:00 PM EST. Upload natively — do not use Buffer for TikTok video upload if video quality degrades.",,,,,,,
PINTEREST_OPTIMAL_TIMES,Best engagement windows: 8:00–11:00 PM EST (evergreen and educational pins). Product pins perform consistently across all times — optimize for batch scheduling.,,,,,,,
