Week,Start Date,End Date,Domain,Task,Hours,Status,Path Relevance,Dependencies,Deadline,Priority,Notes
4,2026-06-08,2026-06-14,Phase 1 Monitoring,Week 4 early-adopter feedback assessment: final Gate 1/2/3 confirmation. This is the last gate before committing 50-65 hours each to Domains 57 and 59. Under Gate 1: proceed June 16. Under Gate 2: defer D57/D59 start to July 1. Under Gate 3: hold all Phase 2.,5,Queued,All paths (Path B: deferred to August 7-14),3-4 weeks of adoption data,2026-06-14 [GATE],CRITICAL,If Gate 1 confirmed AND Path A+37 or A: begin Domain 57 pre-production tasks in Week 4 (read Domains 23 and 28; acquire Ikenberry/Slaughter). 4 hours.
4,2026-06-08,2026-06-14,Domain 57,Conditional on Gate 1: pre-production. Read Domain 23 (Trade Policy/Tariff Unilateralism) and Domain 28 (War Powers/Venezuela) in full. Map cross-reference boundaries. Acquire Ikenberry Liberal Leviathan (Princeton UP 2011) — check JSTOR / open-access working papers as alternatives.,4,Conditional,Paths A and A+37 (Gate 1 only),Gate 1 confirmed,2026-08-10 [RED],CRITICAL,Library access for Ikenberry must be secured before Week 6 or Section 3 synthesis stalls. Identify open-access alternatives now.
4,2026-06-08,2026-06-14,Domain 39-40 Production (Path B only),Path B: Complete Domain 39 (Healthcare Access as Democratic Infrastructure) and Domain 40 (Surveillance Capitalism / Electoral Manipulation). Integration into proposal. QA: cross-domain link check; metadata update; executive summary update. 20 hours.,20,Queued,Path B ONLY,Domain 38 complete,2026-07-10 [Path B launch],HIGH,Path B only. This is the final Phase 1 pre-launch production work.
5,2026-06-15,2026-06-21,Domain 59,Pre-production: Read Domains 31 (Healthcare/OBBBA) / 47 (Housing Security) / 50 (Healthcare-Democracy Nexus/NVRA) in full. Map precise cross-reference boundaries for Section 5 — what each existing domain covers so D59 does not duplicate. Acquire missing sources: BLS alternative work arrangements survey; NCSL voting time-off state law survey; OECD Better Life Index civic engagement data; IDEA voter turnout database; Georgetown CCF OBBBA analysis; CBPP OBBBA distributional breakdown; Urban Institute SNAP analysis.,7,Queued,Paths A and A+37; Path B from July 1,Domains 31/47/50 exist in archive; Gate 1 or 2 confirmed,2026-07-15 [RED],CRITICAL,Do NOT begin Section 5 (OBBBA acceleration) without reading Domain 31 fully. Section 5 duplication risk is high — D31 covers Medicaid cuts extensively; D59 Section 5 covers the CIVIC PARTICIPATION consequences of those cuts.
5,2026-06-15,2026-06-21,Domain 57,Pre-production: Confirm all 21 existing sources are live (URL check). Identify 5-10 additional sources: CFR 2026 Five Foreign Policy Trends; Good Authority public opinion piece on withdrawal announcements; HRW documentation of ICC sanctions chilling effects; HRDAG analysis. Begin Ikenberry synthesis if secured: identify the 3-4 key passages for Section 3 argument.,4,Queued,Paths A and A+37; Path B from July 1,Gate 1 confirmed; Ikenberry acquired or alternatives identified; Domains 23/28 read in Week 4,2026-08-10 [RED],CRITICAL,
5,2026-06-15,2026-06-21,Domain 48,Begin production: Read Domain 29 (DOJ Capture) as prerequisite to establish individual-vs-system-level analytical distinction. Research Sections 1-3: felony disenfranchisement scope (4M currently disenfranchised; 1 in 22 Black Americans; state-by-state variation); jury exclusion mechanism (20M+ excluded from jury service); LFO poll tax analysis.,6,Queued,All paths (Gate 1) / Paths A+37 only (should-do),Domain 29 exists in archive; Gate 1 confirmed,2026-09-01 [AMBER],HIGH,Path A+37: elevated to should-do. Path A: conditional on Gate 1. Path B: conditional on Gate 1 — begin only after Phase 1 launch July 10 has generated adoption signals.
5,2026-06-15,2026-06-21,Path B Phase 1 Distribution,Path B: Phase 1 distribution launches. All 40 domains (1-40) distributed to 35+ Tier 1 contacts. Wave 1 sends: law schools / think tanks / election protection orgs / civil rights orgs / labor unions. 5-6 hours.,6,Queued,Path B ONLY,Domains 38-40 complete and integrated,2026-07-10 [Path B launch],CRITICAL,Path B only. This is the Phase 1 execution that A and A+37 did May 15-17.
6,2026-06-22,2026-06-28,Domain 59,Research Sections 1-3: (1) Income-participation gap — Econofact baseline; PRRI 2024 analysis; Harvard IOP Spring 2026 Youth Poll full dataset; Census Bureau 2024 Presidential Election tables; Rastogi/Laurison 2025 Sociological Science study. (2) Scarcity framework — Mullainathan/Shafir full read; Dallas Fed wp2517 (revised March 2026) — read entire paper including appendix; Journal of Politics Economic Discontent mobilizer study. (3) Housing instability — Slee/Desmond Politics and Society 2023 full read; PNAS 2024 residential mobility study full read; McCartney NYU dissertation chapter.,12,Queued,All paths,Pre-production complete; cross-reference boundaries established,2026-07-15 [RED],CRITICAL,Week 2 milestone: all Sections 1-3 empirical sources confirmed and read. The Dallas Fed and Slee/Desmond papers are the causal anchors — read in full not just abstracts.
6,2026-06-22,2026-06-28,Domain 57,Research Section 2 (constitutional law — most technically demanding section): CRS R44761 (full withdrawal legal framework including Paris Agreement and Iran Deal precedents); CRS R48868 February 27 2026 (Separation of Powers and NATO Withdrawal — the current best analysis); 2024 NDAA Section 1250A text + legislative history (the only statutory constraint model); Curtiss-Wright Export Corp. v. United States 1936 (sole organ doctrine foundation); Verfassungsblog analysis. Allow 5 full hours — do not compress.,5,Queued,All paths,Ikenberry secured; Domains 23/28 cross-reference boundaries established,2026-08-10 [RED],CRITICAL,Section 2 is the constitutional grounding for the entire domain. If Section 2 is underwritten the withdrawal-as-democratic-dismantlement argument lacks legal foundation and the reform pathways in Section 7 are ungrounded.
6,2026-06-22,2026-06-28,Domain 48,Research and writing Sections 4-6: public employment bars (occupational licensing restrictions for formerly incarcerated; federal contracting bars); housing restrictions (HUD public housing exclusions; LIHTC owner bars; Section 8 voucher restrictions); debt burden as civic exclusion (LFO amounts by state; Missouri/Louisiana 2025 reform legislation; comparison to poll tax architecture).,6,Queued,All paths,Sections 1-3 complete,2026-09-01 [AMBER],HIGH,
7,2026-06-29,2026-07-05,Domain 59,Research Sections 4-5: Section 4 — gig economy temporal exclusion (BLS alternative work arrangements data; NDWA gig worker reports; EPI gig economy analysis; NCSL voting time-off state law survey; race/immigration demographic concentration of temporal exclusion). Section 5 — BUILD OUTLINE BEFORE WRITING: map each of the five OBBBA cuts to its specific civic exclusion mechanism with quantitative anchors from Georgetown CCF / CBPP / CBO / Urban Institute; confirm multiplicative (not additive) claim is supportable.,10,Queued,All paths,Sections 1-3 research complete; Section 5 outline must precede any Section 5 prose,2026-07-15 [RED],CRITICAL,BOTTLENECK WARNING: The Section 5 outline is mandatory before writing. The multiplicative-compounding claim requires quantitative grounding. Building the outline forces this. Skipping directly to prose risks writing 900 words that collapse under scrutiny in peer review.
7,2026-06-29,2026-07-05,Domain 57,Research Sections 1 / 3 / 4: Section 1 — systematic catalog of 66 organizations by functional accountability category (human rights monitoring; global public health; democratic norm-setting; climate science; development; cultural cooperation); for each category: what accountability function served; what US civil society depended on it for. Section 3 — domestic accountability infrastructure argument (Ikenberry Liberal Leviathan framework; ICC sanctions chilling effects per Coalition for ICC Criminalising Accountability report; OHCHR press release on sanctions). Section 4 — European strategic autonomy (EUISS; ECFR After the Rupture; Chatham House; E3G independence moment; Euronews EU defense chiefs).,9,Queued,All paths,Section 2 complete; Ikenberry secured,2026-08-10 [RED],CRITICAL,Section 3 is the domain's core novel contribution. Do not compress. The reframe — international institution withdrawal as domestic accountability infrastructure removal — requires 4 hours of synthesis minimum. This is the argument that distinguishes Domain 57 from every existing foreign policy analysis of the withdrawals.
7,2026-06-29,2026-07-05,Domain 48,Complete domain document: Sections 7-8 (reform pathways — automatic restoration legislation; LFO amnesty programs; housing restriction reform; jury participation restoration; employment bar reduction; the democratic design argument for restoration as civic infrastructure investment). Citation verification. Distribution launch.,5,Queued,All paths,Sections 4-6 complete,2026-08-15 [AMBER],HIGH,
8,2026-07-06,2026-07-12,Domain 59,CRITICAL WEEK — Section 5 writing. Allow 2 full writing days minimum (12-14 hours). Structure: each of the five cuts gets one sub-section organized as: (1) what the cut does (enacted change under OBBBA July 4 2025); (2) which civic participation mechanism it activates (registration disruption / bandwidth depletion / time poverty / address instability / debt burden); (3) quantitative population size; (4) how it compounds the other four cuts. Write Sections 1-4 in remaining time (8 hours).,22,Queued,All paths,Section 5 outline complete; all research complete,2026-07-15 [RED],CRITICAL,BOTTLENECK: Most demanding single writing task in all of Phase 2. This week will make or break the July 15 deadline. If Week 7 Section 5 outline is not complete entering this week — stop and complete it before writing a single word of Section 5 prose.
8,2026-07-06,2026-07-12,Domain 57,Research Sections 5-7: Section 5 — three comparative cases (Brexit: UK accountability architecture post-exit; Turkey: Council of Europe compliance drift and democratic erosion timeline; prior US withdrawals: Reagan UNESCO 1984/rejoined 2003; Carter SALT II; Trump I WHO/Paris vs. 2026 simultaneity and scale). Section 6 — movement infrastructure map. Section 7 — three reform legislative models (Treaty Withdrawal Notification Act; Multilateral Commitment Protection Act; ICC Sanctions Repeal) with constitutional feasibility analysis.,6,Queued,All paths,Sections 1/3/4 research complete,2026-08-10 [RED],CRITICAL,
9,2026-07-13,2026-07-15,Domain 59,Write Sections 6-7: Section 6 — comparative democracy analysis (OECD Better Life Index civic engagement; IDEA turnout database; Nordic countries economic security and turnout correlation; methodological caveat on electoral system confounders). Section 7 — reform architecture (Universal Same-Day Registration; Economic Participation Floor; Gig Worker Voting Rights; Automatic Voter Registration for Public Benefit Recipients). Complete first draft. Internal review: cross-reference audit; argument-evidence alignment check for Section 5; citation pre-verification for 45-50 sources.,8,Queued,All paths,Sections 1-5 drafted,2026-07-15 [RED — HARD DEADLINE],CRITICAL,HARD DEADLINE. If Sections 1-5 are not drafted by July 12 this milestone slips. Under Path B the equivalent deadline is August 1 (no peer review) — the Section 5 writing week is July 14-20.
9,2026-07-13,2026-07-15,Domain 57,Begin writing Sections 1-3 (most technically demanding). Section 1: 66-organization catalog with accountability function analysis — do not write a list; write analytical categories. Section 2: constitutional asymmetry (Article II silence; 2024 NDAA model; CRS R48868 as current best framework; reform architecture with constitutional feasibility analysis). Section 3: domestic accountability infrastructure argument (this is the domain's novel contribution — spend proportionate time). 5 hours over 3 days.,5,Queued,All paths,All research complete,2026-08-10 [RED],CRITICAL,
10,2026-07-16,2026-07-22,Domain 59,Peer review: request Domain 47 researcher review housing/eviction sections for empirical overclaiming. Peer reviewer checklist: (1) Is Mullainathan/Shafir framework applied accurately to democratic participation specifically? (2) Does Section 5 multiplicative-compounding claim hold up? Is there an additive vs. multiplicative distinction the text makes and defends? (3) Are Dallas Fed and PNAS causal claims characterized accurately (causal claims vs. correlational)? (4) Is the OBBBA framing as enacted law (not projected) consistent throughout? Incorporate peer review feedback. Update any OBBBA implementation figures if July court rulings have issued.,4,Queued,Paths A and A+37,Complete draft July 15,2026-08-01 [AMBER],CRITICAL,PATH B NOTE: Under Path B this peer review window does not exist — distribute August 1 without peer review. Flag explicitly in the document's methods note that Section 5 is the author's synthesis and welcomes critique.
10,2026-07-16,2026-07-22,Domain 57,Write Sections 4-7: Section 4 — European strategic autonomy as downstream democratic consequence (3 threads: NATO Article 5 credibility crisis; transatlantic institutional divergence; democratic coalition implication). Section 5 — three comparative cases. Section 6 — movement infrastructure operational map. Section 7 — reform pathways with legislative text models. 8 hours.,8,Queued,All paths,Sections 1-3 drafted,2026-08-10 [RED],CRITICAL,
11,2026-07-23,2026-07-31,Domain 59,Final edit: citation verification — open every URL in browser at time of publication; every data figure traced to source table; every legislative citation confirmed against congress.gov or GPO; every academic citation confirmed against journal DOI. Publication-ready formatting. 5 hours.,5,Queued,All paths,Peer review complete (A/A+37) OR draft complete (Path B),2026-08-01 [AMBER],CRITICAL,
11,2026-07-23,2026-07-31,Domain 59,Distribution launch August 1: CBPP / Economic Security Project / NLIHC (economic justice tier); AFL-CIO / SEIU / NDWA (labor tier); Brennan Center / Demos / Common Cause / League of Women Voters (voting rights tier); Harvard IOP / NAACP Youth & College Division / Generation Progress (youth tier); NETWORK Lobby / Sojourners / Jewish Council for Public Affairs (faith tier). Use path-appropriate contact volumes: Path A/A+37 — Tier 1 (45+ contacts); Path B — Tier 1 + expanded Tier 2 (60+ contacts reflecting larger Phase 1 audience base). 3 hours.,3,Queued,All paths,Final edit complete,2026-08-01 [AMBER],CRITICAL,
11,2026-07-23,2026-07-31,Domain 57,Internal review checkpoint: all 7 sections drafted; read full document for internal consistency; cross-reference accuracy with Domains 23 and 28 confirmed; verify that the domestic-accountability-infrastructure reframe (Section 3) flows correctly from Section 2 (constitutional asymmetry) and into Section 4 (European strategic autonomy). Send peer review request to Domain 23 researcher. 3 hours.,3,Queued,All paths,Sections 4-7 drafted,2026-08-10 [RED],CRITICAL,
12,2026-08-01,2026-08-10,Domain 57,Peer review incorporation: Domain 23 researcher reviews constitutional law section for accuracy and the domestic-accountability-infrastructure reframe for survivability against skeptical read. Incorporate feedback. Citation verification: 45-50 URLs confirmed live in browser; all CRS reports confirmed against congress.gov CRS external products (not Everycrsreport.com — verify against official congress.gov). Final edit. Publication-ready formatting. 14 hours total.,14,Queued,All paths,Complete draft; peer review request sent,2026-08-10 [RED — HARD DEADLINE],CRITICAL,HARD DEADLINE. No buffer. UNGA 81 High-Level Week September 22-28 requires minimum 6 weeks lead time (= August 10 publication). Under Path B: August 10 is still the distribution deadline but lead time drops to 6 weeks total (only 3 weeks after August 10 adjustment) — accept reduced leverage.
12,2026-08-01,2026-08-10,Domain 57,Distribution launch August 10: HRW / Amnesty International USA / Coalition for the ICC (human rights tier); Senate Foreign Relations Committee staff / House Foreign Affairs Committee staff (congressional tier); NDI / IRI / Freedom House / NED (democracy promotion tier); Sierra Club / 350.org / NRDC (climate tier — UNFCCC/IPCC withdrawal hook). Under Path A+37: use established contacts from Phase 1 election protection tier as secondary referrals to international law audience. Under Path B: expanded Tier 2 contacts across all sectors. 4 hours.,4,Queued,All paths,Final edit complete,2026-08-10 [RED],CRITICAL,
13,2026-08-11,2026-08-31,Domain 51,Research and production: Campaign Finance / Dark Money Architecture. Target: 7000+ words / 45+ citations. Core argument: Citizens United as structural architecture; dark money operational mechanics; FEC enforcement collapse (no quorum since May 2025); record $1.9B cycle spending. Cross-reference: Domain 38 (crypto PAC) / Domain 42 (pharma dark money) / Domain 33 (ballot initiative suppression funding). 12-14 hours.,14,Queued,All paths,None — standalone; Domain 23 provides adjacent corporate capture context,2026-10-01 [AMBER],MEDIUM,No hard 2026 deadline. Fits pre-midterm framing. DOMAINS_48_51_PRODUCTION_ROADMAP.md has full specification.
13,2026-08-11,2026-08-31,Domain 57,Active UNGA pre-window distribution campaign (August 15 - September 28): Tier 2 outreach to American Society of International Law / Council on Foreign Relations / Brookings Foreign Policy program / Carnegie Endowment / CSIS (foreign policy think tanks); Atlantic Council congressional networks; international law clinics at Georgetown and Yale Law. Track adoption signals. 3 hours.,3,Queued,All paths,Distribution launched August 10,2026-09-22 [AMBER],HIGH,
13,2026-08-11,2026-08-31,Domain 59,Active pre-midterm distribution campaign (August 1 - October 31): track organizational adoption signals from Week 1 distribution; identify Tier 2 candidates (composite score ≥7); schedule 1-on-1 briefing calls for Integration Request responses. Swing-state economic justice networks get priority outreach. 2 hours/week.,4,Queued,All paths,Distribution launched August 1,2026-11-03 [RED],HIGH,
14,2026-09-01,2026-09-30,Domain 57,UNGA 81 High-Level Week (September 22-28): monitor congressional floor statements / UN side events / civil society parallel events for Domain 57 citation or use. Document any adoption in CHECKIN.md. 2 hours.,2,Queued,All paths,Active distribution,2026-09-28 [AMBER],HIGH,
14,2026-09-01,2026-09-30,Domain 51,Distribution launch: Campaign Legal Center / End Citizens United / Issue One / CREW / OpenSecrets / Senate Finance Committee staff / House Administration Committee staff. 2 hours.,2,Queued,All paths,Domain 51 production complete,2026-10-01 [AMBER],MEDIUM,
14,2026-09-01,2026-09-30,Phase 1 Monitoring,Four-month post-Wave-1 adoption review: secondary distribution measurement; organizational adoption tracking (adoption_level ≥2 in any Tier 1 org); citation in advocacy materials; institutional playbook requests; Overton.io first sweep for framework vocabulary in think tank/NGO publications (earliest reliable point for indexed results). Compile comprehensive assessment. 5 hours.,5,Queued,Paths A and A+37 (Path B: equivalent review at 3 months post-July-10-launch),All Phase 1 domains distributed; 4 months elapsed,None,HIGH,This is the first comprehensive Phase 1 impact assessment. Results inform Phase 3 institutional deliverable scope and resource allocation through 2027.
15,2026-10-01,2026-10-31,Phase 3 Planning,Pre-midterm Phase 3 scoping: identify which Phase 2 domains have highest organizational adoption (adoption_level ≥3); scope congressional testimony and model legislation deliverables for post-midterm production. Phase 3 targets: Domain 59 → state-level automatic voter registration model bill; SNAP work requirement challenge comment letters; OBBBA Medicaid implementation data collection. Domain 57 → Senate Foreign Relations Committee hearing materials; NDI/IRI/Freedom House FY2027 advocacy cycle. Domain 56 → 2027 Schedule Policy/Career litigation amicus brief support; MSPB reform testimony. 6 hours.,6,Queued,All paths,Phase 1 adoption review complete; Domain 57/59/56 distributed,None,MEDIUM,Phase 3 institutional deliverables require 2026 OBBBA implementation data (available December 2026+). Planning in October; production begins January 2027.
15,2026-10-01,2026-10-31,Domain 59,Pre-midterm distribution intensification: prioritize voting rights and election protection organizations in competitive states (AZ / GA / PA / WI / NV / MI) ahead of November 3. Coordinate with Domain 37 contacts (Path A+37 and B: already have these relationships). Provide tailored 1-page summary for organization use in rapid-response materials. 2 hours.,2,Queued,All paths,Distribution active,2026-11-03 [RED],CRITICAL,
16,2026-11-03,2026-11-30,Post-Midterm Analysis,November 3 midterms: assess Phase 2 domain adoption in election protection advocacy; identify which analysis was cited or integrated in litigation briefs / legislative testimony / voter education materials / press coverage. Document adoption by domain in CHECKIN.md. 8 hours.,8,Queued,All paths,Midterms complete,None,HIGH,First external validation of Phase 2 research impact. Key question: which domains reached which audiences before their critical windows? Under Path A: was the Domain 37 Week 2 catch-up sufficient to reach election protection orgs in time? Under Path B: did the delayed distribution reduce adoption compared to A/A+37?
16,2026-11-03,2026-11-30,Domain 59,Phase 3 scoping: OBBBA Medicaid work requirements take effect December 2026 (per HHS implementation timeline). State-level automatic voter registration model bill research — NCSL survey of existing AVR laws; identify gaps. SNAP implementation challenge research: which SNAP work requirement provisions are most legally vulnerable? Scope comment letter project. 4 hours.,4,Queued,All paths,OBBBA implementation begins December 2026,None,MEDIUM,Phase 3 deliverables are 2027 production. Research scoping begins now using December 2026 implementation data.
17,2026-12-01,2026-12-15,Phase 3 Preparation,Domain 57 Phase 3: Senate Foreign Relations Committee hearing materials (constitutional asymmetry memo; treaty withdrawal notification bill one-pager); NDI/IRI/Freedom House FY2027 grant cycle advocacy materials (democracy support programming in post-withdrawal context). Domain 59 Phase 3: SNAP implementation comment letters; Medicaid work requirement challenge research synthesis; OBBBA Medicaid implementation data collection begins. 10 hours.,10,Queued,All paths,Phase 2 complete; OBBBA implementation data begins December 2026,2027-01-31 [target start],MEDIUM,Phase 3 institutional deliverables convert Phase 2 research into actionable advocacy documents for specific institutional audiences.
17,2026-12-01,2026-12-15,Domain 58,Phase 3 follow-on (contingent on Trump v. Barbara ruling): if birthright citizenship ruling issued against tribal members — update Domain 58 with ruling text; add rapid-response analysis of Indian Citizenship Act of 1924 status; distribute updated document to Senate Indian Affairs Committee / NARF / NCAI with ruling-specific cover note. If ruling has not issued by December 15: carry this task into January 2027. 3 hours contingent.,3,Queued (contingent),All paths,Trump v. Barbara ruling issued,2026-12-15 [contingent],HIGH,If ruling issues December 2026 this task is urgent (72-hour turnaround target). If ruling not issued by December 15 carry into 2027.
