Row,Sprint Day,Week,Track,Task,Start Date,End Date,Duration Days,Predecessor,Float Days,Critical Path,Resource Hours,Milestone,Notes
36,D8,Week 2,Design — Immunity,Immunity cover design: Goldenseal root or Ashwagandha hero / Deep Burgundy #8B3E3E / existing template,2026-06-29,2026-06-29,1,WH upload complete; hero photo pre-staged,4,NO,1.2,No,Highest revision risk cover — Goldenseal root hero may require multiple sourcing attempts. Pre-stage 3-5 candidates. 4-day float.
37,D9,Week 2,Writing — Immunity,D9: Imm Ashwagandha complete (900w — Rasayana context / withanolide RCT framing / cultivation zones 8-12 perennial / 5-7 annual / MANDATORY thyroid + pregnancy warning),2026-06-30,2026-06-30,1,Immunity Day 1 complete,1,YES,5,No,Thyroid/pregnancy warning mandatory — omitting creates product liability. Ashwagandha is the longest single species section in Phase 3 at 900 words.
38,D9,Week 2,Design — Sleep,Sleep cover design: Passionflower flower hero / Muted Lavender #9B8BA0 / existing template,2026-06-30,2026-06-30,1,Imm Day 1 complete; hero photo pre-staged,3,NO,1.2,No,Passionflower iNaturalist CC-BY SE US flower image is the listing thumbnail — visually superior to most live specimens. 3-day float.
39,D10,Week 2,Writing — Immunity,D10: Imm Elderberry condensed (fermentation note / immunity framing) + Goldenseal intro + CITES Appendix II sidebar (200w — MANDATORY verbatim in guide body),2026-07-01,2026-07-01,1,Immunity Day 2 complete,1,YES,5,No,CITES sidebar mandatory. Verbatim text required — see Appendix A. Cannot be deferred to v1.1. Single most important credibility action for practitioner buyers in Immunity bundle.
40,D10,Week 2,Design — Women's Health,WH zone card: existing Phase 2 template / 4-field fill (bundle name / primary species / cultivation zone range / harvest timing),2026-07-01,2026-07-01,1,WH cover done,4,NO,0.8,No,4-day float. 4-field template fill from existing Phase 2 zone card. No structural redesign.
41,D11,Week 2,Writing — Immunity,D11: Imm Goldenseal cultivation (forest farming / rhizome propagation / FGV sourcing) + berberine constituents + shared sections + self-edit,2026-07-02,2026-07-02,1,Immunity Day 3 complete,1,YES,5,No,FGV sourcing: cite UpS FGV participant directory at unitedplantsavers.org/forest-grown-verified. Berberine framing: contains berberine an alkaloid studied in vitro and clinical settings for antimicrobial activity.
42,D11,Week 2,Design — Respiratory,Resp zone card: existing template / 4-field fill,2026-07-02,2026-07-02,1,Resp cover done,4,NO,0.8,No,4-day float. Elderberry berry cluster thumbnail visible in zone card header.
43,D12,Week 2,Writing — Sleep,D12: Sleep front matter + intro + Valerian complete (800w — second-year root harvest / valerenic acid / MANDATORY sedative drug interaction warning with CNS depressants + benzodiazepines),2026-07-03,2026-07-03,1,Immunity writing in progress,1,YES,4,No,Sedative drug interaction warning mandatory. Second-year root harvest detail is primary differentiation for practitioner buyers.
44,D12,Week 2,Design — Digestive,[DESIGN LOCK EOD] Digestive cover: Dandelion root or Ginger rhizome hero / Sage Green #6B8E6F / existing template — FINAL COVER,2026-07-03,2026-07-03,1,Hero photo pre-staged,0,YES,1.2,Yes — Design Lock,DESIGN LOCK EOD July 3. Zero float. No design changes after this date until post-launch. Any change after July 3 requires 1.2 hrs rework minimum per cover.
45,D12,Week 2,Checkpoint,[CHECKPOINT 2] Green: WH live on Etsy / Immunity complete (3800w) / Sleep started / all 5 covers in production / design lock confirmed,2026-07-03,2026-07-03,0,Day 12 complete,0,YES,0,No,If Immunity not complete by July 3: Immunity shifts July 20 to July 27 (zero sprint-close impact). If Sleep not started: Sleep shifts July 13 to July 16.
46,D13,Week 2,Writing — Sleep,D13: Sleep Passionflower complete (700w — maypop forager crossover / trellis requirements / chrysin+vitexin framing / MANDATORY MAOI interaction note),2026-07-04,2026-07-04,1,Sleep Day 1 complete,2,NO,4,No,MAOI interaction note mandatory. Passionflower maypop fruit is forager cohort crossover hook.
47,D14,Week 2,Writing — Sleep,D14: Sleep Lemon Balm condensed (nervine framing / MANDATORY TSH caution) + Lavender condensed (linalool / aromatherapy / sleep sachet) + shared sections + self-edit,2026-07-05,2026-07-05,1,Sleep Day 2 complete,2,NO,4,No,Lemon Balm TSH warning mandatory. Lavender second occurrence must reframe from WH topical/salve to Sleep aromatherapy/sachet. Shared-species efficiency: 40% effort of first-occurrence.
48,D14,Week 2,Checkpoint,[CHECKPOINT 3] Green: Immunity complete (3800w) / Sleep complete (3500w) / all 5 covers complete / design lock active / Resp PDF queued for July 6-7 upload,2026-07-05,2026-07-05,0,Day 14 complete,0,YES,0,No,If Sleep not complete July 5: Sleep upload shifts July 13 to July 16 (3-day slip / practitioner tier shifts to July 18). Revenue impact negligible.
49,D15,Week 3,Upload — Respiratory,[MILESTONE 2] Respiratory uploaded to Etsy (9-10am ET) — 7-day spacing from WH maximizes algorithmic separation,2026-07-06,2026-07-06,1,Resp PDF complete; all 5 image slots; 13 tags verified,1,YES,2,Yes — Upload 2,72-hr Etsy discovery window. Cold/flu research intent builds July-August. Upload checklist same as WH.
50,D15,Week 3,Writing — Digestive,D15: Resp upload AM (2 hrs) + Digestive intro + Dandelion complete (900w — bitters preparation / wild-edibles cross-sell hook / roasted root coffee substitute / inulin/taraxacin framing),2026-07-06,2026-07-06,1,Resp upload complete,1,YES,5,No,HIGHEST-LEVERAGE SECTION IN PHASE 3. Dandelion cross-sell hook connects wild-edibles forager cohort to medicinal herbs. Kit FORAGER20 segment trigger activates August 3 on this content.
51,D15-16,Week 3,Design — Immunity + Digestive,Immunity zone card + Digestive zone card: existing template / 4-field fill each (0.8 hr per card),2026-07-06,2026-07-07,2,Immunity and Digestive covers done,2,NO,1.6,No,2-day float. Parallel to Digestive writing — design secondary on any constrained day.
52,D16,Week 3,Writing — Digestive,D16: Digestive Calendula condensed (digestive framing — internal infusion / mucosal healing / NOT topical salve angle) + Lemon Balm condensed (carminative framing / post-meal gas relief) + shared sections,2026-07-07,2026-07-07,1,Digestive Day 1 complete,1,NO,4,No,Calendula digestive framing must be distinct from WH topical salve angle. Lemon Balm second occurrence: carminative/digestive foreground vs. nervine foreground.
53,D16,Week 3,Design — Sleep,Sleep zone card: existing template / 4-field fill,2026-07-07,2026-07-07,1,Sleep cover done,2,NO,0.8,No,2-day float. Passionflower flower thumbnail visible in zone card header.
54,D16,Week 3,Design — All,Template consistency review + export test all 5 covers: thumbnail crop 170x135px / hex code match / Playfair Display Bold headers / Lato Italic for Latin binomials,2026-07-07,2026-07-07,1,All 5 covers done; design lock active,2,NO,0.5,No,Final design quality gate before PDF export pass July 10.
55,D16,Week 3,Checkpoint,[CHECKPOINT 4] Green: Resp live / Immunity complete / Sleep complete / Digestive at 1500+ words / all 5 covers done,2026-07-07,2026-07-07,0,Day 16 complete,0,YES,0,No,If Digestive below 1500w July 7: Aug 3 upload shifts to Aug 10 (zero sprint-close impact). If Sleep not complete: Sleep upload shifts July 13 to July 16.
56,D17,Week 3,Writing — Digestive,D17: Digestive Ginger complete (700w — cultivation zones / grocery store rhizome warning / gingerol+shogaol framing / nausea RCT evidence) + Digestive self-edit,2026-07-08,2026-07-08,1,Digestive Day 2 complete,2,NO,4,No,Grocery store rhizome warning: often treated with growth inhibitors — use untreated rhizomes from Strictly Medicinal Seeds or tropical plant supplier. Ginger nausea RCT evidence is the strongest of any Phase 3 species.
57,D18,Week 3,Review — All Bundles,D18: FTC compliance review all 5 bundles — priority: WH (Black Cohosh/Vitex) > Immunity (Goldenseal CITES/Ashwagandha thyroid) > Sleep (sedative interactions) > Resp > Digestive,2026-07-09,2026-07-09,1,All writing complete,2,NO,3,No,Use FTC Quick Reference table in Appendix A. Cannot defer WH and Immunity FTC pass — highest liability exposure. Digestive and Resp can defer to v1.1 if Float Day 1 consumed.
58,D19,Week 3,SEO + PDF Export,D19: SEO optimization pass (Etsy title/tag keyword density) + PDF export all 5 bundles (5MB limit / no placeholder text / all images attributed),2026-07-10,2026-07-10,1,FTC review complete,1,NO,2,No,Etsy title: primary keyword in first 40 chars / under 140 total. 13 tags each under 20 chars. PDF under 5MB per bundle. Confirm all contraindication blocks present.
59,D20,Week 3,Admin — Upload Prep,D20: File naming convention + practitioner variant staging (add license page) + Etsy listing QA for Sleep + Immunity + Digestive queued bundles,2026-07-11,2026-07-11,1,PDFs exported,1,NO,2,No,Practitioner 10-pack price $120-150. Practitioners highest-LTV segment. License page text required per phase-3-medicinal-herbs-etsy-listings.md.
60,D21,Week 3,Float,FLOAT DAY 1: absorbs writing overrun from any Week 3 day OR use for Sleep upload staging and practitioner variant QA,2026-07-12,2026-07-12,1,Writing complete,0,NO,0-8,No,8 hours available. Priority: (1) writing overrun from D17-D20; (2) Sleep upload staging; (3) WORKLOG.md update. Sprint proceeds to July 13 Sleep upload regardless.
61,D22,Week 3,Upload — Sleep,[MILESTONE 3] Sleep uploaded to Etsy (9-10am ET) — SPRINT COMPLETION — 7-day spacing from Resp,2026-07-13,2026-07-13,1,Sleep PDF complete; all 5 image slots; 13 tags verified,0,YES,2,Yes — Upload 3 / Sprint Close,SPRINT COMPLETION: WH + Resp + Sleep live. Immunity and Digestive staged for July 20 and August 3. Sprint retrospective + WORKLOG.md final update.
62,POST,Post-Sprint,Admin — Practitioner Tier,[MILESTONE 3B] Practitioner tier live: upload 10-pack listings for all 3 live bundles ($120-150 each) — 3-bundle clinical library minimum met,2026-07-15,2026-07-15,1,WH + Resp + Sleep live,2,NO,1,Yes — Practitioner Tier,2-day float after Sleep upload. Practitioner tier highest revenue-per-unit product in Phase 3. AHG directory cold outreach activates same day if named reviewer secured.
63,POST,Post-Sprint,Upload — Immunity,[MILESTONE 4] Immunity uploaded to Etsy (9-10am ET) — 7-day spacing from Sleep — review accumulation for Nov-Dec cold/flu gifting begins,2026-07-20,2026-07-20,1,Immunity PDF + listing draft complete,0,YES,2,Yes — Upload 4,November-December cold/flu gifting peak is primary revenue window for Immunity. Review accumulation from July 20 = 4+ months before peak.
64,POST,Post-Sprint,Upload — Digestive,[MILESTONE 5] Digestive uploaded to Etsy (9-10am ET) — Kit FORAGER20 cross-sell trigger — FULL 5-BUNDLE LAUNCH COMPLETE,2026-08-03,2026-08-03,1,Digestive PDF + listing draft complete,0,YES,2,Yes — Upload 5 / Full Launch,Full launch complete. 14-day gap from Immunity. Kit email trigger: FORAGER20 segment receives dandelion cross-sell August 3. Autumn gut-health positioning window opens.
65,CONTINGENCY,Contingency,Contingency,[C1] Goldenseal CC path activated: email media@ncbg.unc.edu + media@mobot.org; log 3 Wikimedia CC-BY-SA Goldenseal filenames in PHOTO_ATTRIBUTION_LOG.md,2026-06-07,2026-06-07,1,No order confirmation by June 7 EOD,0,NO,0.5,No,Trigger: no Goldenseal order confirmation by June 7 EOD. Zero cost / zero schedule risk.
66,CONTINGENCY,Contingency,Contingency,[C2] Option C activation: 3-bundle scope — defer Immunity to July 20 and Digestive to Aug 3 — trigger if WH below 2500w EOD June 24,2026-06-24,2026-06-24,0,Day 3 pace check — WH below 2500w,0,NO,0,No,June 29 / July 6-7 / July 13 upload dates unchanged. Revenue at sprint close identical. Goldenseal June 8 deadline drops to quality-upgrade option.
67,CONTINGENCY,Contingency,Contingency,[C3] Upload stagger — shift Immunity to July 27 / Digestive to Aug 10 if July 5 EOD Immunity not complete,2026-07-05,2026-07-05,0,July 5 EOD Immunity not complete,0,NO,0,No,Sleep remains July 13. Sprint writing extends to July 15 to complete Immunity. Revenue impact negligible.
68,CONTINGENCY,Contingency,Design,[C4] Google Docs PDF fallback: if any single cover session exceeds 2 hours on first attempt,2026-06-22,2026-07-03,12,Cover session time check,0,NO,0,No,Create Google Docs template matching cover dimensions; export as PDF for launch. Canva version becomes v1.1 post-launch design upgrade.
69,CONTINGENCY,Contingency,Contingency,[C5] Minimum viable launch: upload 2-3 ready bundles by July 13 if fewer than 3 bundles written and export-ready at Day 18 (July 9),2026-07-09,2026-07-09,0,Day 18 bundle count below 3,0,NO,0,No,Priority order: WH -> Resp -> Sleep. Practitioner tier activates at 3-bundle minimum — defer if only 2 ready.
70,CONTINGENCY,Contingency,Supplier,[C6] Mountain Rose Herbs delayed: order Frontier Co-op emergency ship if MRH not shipped by June 20,2026-06-20,2026-06-20,0,MRH ship confirmation not received by June 20,0,NO,0.5,No,Frontier Co-op carries comparable coverage at comparable cost. 3-5 business day ship. No studio session delay if Frontier ordered by June 20.
71,CONTINGENCY,Contingency,Admin,[C7] AHG peer reviewer not secured by June 21: begin sprint June 22 as planned / delay chapter newsletter outreach until reviewer secured,2026-06-21,2026-06-21,0,No reviewer confirmed by June 21,0,NO,0,No,Revenue ceiling risk — not a sprint blocker. Etsy listing goes live June 29 without reviewer quote; add retroactively.
72,CONTINGENCY,Contingency,Supplier,[C8] Black Cohosh delayed past June 28: activate iNaturalist CC-BY Appalachian range as primary photo source; log CC source in WORKLOG.md; continue sprint Day 1 writing unchanged,2026-06-22,2026-06-22,0,Black Cohosh not arrived by sprint Day 1,0,NO,0,No,iNaturalist has abundant Actaea racemosa June-August from Appalachian states. Zero writing impact. v1.1 live specimen photo added on receipt.
73,CONTINGENCY,Contingency,Contingency,[C9] Phase 2 5-day slip (launches June 4): gate metrics delayed; sprint defers to June 27 start; first upload shifts to July 4; Sleep shifts to July 18; all float absorbed,2026-06-04,2026-06-04,0,Phase 2 Track B launches June 4,0,NO,0,No,Pre-sprint photography and supplier activities continue on original schedule. No scope reduction required.
74,RESOURCE,Resource Summary,ALL,WEEK 1 RESOURCE TOTAL (June 22-28),2026-06-22,2026-06-28,7,—,—,—,43.4,No,Writing 31 hrs / Design 2.4 hrs / Photography 10 hrs. Highest-intensity week. Writing 5 hrs/day. Photography and design parallel.
75,RESOURCE,Resource Summary,ALL,WEEK 2 RESOURCE TOTAL (June 29-July 5),2026-06-29,2026-07-05,7,—,—,—,35,No,Writing 28 hrs / Design 5 hrs / Upload 2 hrs. WH upload + Immunity (4 sessions) + Sleep (3 sessions). All 5 covers complete. Design lock July 3.
76,RESOURCE,Resource Summary,ALL,WEEK 3 RESOURCE TOTAL (July 6-13),2026-07-06,2026-07-13,8,—,—,—,29.9,No,Writing 14 hrs / Review 5 hrs / Admin 4 hrs / Design 2.9 hrs / Upload 4 hrs. Digestive writing + FTC review + SEO pass + 2 uploads.
77,RESOURCE,Resource Summary,ALL,SPRINT TOTAL (June 22 — July 13),2026-06-22,2026-07-13,22,—,—,—,108.3,No,Writing 56-66 adj. hrs / Design 14 hrs / Photography 10 in-sprint hrs / Review+Admin 9 hrs / Upload 8 hrs. Adjusted writing with shared-species efficiency. Peak Week 1 (43.4 hrs). Taper Week 3 (29.9 hrs).
