Task Name,Task Type,Start Date,End Date,Owner,Time Estimate (hours),Dependencies,Done Signal,Notes
Appalachian Medicinals bundle cover page — design and assemble,Bundle Asset,May 25,May 25,U,1–1.5,All 4 individual guides finalized,Bundle cover page exported as 1-page PDF; combined 4-guide bundle PDF assembled,Bundle cover should feature a single hero image (forest floor with multiple species visible — source from iNaturalist CC-BY if own shoot does not have a multi-species frame) + Seedwarden logo + "Appalachian Medicinals: Know It, Grow It, Protect It" tagline.
Bundle PDF assembly — combine 4 guides + cover into single Canva or PDF document,Bundle Asset,May 25,May 25,U,0.5,Bundle cover page complete; all 4 guide PDFs finalized,Single combined PDF of bundle (cover + 4 guides) exported and saved to /assets/phase-2-guide-photos/bundles/,If Canva multi-page export is unreliable for large files: use Adobe Acrobat online (free tier) to combine the 5 PDFs into one.
Etsy listing cover images — export 1:1 crop of each guide cover at 2400x2400,Etsy Asset,May 25,May 25,U,0.5,All 4 guide PDFs finalized,Four cover images (one per species + one for bundle) exported at 2400x2400 JPEG; named per convention: ginseng-etsy-cover.jpg / goldenseal-etsy-cover.jpg / black-cohosh-etsy-cover.jpg / ramps-etsy-cover.jpg / appalachian-bundle-etsy-cover.jpg,Etsy requires minimum 2000px on shortest side; 2400x2400 satisfies this. Verify image quality at 100% zoom — any compression artifact at this zoom will be visible on the Etsy product page.
Second reader review — Zone 5 (Conservation Status) and Zone 6 (Practical Use) all 4 guides,Quality Gate,May 26,May 26,U,1.5 per guide / 6 h total,All 4 guides in draft PDF,Second reader has reviewed all Zone 5 and Zone 6 sections; all comments addressed; revised PDFs exported,This is the highest-risk review. Zone 5 requires: species-specific conservation status cited from UpS/CITES/state agency sources; no conflation of species statuses. Zone 6 requires: FTC-compliant disclaimer for all medicinal content; no health claims.
Etsy listing drafts — build all 5 listings (4 singles + 1 bundle),Etsy Setup,May 27,May 27,U,3–4,Final PDFs for all 4 guides + bundle; Etsy cover images exported; 13 tags per listing verified in etsy-seo-market-research.md,All 5 Etsy draft listings saved in Etsy seller account; each has: title / 13 tags / full description / pricing / PDF uploaded / cover image uploaded / category set to Digital Downloads,Pricing: individual guides $18–22 each; Appalachian Medicinals bundle $32. Do not publish yet — save as draft.
Etsy listing QA — verify all 5 drafts are complete and accurate,Quality Gate,May 28,May 28,U,1.5,"All 5 Etsy draft listings complete; Kit broadcast automation active; Buffer social queue confirmed","All 5 listings: tags (13 each), description (conservation hook in sentence 1), pricing correct, FTC disclaimer in description, PDF downloadable via Etsy test download, cover image 2400x2400",Add ""conservation hook test"": read the first sentence of each listing description — does it communicate the conservation story? If not, revise before publishing.
Kit broadcast automation test — send test email to test@seedwarden.local,Systems Check,May 28,May 28,U,0.25,Kit landing page live; email sequence active,Test email received within 5 minutes of form submission; subject line / merge tags / CTA link all correct,This test must succeed before going to bed May 28. If it fails: diagnose and fix before May 29 morning.
Buffer social queue verification — confirm all May 30 posts scheduled,Systems Check,May 28,May 28,U,0.25,All social copy finalized in phase-2-social-content-calendar-60day.md,Buffer history shows 7 posts scheduled for May 30 at correct times (08:00 / 09:00 / 10:30 / 12:00 / 13:00 / 16:00 / 17:00 UTC); no failed-upload errors,Check post text and attached images — confirm no placeholder copy remains.
Etsy listings PUBLISH — all 5 live at 9:30am ET,Launch,May 30,May 30,U,0.25,All QA checks passed on May 28; Go/No-Go decision: GO,All 5 Etsy listings status = Active; confirmed visible from incognito browser,Publish at 9:30am ET (30 minutes before planned social launch push at 10am ET) — this gives Etsy's indexing a head start. After publishing: test-download each PDF via Etsy buyer account to confirm delivery works.
Post-launch guide review — check Etsy order confirmations and PDF delivery success,Post-Launch,May 30,Jun 1,U,Ongoing,Listings live; first orders received,All orders show PDF download delivered successfully; no buyer complaints about missing downloads,Monitor Etsy Messages for delivery issues. Most common failure: buyer cannot find the download link in their Etsy account — this is a buyer-education issue not a technical failure; respond within 4 hours with the direct download path.
