Task ID,Task Name,Phase,Start,End,Duration (days),Track,Predecessor IDs,Owner,Float (days),Critical Path,Revenue / Gate,Notes
11,[HARD DEADLINE] Goldenseal order placed OR Wikimedia CC path confirmed in writing,PRE-SPRINT,Jun 8,Jun 8,0,SUPPLIER,7,User,0,YES,GATE — Immunity bundle photography unresolved without this,Email media@ncbg.unc.edu + media@mobot.org if ordering uncertain; log decision in SUPPLIER_CONFIRMATION_TRACKER.md
12,Seedling photography session — Calendula + Red Clover + Lemon Balm + Thyme + Lavender + Ginger start,PRE-SPRINT,Jun 3,Jun 9,7,PHOTOGRAPHY,9,User,10,No,,Seeds started May 15–26 should sprout by June 3–4; target 30–40 seedling images; cull to 20–30 keepers
13,Mature + flowering specimen photography — Black Cohosh + Elderberry (if arrived) + Echinacea rosette,PRE-SPRINT,Jun 10,Jun 16,7,PHOTOGRAPHY,11,User,5,No,,Photograph within 3 days of plant arrival; use iNaturalist CC-BY as automatic fallback for species not yet arrived
14,[HARD DEADLINE] Elderberry order placed (Prairie Moon bare-root $30–45; local nursery potted fallback by June 22),PRE-SPRINT,Jun 15,Jun 15,0,SUPPLIER,11,User,0,YES,GATE — Respiratory bundle photography unresolved,Local nursery potted elderberry is valid contingency if Prairie Moon OOS
15,[HARD DEADLINE] Mountain Rose Herbs dried herbs ordered — all 12 species 1 oz each ($80–120),PRE-SPRINT,Jun 15,Jun 15,0,SUPPLIER,8,User,0,YES,Dried herb studio session blocked without delivery,Frontier Co-op is 3–5 day emergency backup if Mountain Rose cannot confirm by June 18
16,[PALETTE DECISION DEADLINE] Confirm 6 Phase 3 hex codes or approve revision — MUST DECIDE TODAY,PRE-SPRINT,Jun 15,Jun 15,0,DESIGN,4,User,0,YES,Cover design begins June 23 — post-deadline change = 2-3 hrs rework per cover,Default confirmed palette: Deep Burgundy #8B3E3E / Sage Green #6B8E6F / Apothecary Gold #D4AF37 / Clinical Cream #F9F5F0 / Muted Lavender #9B8BA0 / Dark Charcoal #2C2C2C
17,Mountain Rose Herbs dried herbs delivered — dried herb studio photography session,PRE-SPRINT,Jun 17,Jun 21,5,PHOTOGRAPHY,15,User,1,No,,North-facing window 9am–2pm; 5 bundle-themed flat-lays; target 100–150 raw images; cull to 50–60 keepers at 2400×2400px
18,Photo edit + cull — 50-60 keeper exports at 2400×2400px; organize by bundle folder; flag cover hero per bundle,PRE-SPRINT,Jun 19,Jun 21,3,PHOTOGRAPHY,17,User,1,No,,Warm preset: +0.2 exp / -20 highlights / +15 shadows; create PHOTO_MANIFEST.csv and PHOTO_ATTRIBUTION_LOG.md
19,Attribution logging — all Wikimedia CC + iNaturalist sources logged in WORKLOG.md,PRE-SPRINT,Jun 21,Jun 21,0,ADMIN,18,User,0,YES,ZERO TOLERANCE — no unlicensed images in published guides,Format: species / source URL / license type / filename / date retrieved
20,Canva brand kit updated — Phase 3 Medicinal palette loaded + one zone card pre-tested and export confirmed,PRE-SPRINT,Jun 21,Jun 21,0,DESIGN,16,User,1,YES,Sprint design blocked without brand kit; must complete before June 22,15-minute action per canva-phase-3-adaptation-guide.md; test export confirms all 6 hex codes render correctly
21,Writing production templates confirmed ready in phase-3-production-templates/ (3 files),PRE-SPRINT,Jun 1,Jun 1,0,WRITE,2,User,4,No,,medicinal-bundle-outline-template.md + species-guide-template.md + practitioner-content-template.md
22,Bundle intro paragraphs drafted for all 5 bundles (400–500w each — written pre-sprint not during),PRE-SPRINT,Jun 1,Jun 5,5,WRITE,21,User,10,No,,Front-loading intros eliminates blank-page delay on sprint Day 1 per bundle
23,[GATE CHECK] Phase 2 Week 1 post-launch data — forager cohort % + Native Plants conversion %,PRE-SPRINT,Jun 6,Jun 6,0,GATE,1,User,—,No,YELLOW if either drops below threshold — alert immediately,Record in phase-3-gate-tracker.md; check every Wednesday 6pm UTC
24,[GATE CHECK] Phase 2 Week 2 data — forager cohort % + Native Plants conversion % — second weekly check,PRE-SPRINT,Jun 13,Jun 13,0,GATE,23,User,—,No,RED if both drop below threshold — defer sprint to July re-check,Both gates cleared at Phase 1 baseline; gate drop unlikely but must be confirmed post-launch
25,Tier 3 plant orders placed on sprint start day (Echinacea + Ashwagandha + Passionflower + Valerian + Ginger + Vitex),SPRINT,Jun 22,Jun 22,0,SUPPLIER,20,User,0,YES,Tier 3 plants needed for in-sprint studio photography sessions (June 23–25),Strictly Medicinal Seeds primary; Prairie Moon fallback; 2–3 week lead time; arrive July 8–13
26,[GATE CHECK] Final pre-sprint gate check — forager cohort % + Native Plants conversion % — authorize sprint proceed,PRE-SPRINT,Jun 20,Jun 20,0,GATE,24,User,1,YES,Go/No-Go for June 22 sprint start,Record final values in phase-3-gate-tracker.md; sign off in WORKLOG.md June 21
27,[SPRINT BEGINS] Day 1 (D1) — WH: Front matter + Introduction + Black Cohosh (700w — conservation sidebar / cultivation / contraindications),SPRINT,Jun 22,Jun 22,1,WRITE,20;25,User,1,YES,Bundle 1 of 5 — Women's Health ($22 / breakeven 14–17 units),Black Cohosh conservation sidebar (150w) and Cherokee traditional use framing require accuracy review
28,D2 — WH: Vitex (600w — invasive note SE states) + Red Clover (400w — isoflavone framing); Photo: Calendula + Red Clover seedlings studio batch,SPRINT,Jun 23,Jun 23,1,WRITE+PHOTO,27,User,1,YES,,Vitex invasive watch list (TN/NC) note is mandatory; Red Clover phytoestrogenic isoflavone framing per FTC quick reference
29,D2 — Women's Health cover design (Black Cohosh or Calendula hero; Deep Burgundy #8B3E3E — 1.2 hrs),SPRINT,Jun 23,Jun 23,1,DESIGN,20,User,4,No,,Float 4 days — complete before June 28 EOD
30,D3 — WH: Calendula (400w) + Lavender (400w — 3 cultivars) + preparation methods + self-edit pass; Photo: Lavender + Lemon Balm + Thyme studio batch,SPRINT,Jun 24,Jun 24,1,WRITE+PHOTO,28,User,0,YES,WH writing MUST complete by June 28 EOD for June 29 upload — zero float,Lavender: Hidcote / Munstead / Phenomenal cultivar comparison
31,[PACE GATE] Writing pace self-test EOD June 24 — if WH below 2,500 words activate Option C (3-bundle scope),SPRINT,Jun 24,Jun 24,0,CHECKPOINT,30,User,0,YES,SCOPE DECISION TRIGGER — Option C defers Immunity Aug 3 / Digestive Aug 17,"If WH < 2,500w at EOD D3: writing pace below 300w/hr — activate Option C immediately to protect June 29 / July 6–7 / July 13 upload dates"
32,D4 — Resp: Introduction + Elderberry (800w — raw berry toxicity / sambunigrin / cultivar guide); Respiratory cover design (1.2 hrs); Photo: Immunity props dried herb studio batch,SPRINT,Jun 25,Jun 25,1,WRITE+DESIGN+PHOTO,30,User,1,YES,Bundle 2 of 5 — Respiratory ($20 / breakeven 14–17 units),Elderberry raw berry toxicity (sambunigrin) and cross-pollination cultivar note require accuracy; elderflower = forager cross-sell hook
33,D5 — Resp: Mullein (600w — biennial / ear oil prep) + Echinacea two-species (600w — E. purpurea vs E. angustifolia / UpS At-Risk sidebar); Studio edit + cull Days 1–3 photos,SPRINT,Jun 26,Jun 26,1,WRITE+PHOTO,32,User,1,YES,,E. angustifolia conservation sidebar mandatory; two-species comparison is primary content differentiation vs PLR guides
34,D6 — Resp: Thyme (500w — thymol / pregnancy caution) + shared sections + WH final self-edit pass,SPRINT,Jun 27,Jun 27,1,WRITE,33,User,2,No,,Lighter day; WH self-edit pass is final quality gate before PDF export
35,D7 — Resp self-edit pass; WH PDF export QA (5MB limit / no placeholder / attribution confirm / thumbnail crop 170×135px),SPRINT,Jun 28,Jun 28,1,WRITE+ADMIN,34,User,2,No,,WH PDF must be export-ready by end of D7; Resp PDF can slip 1 day without affecting July 6–7 upload
36,[MILESTONE 1] Women's Health bundle uploaded to Etsy (9–10am ET; $22; practitioner 10-pack $120–130 simultaneously),SPRINT,Jun 29,Jun 29,1,UPLOAD,35,User,0,YES,REVENUE START — WH live; 72-hr Etsy discovery window opens,Upload checklist: title <140 chars / 13 tags / 5 image slots / test download as buyer / FTC disclaimer visible in PDF
37,D8 — Immunity: Introduction + Echinacea condensed (immunity framing / 60% of Resp length); Immunity cover design (1.2 hrs),SPRINT,Jun 29,Jun 29,1,WRITE+DESIGN,36,User,1,YES,Bundle 3 of 5 — Immunity ($22 / breakeven 14–17 units),Second occurrence of Echinacea — requires ~40% of first-occurrence writing effort; immunity framing only
38,D9 — Immunity: Ashwagandha complete (900w — Rasayana context / withanolide framing / MANDATORY thyroid + pregnancy warning); Sleep cover design (1.2 hrs),SPRINT,Jun 30,Jun 30,1,WRITE+DESIGN,37,User,1,YES,,Ashwagandha thyroid/pregnancy warning is MANDATORY — omitting creates product liability; withanolide framing requires 'studied in RCTs' language
39,[CHECKPOINT 1] Green condition: WH live on Etsy + Respiratory complete + Immunity writing started + 2 of 5 covers done,SPRINT,Jun 30,Jun 30,0,CHECKPOINT,38,User,0,YES,CHECKPOINT GATE — if WH not uploaded: activate date-slip path (WH July 3 / Resp July 10 / Sleep July 17),"If Immunity writing not started by June 30 AM: evaluate Option C. Option A still viable if Immunity catches up by July 3 (design lock day)."
40,D10 — Immunity: Elderberry condensed + Goldenseal intro + CITES Appendix II sidebar (200w — MANDATORY); WH zone card (0.8 hrs),SPRINT,Jul 1,Jul 1,1,WRITE+DESIGN,38,User,1,YES,,CITES sidebar mandatory in Immunity bundle: 'Goldenseal is listed in CITES Appendix II. International trade in wild-harvested material requires export permits. This guide recommends cultivated sources only.'
41,D11 — Immunity: Goldenseal cultivation (200w) + FGV sourcing documentation + berberine framing + self-edit; Respiratory zone card (0.8 hrs),SPRINT,Jul 2,Jul 2,1,WRITE+DESIGN,40,User,1,YES,,FGV sourcing: cite UpS FGV participant directory URL; berberine: 'Contains berberine studied in vitro and clinical settings for antimicrobial activity'
42,D12 — Sleep: Introduction + Valerian (800w — second-year root harvest / valerenic acid / sedative drug interaction / WWI shell shock note); Digestive cover design (1.2 hrs) — DESIGN LOCK EOD JULY 3,SPRINT,Jul 3,Jul 3,1,WRITE+DESIGN,41,User,1,YES,DESIGN GATE — all cover changes final before EOD July 3; no changes after this date,Digestive cover is the final cover; design lock July 3 EOD gives 5-day buffer before July 7 export check
43,D13 — Sleep: Passionflower (700w — maypop edibility forager crossover / trellis requirements / chrysin+vitexin framing / MAOI interaction note MANDATORY),SPRINT,Jul 4,Jul 4,1,WRITE,42,User,2,No,Bundle 4 of 5 — Sleep and Nervines ($20 / breakeven 14–17 units),MAOI interaction warning is mandatory; Passionflower is the listing thumbnail species — visual anchor for Sleep bundle
44,D14 — Sleep: Lemon Balm condensed (nervine framing / TSH caution MANDATORY) + Lavender condensed (linalool aromatherapy / sleep sachet — distinct from WH salve angle) + shared sections + self-edit,SPRINT,Jul 5,Jul 5,1,WRITE,43,User,2,No,,Lemon Balm TSH warning is mandatory; this Lavender occurrence foregrounds linalool evidence vs. WH topical salve
45,[MILESTONE 2] Respiratory bundle uploaded to Etsy (9–10am ET; $20; 7-day spacing from WH upload),SPRINT,Jul 6,Jul 7,2,UPLOAD,35,User,1,YES,REVENUE START — Resp live at $20; 72-hr discovery window; maximizes algorithmic separation from WH,Resp upload on July 6–7 (2-day window); confirm all 5 image slots filled; practitioner 10-pack simultaneously
46,D15 — Digestive: Introduction + Dandelion (900w — bitters / wild-edibles cross-sell hook / roasted root coffee sub / inulin+taraxacin framing); Immunity + Digestive zone cards (1.6 hrs total),SPRINT,Jul 6,Jul 7,2,WRITE+DESIGN,45,User,1,YES,Bundle 5 of 5 — Digestive Support ($20 / breakeven 14–17 units),Dandelion is highest-ROI species in Phase 3: cross-sell from forager cohort; 'If you purchased Wild Edibles Quick Reference you have already met dandelion…'
47,D16 — Digestive: Calendula condensed (digestive framing — tea not oil / mucosal healing) + Lemon Balm condensed (carminative) + shared sections; Sleep zone card (0.8 hrs); Export test all 5 covers (thumbnail at 170×135px),SPRINT,Jul 7,Jul 7,1,WRITE+DESIGN,46,User,1,No,,Calendula digestive framing vs. WH: internal infusion + anti-inflammatory GI use; Women's Health covers topical salve
48,[CHECKPOINT 2] Green condition: Respiratory live + Immunity + Sleep writing complete + Digestive at 1500+ words + all 5 covers complete (design lock July 3 confirmed),SPRINT,Jul 7,Jul 7,0,CHECKPOINT,47,User,0,YES,CHECKPOINT GATE — if Sleep not complete: Sleep shifts from July 13 to July 16 (3-day slip / no cascade),"If fewer than 3 bundles written and export-ready at July 7: activate Contingency 5 (minimum viable launch — priority WH → Sleep → Resp)"
49,D17 — Digestive: Ginger (700w — grocery store rhizome warning / cultivation zones / gingerol+shogaol framing / nausea RCT evidence) + Digestive self-edit,SPRINT,Jul 8,Jul 8,1,WRITE,46,User,2,No,,Ginger nausea RCT evidence base is strongest of any Phase 3 species; frame: 'Multiple RCTs studied for nausea associated with pregnancy / chemo / postoperative recovery'
50,D18 — FTC language compliance review all 5 bundles (efficacy claims / contraindication completeness / qualifying language / mandatory warnings),SPRINT,Jul 9,Jul 9,1,REVIEW,49,User,2,No,,Priority review order: WH (Black Cohosh / Vitex) → Immunity (Goldenseal CITES / Ashwagandha thyroid+pregnancy) → Sleep (sedative interaction mandatory all 4 species) → Respiratory → Digestive
51,D19 — SEO optimization pass (Etsy title/tag keyword density verification); PDF export all 5 bundles (<5MB / no placeholder / attribution complete); sources compilation,SPRINT,Jul 10,Jul 10,1,REVIEW+ADMIN,50,User,1,No,,Etsy title: primary keyword in first 40 characters / under 140 total; 13 tags each under 20 characters
52,D20 — Sleep upload staging; file naming convention all 5 bundles; practitioner 10-pack ($120–130) staging all 5 bundles; Immunity listing QA,SPRINT,Jul 11,Jul 11,1,UPLOAD_PREP,51,User,1,No,,Practitioner 10-pack price: $120–130; practitioners are highest-LTV segment across all 5 bundles
53,D21 — FLOAT DAY 1: absorb writing overrun from any Week 3 day OR begin Sleep upload staging early,SPRINT,Jul 12,Jul 12,1,FLOAT,52,User,0.3,No,BUFFER — 8 hours available to absorb any Week 2 or 3 single-day overrun,If Days D15–D19 on schedule: use for Sleep upload staging and practitioner variant QA
54,[MILESTONE 3] Sleep and Nervines bundle uploaded to Etsy (9–10am ET; $20; sprint completion — WH + Resp + Sleep live),SPRINT,Jul 13,Jul 13,0,UPLOAD,53,User,0,YES,REVENUE START — Sleep live; sprint completion definition = WH + Resp + Sleep uploaded,WORKLOG.md sprint retrospective entry: pace by bundle / float used / supplier status / photo attribution log / contingencies activated
55,[CHECKPOINT 3 — SPRINT CLOSE] Confirm: WH + Resp + Sleep live / Immunity staged July 20 / Digestive staged August 3 / all 5 PDFs export-ready / all attributions logged,SPRINT,Jul 13,Jul 13,0,CHECKPOINT,54,User,0,YES,SPRINT COMPLETION GATE — sprint is NOT complete if PDFs are not ready regardless of upload date,All 5 bundle PDFs must be export-ready at sprint close; Immunity and Digestive stage for post-sprint upload
56,FLOAT DAY 2: contingency buffer — available for any task that slipped from sprint days D1–D21,SPRINT,Jul 13,Jul 13,1,FLOAT,55,User,0,No,BUFFER — sprint end-date protection; use only if Milestone 3 slipped,If sprint runs to plan: this day is used for WORKLOG.md retrospective entry and Phase 3 KPI spreadsheet initialization
57,[MILESTONE 4] Immunity Support bundle uploaded to Etsy (9–10am ET; $22; 7-day spacing from Sleep upload),POST-SPRINT,Jul 20,Jul 20,0,UPLOAD,41,User,0,YES,REVENUE START — Immunity live at $22; review accumulation for Nov–Dec cold/flu gifting window begins,Goldenseal CITES sidebar must appear in uploaded PDF; practitioner 10-pack $130 (top-of-range justified by CITES content complexity)
58,[MILESTONE 5] Digestive Support bundle uploaded to Etsy (9–10am ET; $20; full 5-bundle launch complete),POST-SPRINT,Aug 3,Aug 3,0,UPLOAD,49,User,0,YES,FULL LAUNCH COMPLETE — forager cohort cross-sell email trigger (FORAGER20 segment on Aug 3),Kit email trigger: FORAGER20 segment receives 'extend your dandelion knowledge' messaging on Aug 3 upload day — highest-leverage cross-sell in Phase 3
59,[CONTINGENCY 1] Option C activation: 3-bundle scope if WH below 2500w EOD June 24 — defer Immunity to Aug 3 / Digestive to Aug 17,CONTINGENCY,Jun 24,Jun 24,0,CONTINGENCY,31,User,0,No,Revenue impact: Immunity delayed 14 days from July 20 to Aug 3; Digestive delayed 14 days from Aug 3 to Aug 17,Activate: complete WH + Resp on Week 1 schedule / move Sleep to Week 2 / defer Imm + Dgt writing to late July
60,[CONTINGENCY 2] Goldenseal CC photo path: if no order confirmation by June 7 EOD email media@ncbg.unc.edu + media@mobot.org same day,CONTINGENCY,Jun 7,Jun 7,1,CONTINGENCY,11,User,0,No,Zero cost / zero schedule risk / sufficient for launch quality,Actions: email both botanical garden media contacts / download Wikimedia CC-BY-SA Goldenseal images / log in WORKLOG.md; v1.1 update with live specimen if ordered post-deadline
61,[CONTINGENCY 3] Upload stagger path: if Immunity not complete by July 5 EOD shift Immunity to July 27 / Digestive to August 10,CONTINGENCY,Jul 5,Jul 5,0,CONTINGENCY,44,User,0,No,Revenue impact: negligible — 1-week slip on 2 post-sprint bundles,Sleep remains July 13; sprint writing extends to July 15 (2 calendar days beyond nominal sprint end)
62,[CONTINGENCY 4] Google Docs PDF fallback: activate if any single cover design exceeds 2 hours on first attempt,CONTINGENCY,Jun 22,Jul 3,12,CONTINGENCY,27,User,0,No,Guide content quality drives practitioner conversion — Docs PDF is launch-viable; Canva becomes v1.1 upgrade,Create Google Docs template with header image placeholder / bundle title / species list / zone indicator as text
63,[CONTINGENCY 5] Minimum viable launch: upload whichever 2–3 bundles are write-ready by July 13 (priority WH → Sleep → Resp) if pace fails,CONTINGENCY,Jul 9,Jul 9,0,CONTINGENCY,50,User,0,No,Priority sequence protects highest-revenue bundles: WH ($22) → Sleep (visual CTR via Passionflower) → Resp (cold/flu season timing),Defer remaining bundles to Aug–Sep; log sprint retrospective in WORKLOG.md with root-cause analysis
64,[RISK] Supplier delay risk — Goldenseal 5–6 week lead time; Black Cohosh 4–5 week; if not ordered by June 8 only CC photo path available,RISK,Jun 8,Jun 8,0,RISK,11,—,0,YES,Photography quality for Immunity bundle dependent on this single decision date,Mitigation: Path 2 (Wikimedia CC + botanical garden) is zero-cost and zero-schedule-risk; activate if any uncertainty exists
65,[RISK] Design revision loop risk — palette change after June 23 requires 2–3 hrs rework per cover already completed (up to 6 hrs total for 5 covers),RISK,Jun 15,Jun 15,0,RISK,16,—,0,No,,Mitigation: confirm palette by June 15 deadline; no post-decision revisions without explicit scope extension
66,[RISK] Writing pace risk — 300–350 words/hr target across 18,300 words; single writer needs 5+ hrs/day in Weeks 1–2; daily availability must be confirmed before sprint,RISK,Jun 22,Jun 22,0,RISK,31,—,0,No,,Mitigation: Option C (3-bundle) activated at June 24 pace gate if WH below 2,500 words; Option B (second writer) requires briefing by June 1
67,[RISK] Photography dependency risk — Mountain Rose Herbs delivery is critical path for dried herb studio session; Frontier Co-op is 3–5 day emergency backup,RISK,Jun 15,Jun 15,0,RISK,15,—,0,YES,Studio photography session cannot proceed without dried herb delivery; backup must be ordered no later than June 20,Mitigation: order June 15; if not shipped by June 20 order Frontier Co-op same day
68,[REVENUE MODEL] Break-even per bundle: WH 14–17 units / Resp 13–16 / Immunity 15–18 / Sleep 13–16 / Digestive 13–16 at $20–22 price point,FINANCIAL,Aug 3,Oct 3,60,FINANCIAL,58,—,—,No,5-bundle portfolio break-even: ~75–90 total sales; steady-state 12-month revenue $2100–$3500 (guides alone) + practitioner 10-pack uplift,Conservative: 3–5 sales/bundle/month × 5 bundles × $21 avg = $315–525/month gross; practitioner 10-pack ($120–130) doubles revenue floor at 1 sale/month/bundle
69,[REVENUE MODEL] Forager cohort attach rate — 15% of Phase 2 forager buyers purchase 1+ Phase 3 bundle by Month 6 (Digestive bundle primary vehicle),FINANCIAL,Aug 3,Jan 3,153,FINANCIAL,58,—,—,No,Dandelion cross-sell is highest-ROI content investment in Phase 3 — zero new customer acquisition cost,Kit email trigger Aug 3: FORAGER20 segment 'extend your dandelion knowledge' messaging; forager attach rate target 15% conservative / 25% optimistic
