Phase,Day,Date,Track,Task,Type,Duration (hours),Owner,Dependencies,Float (days),Critical Path,Revenue / Decision Gate,Notes
WEEK 1,D1,Jun 22,WRITE + SUPPLIER,WH: Front matter + Introduction + Black Cohosh (700w — identification / conservation sidebar / cultivation / harvest / constituents / contraindications); Tier 3 supplier orders placed,Write + Supplier,5.5,User,Brand kit loaded; outlines reviewed,1,YES,Bundle 1 of 5 — Women's Health ($22 / breakeven 14–17 units),"Black Cohosh conservation sidebar (150w) and Cherokee traditional use framing require accuracy review. Tier 3 orders placed same day: Echinacea + Ashwagandha + Passionflower + Valerian + Ginger + Vitex."
WEEK 1,D2,Jun 23,WRITE + PHOTO,WH: Vitex (600w — invasive note for SE states) + Red Clover (400w — isoflavone framing); Photo: Calendula seedlings + Red Clover seedlings studio batch,Write + Photo,7,User,WH D1 complete,1,YES,,Vitex invasive watch list (TN / NC) note is mandatory. Red Clover: phytoestrogenic isoflavone framing per FTC quick reference.
WEEK 1,D3,Jun 24,WRITE + DESIGN + PHOTO,WH: Calendula (400w) + Lavender (400w — Hidcote / Munstead / Phenomenal cultivar comparison) + preparation methods + practitioner context + seasonal timing + sources + self-edit pass; WH cover design (1.2h); Photo: Lavender + Lemon Balm + Thyme studio batch,Write + Design + Photo,9.2,User,WH D2 complete; hero photo available,0,YES,WH writing must complete by Jun 28 EOD for Jun 29 upload,"WH COMPLETE by end of D3–D7 window. Zero float on WH writing completion relative to Jun 29 upload."
WEEK 1,D4,Jun 25,WRITE + DESIGN + PHOTO,Resp: Introduction + Elderberry (800w — raw berry toxicity / sambunigrin / cultivar guide / elderflower forager crossover); Respiratory cover design (1.2h); Photo: Dried herb Immunity props studio batch,Write + Design + Photo,9.2,User,WH writing in progress; Elderberry hero photo available,1,YES,Bundle 2 of 5 — Respiratory ($20 / breakeven 14–17 units),"Elderberry is most complex Respiratory species. Raw berry toxicity (sambunigrin) and cross-pollination cultivar note require accuracy. Forager cross-sell (elderflower = wild edibles connection)."
WEEK 1,D5,Jun 26,WRITE + PHOTO,Resp: Mullein (600w — biennial lifecycle / ear oil prep / wild harvest ethics) + Echinacea two-species (600w — E. purpurea vs E. angustifolia comparison / UpS At-Risk sidebar for angustifolia); Studio batch edit + cull,Write + Photo,7,User,Resp D1 complete,1,YES,,E. angustifolia conservation sidebar mandatory. Two-species comparison is primary content differentiation vs. PLR guides.
WEEK 1,D6,Jun 27,WRITE,Resp: Thyme (500w — thymol framing / pregnancy caution at large doses) + shared sections + WH final self-edit pass,Write,4,User,Resp D2 complete,2,No,,Lighter day. WH self-edit pass is the final quality gate before PDF export.
WEEK 1,D7,Jun 28,WRITE + ADMIN,Resp self-edit pass; WH PDF export QA (5MB limit / no placeholder text / attribution confirm / thumbnail crop test at 170×135px); Week 2 prep notes,Write + Admin,2,User,Resp writing and WH self-edit done,2,No,,"WH PDF must be export-ready by end of D7. Resp PDF targeted complete but can slip 1 day without affecting Jul 6–7 upload."
WEEK 1 PACE CHECK,CHECK,Jun 24 EOD,CHECKPOINT,[CHECKPOINT: Writing pace self-test] — If WH below 2500 words: activate Option C (3-bundle scope) by D4 June 25,Checkpoint,0,User,WH Day 3 word count,0,CRIT,SCOPE DECISION TRIGGER,"If WH < 2500w at EOD Jun 24: writing pace is below 300w/hr. Activating Option C now preserves Jun 29 / Jul 6–7 / Jul 13 upload dates for the 3-priority-bundle path."
WEEK 2,D8,Jun 29,UPLOAD + WRITE,**[MILESTONE 1] WH uploaded to Etsy (9–10am ET)**; Immunity: Introduction + Echinacea condensed (immunity framing / 60% of Resp length); Immunity cover design (1.2h),Upload + Write + Design,6.2,User,"WH PDF complete, all 5 image slots filled",1,YES,"REVENUE START — WH live at $22 (breakeven 14–17 units). 72-hr Etsy discovery window opens.","Upload checklist: title <140 chars / 13 tags / 5 image slots / test download as buyer / practitioner 10-pack listing simultaneous ($120–130)."
WEEK 2,D9,Jun 30,WRITE + DESIGN,Immunity: Ashwagandha complete (900w — longest section in Phase 3: Rasayana context / withanolide clinical framing / annual vs perennial cultivation zones / mandatory thyroid + pregnancy warning); Sleep cover design (1.2h),Write + Design,6.2,User,Imm D1 complete; hero photo available,1,YES,Bundle 3 of 5 — Immunity ($22 / breakeven 14–17 units),"Ashwagandha thyroid/pregnancy warning is MANDATORY — omitting creates product liability. Withanolide framing: 'studied in RCTs for stress-related physiological markers' — not 'reduces cortisol'."
WEEK 2,D10,Jul 1,WRITE + DESIGN,Immunity: Elderberry condensed (fermentation note added / immunity framing) + Goldenseal intro + CITES Appendix II sidebar (200w — mandatory legal note); WH zone card (0.8h),Write + Design,5.8,User,Imm D2 complete,1,YES,,CITES sidebar is mandatory in Immunity bundle. Language: 'Goldenseal is listed in CITES Appendix II. International trade in wild-harvested material requires export permits. This guide recommends cultivated sources only.'
WEEK 2,D11,Jul 2,WRITE + DESIGN,Immunity: Goldenseal cultivation (200w) + FGV sourcing documentation + active constituents berberine framing + all shared sections + self-edit; Respiratory zone card (0.8h),Write + Design,5.8,User,Imm D3 complete,1,YES,,"Goldenseal section total ~900w. FGV sourcing: cite UpS FGV participant directory URL. Berberine framing: 'Contains berberine, an alkaloid studied in vitro and clinical settings for antimicrobial activity'."
WEEK 2,D12,Jul 3,WRITE + DESIGN,Sleep: Introduction + Valerian complete (800w — second-year root harvest / valerenic acid / drug interaction with sedatives / WWI shell shock note); Digestive cover design (1.2h); **DESIGN LOCK EOD JULY 3 — NO CHANGES AFTER THIS DATE**,Write + Design,5.2,User,Sleep writing begins; Digestive hero photo available,1,CRIT,DESIGN GATE — all cover changes must be final before EOD,"Digestive cover is the final cover. Design lock July 3 EOD gives 5-day buffer before Jul 7 export check. After lock: Google Docs PDF is the fallback for any unresolvable Canva issue."
WEEK 2,D13,Jul 4,WRITE,Sleep: Passionflower complete (700w — unmistakable flower / maypop edibility forager crossover / trellis requirements / chrysin+vitexin framing / MAOI interaction note),Write,4,User,Sleep D1 complete,2,No,Bundle 4 of 5 — Sleep and Nervines ($20 / breakeven 14–17 units),"Passionflower is the listing thumbnail species — the Wikimedia CC flower image is visually superior to a poorly-lit fresh specimen. MAOI interaction note is mandatory."
WEEK 2,D14,Jul 5,WRITE,Sleep: Lemon Balm condensed (nervine framing / TSH caution for thyroid patients) + Lavender condensed (aromatherapy / linalool framing — distinct from WH salve angle) + shared sections + self-edit,Write,4,User,Sleep D2 complete,2,No,,"Lemon Balm TSH warning is mandatory. Lavender: this occurrence foregrounds linalool aromatherapy evidence and sleep sachet prep — Women's Health occurrence covers topical salve."
WEEK 2 CHECKPOINT,CHECK,Jun 30,CHECKPOINT,[CHECKPOINT 1] Green condition: WH live on Etsy + Respiratory complete + Immunity writing started + 2 of 5 covers done,Checkpoint,0,User,D8 complete,0,CRIT,"CHECKPOINT GATE — if WH not uploaded by Jun 30 EOD: activate date-slip path (WH Jul 3 / Resp Jul 10 / Sleep Jul 17); no scope reduction required","If Immunity writing not started by Jun 30 AM: evaluate Option C seriously. Option A still viable if Immunity catches up by Jul 3 (design lock day)."
WEEK 3,D15,Jul 6–7,UPLOAD + WRITE + DESIGN,**[MILESTONE 2] Respiratory uploaded to Etsy (9–10am ET)**; Digestive: Introduction + Dandelion complete (900w — bitters / wild-edibles cross-sell hook / roasted root coffee sub / bitters tincture / inulin+taraxacin framing); Immunity + Digestive zone cards (1.6h),Upload + Write + Design,8.6,User,"Resp PDF complete, all 5 image slots filled",1,YES,"REVENUE START — Resp live at $20. 72-hr discovery window. 7 days after WH upload = maximizes algorithmic separation.","Dandelion section (900w) is the most strategic content in Phase 3: cross-sell hook from forager cohort to medicinal herbs. Wild-edibles cross-sell note: 'If you purchased the Wild Edibles Quick Reference from Seedwarden you have already met dandelion…'"
WEEK 3,D16,Jul 7,WRITE + DESIGN,Digestive: Calendula condensed (digestive framing — tea not oil / mucosal healing) + Lemon Balm condensed (carminative / post-meal gas-relief / nervous digestion) + shared sections; Sleep zone card (0.8h); Export test all 5 covers,Write + Design,5.8,User,Digestive D1 complete,1,No,Bundle 5 of 5 — Digestive Support ($20 / breakeven 14–17 units),"Calendula digestive framing vs. WH: this occurrence covers internal infusion + anti-inflammatory GI use; WH covers topical salve. Same plant / different application."
WEEK 3,D17,Jul 8,WRITE,Digestive: Ginger complete (700w — grocery store rhizome warning / cultivation zones 5–7 annual vs 8–12 perennial / gingerol+shogaol framing / nausea RCT evidence) + Digestive self-edit,Write,4,User,Digestive D2 complete,2,No,,"Ginger nausea evidence base is strongest of any species in Phase 3. Frame: 'Multiple RCTs studied for nausea associated with pregnancy, chemotherapy, and postoperative recovery.'"
WEEK 3,D18,Jul 9,REVIEW,FTC language compliance review all 5 bundles: scan for efficacy claims / contraindications completeness / qualifying language / mandatory warnings (CITES / UpS / thyroid / sedative interactions),Review,3,User,All writing complete,2,No,,Priority review order: Women's Health (Black Cohosh / Vitex) → Immunity (Goldenseal CITES / Ashwagandha thyroid+pregnancy) → Sleep (sedative interaction mandatory in all 4 species) → Respiratory → Digestive
WEEK 3,D19,Jul 10,REVIEW + UPLOAD PREP,SEO optimization pass: Etsy title/tag keyword density verification; PDF export all 5 bundles (<5MB / no placeholders / attribution complete); sources compilation,Review + Admin,4,User,FTC review complete,1,No,,Etsy title: primary keyword in first 40 characters / under 140 total. Tags: 13 tags each under 20 characters.
WEEK 3,D20,Jul 11,UPLOAD PREP,Sleep upload staging; file naming convention for all 5 bundles; practitioner variant (10-pack) staging for all 5 bundles; Immunity listing QA; contingency Respiratory upload if D15 slipped,Admin,2,User,PDF exports complete,1,No,,Practitioner 10-pack price: $120–130. Practitioners are the highest-LTV segment across all 5 bundles.
WEEK 3,D21,Jul 12,FLOAT,**FLOAT DAY 1** — Absorb writing overrun from any Week 3 day OR begin Sleep upload staging early,Float,4,User,Writing complete,0.333,No,BUFFER: 8 hours available — can absorb single-day overrun from Week 2 or 3,"If Days D15–D19 on schedule: use this day for Sleep upload staging and practitioner variant QA."
WEEK 3,D22,Jul 13,UPLOAD + ADMIN,**[MILESTONE 3] Sleep uploaded to Etsy (9–10am ET)**; Sprint retrospective; WORKLOG.md final update; Phase 3 KPI spreadsheet initialized,Upload + Admin,4,User,"Sleep PDF complete, all 5 image slots filled",0.167,YES,"REVENUE START — Sleep live at $20. Sprint completion definition: WH + Resp + Sleep live. Immunity + Digestive staged for Jul 20 + Aug 3.","WORKLOG.md entry: pace (words/hr by bundle) / float used / supplier status for all 14 species / photo attribution log / contingencies activated / actual vs. target hours."
WEEK 3 CHECKPOINT,CHECK,Jul 7,CHECKPOINT,[CHECKPOINT 2] Green condition: Respiratory live + Immunity + Sleep writing complete + Digestive at 1500+ words + all 5 covers complete (design lock Jul 3),Checkpoint,0,User,D16 complete,0,CRIT,"CHECKPOINT GATE — If Sleep not complete at Jul 7: Sleep upload shifts from Jul 13 to Jul 16 (3-day slip / no cascade). If Digestive below 1500w at Jul 7: Aug 3 upload shifts to Aug 10.","If fewer than 3 bundles written and export-ready at Jul 7: activate Contingency 5 (minimum viable launch). Priority: WH → Sleep → Resp."
SPRINT END,CHECK,Jul 13,CHECKPOINT,[CHECKPOINT 3 — SPRINT CLOSE] Confirm: WH + Resp + Sleep live / Immunity staged Jul 20 / Digestive staged Aug 3 / all 5 PDFs export-ready / all attributions logged,Checkpoint,0,User,D22 complete,0,YES,SPRINT COMPLETION GATE,All 5 bundle PDFs must be export-ready regardless of upload date. Sprint is NOT complete if PDFs are not ready.
POST-SPRINT,POST,Jul 20,UPLOAD,**[MILESTONE 4] Immunity uploaded to Etsy (9–10am ET)**; Goldenseal + Ashwagandha keyword peak month,Upload,2,User,Immunity PDF + listing draft complete,0,YES,"REVENUE START — Immunity live at $22. Review accumulation for Nov–Dec cold/flu gifting window begins. 7-day spacing from Sleep upload.","Upload checklist identical to other bundles. Goldenseal CITES sidebar must appear in uploaded PDF. Practitioner 10-pack: $130 (highest-complexity species justifies top-of-range pricing)."
POST-SPRINT,POST,Aug 3,UPLOAD,**[MILESTONE 5] Digestive uploaded to Etsy (9–10am ET)**; Forager cohort cross-sell email trigger (FORAGER20 segment),Upload + Marketing,3,User,Digestive PDF + listing draft complete,0,YES,"REVENUE START — Digestive live at $20. FULL LAUNCH COMPLETE. 14-day gap from Immunity maximizes algorithmic separation and Dandelion cross-sell email coordination.","Kit email trigger: FORAGER20 segment receives 'extend your dandelion knowledge' messaging on Aug 3 upload day. This is the highest-leverage cross-sell moment in Phase 3."
REVENUE MODEL,REV,90 days post-WH launch,FINANCIAL,Break-even analysis per bundle at $20–22 price point,Financial,0,Agent,All bundles live,0,No,,"WH: 14–17 sales to break even on 14–16 hrs writing + design at $25/hr imputed COGS. Resp / Sleep / Digestive: 13–16 sales each. Immunity: 15–18 sales (most writing-intensive). 5-bundle portfolio: ~75–90 total sales."
REVENUE MODEL,REV,90 days post-WH launch,FINANCIAL,Steady-state revenue projection (12-month horizon),Financial,0,Agent,All bundles live + review accumulation,0,No,"12-MONTH REVENUE TARGET: $2100–$3500 (guide sales alone) + practitioner 10-pack uplift","Conservative: 3–5 sales/bundle/month at steady state × 5 bundles × $20–22 avg = $300–550/month gross. Practitioner 10-pack ($120–130): even 1 sale/month/bundle doubles the revenue floor. Phase 3 12-month ceiling with practitioner tier active: $5000–$7000."
REVENUE MODEL,REV,Months 4–6,FINANCIAL,Attach rate model: Phase 2 forager cohort buying Phase 3,Financial,0,Agent,Phase 2 buyer data,0,No,"ATTACH RATE — Conservative: 15% of Phase 2 forager cohort buyers purchase at least 1 Phase 3 bundle by Month 6","At Phase 2 forager cohort 21.3% and current track: Month 3 post-launch should clear break-even on at least 2 bundles. Digestive bundle benefits most from forager cohort attach rate (dandelion cross-sell)."
CONTINGENCY,CONT,Jun 24 EOD,CONTINGENCY,[CONTINGENCY 1] Option C activation: 3-bundle scope if WH below 2500w on D3,Contingency,0,User,D3 writing pace check,0,No,"Immunity + Digestive defer to Aug 3 + Aug 17 (14-day slip each). Jul 13 three-bundle delivery unchanged.","Activate: complete WH + Resp on Week 1 schedule / move Sleep to Week 2 / defer Imm + Dgt writing to late July. Revenue impact: Imm delayed 14 days from Jul 20 to Aug 3; Dgt delayed 14 days from Aug 3 to Aug 17."
CONTINGENCY,CONT,Jun 7 EOD,CONTINGENCY,[CONTINGENCY 2] Goldenseal CC photo path: if no order confirmation by Jun 7 EOD send NC Botanical Garden + Missouri Botanical Garden educational use photo request,Contingency,1,User,Jun 7 supplier check,0,No,Zero cost / zero schedule risk / confirmed sufficient for launch quality,"Actions: email media@ncbg.unc.edu + media@mobot.org / download Wikimedia Commons CC-BY-SA Goldenseal images / log in WORKLOG.md. Quality impact: none for launch version. v1.1 update with live specimen if ordered post-deadline."
CONTINGENCY,CONT,Jul 5 EOD,CONTINGENCY,[CONTINGENCY 3] Upload stagger instead of compressing writing: if Immunity not complete move Imm to Jul 27 / Dgt to Aug 10,Contingency,0,User,Jul 5 Immunity check,0,No,Revenue impact: negligible (1-week slip on 2 post-sprint bundles),"Sleep remains Jul 13. Sprint writing extends to Jul 15 (2 calendar days beyond nominal sprint end). Maintain upload sequence spacing."
CONTINGENCY,CONT,Any D,CONTINGENCY,[CONTINGENCY 4] Google Docs PDF fallback: if any single cover design exceeds 2 hours on first attempt,Contingency,0,User,Cover session time check,0,No,Guide content quality (not layout polish) drives practitioner conversion — Google Docs PDF is launch-viable,"Actions: create Google Docs template with header image placeholder / bundle title / zone indicator as text / export as PDF. Canva version becomes v1.1 design upgrade post-launch."
CONTINGENCY,CONT,Jul 9,CONTINGENCY,[CONTINGENCY 5] Minimum viable launch: if fewer than 3 bundles written and export-ready at D18 checkpoint,Contingency,0,User,D18 bundle count,0,No,Priority: WH (Black Cohosh Etsy Tier 3 keyword) → Sleep (Passionflower visual CTR) → Resp (cold/flu season timing),"Upload whichever 2–3 bundles ready by Jul 13. Defer remaining to Aug–Sep. Log sprint retrospective in WORKLOG.md with root-cause analysis."
