Task,Start,End,Duration (days),Predecessors,Float (days),Critical Path?,Notes
"Self-edit all 5 bundles + FTC language review","2026-07-09","2026-07-09",1,"Writing: Digestive bundle (12-14 hrs)",0,"YES","3 hours; contraindications check; FTC qualifying language pass; sources verification; no new content"
"SEO optimization pass + sources compilation","2026-07-10","2026-07-10",1,"Self-edit all 5 bundles + FTC language review",1,"No","2 hours; keyword density in Etsy descriptions; sources sections finalized; practitioner license page draft"
"PDF export + file prep: all 5 bundles","2026-07-10","2026-07-11",2,"Self-edit all 5 bundles + FTC language review | Zone card design: Immunity + Sleep + Digestive | Cover design: Digestive",0,"YES","Export from Canva; verify <5MB; no placeholder text; all image attribution present; naming convention: MH-BUNDLE-WH-001.pdf etc."
"Upload Week 1: Women's Health Etsy listing live","2026-06-29","2026-06-29",1,"Writing: Women's Health bundle (14-16 hrs) | Cover design: Women's Health + Respiratory | PDF export + file prep: all 5 bundles",2,"No","TARGET June 29; fallback July 1; price $22; title 127 chars confirmed; 13 tags loaded; test download before publish; 9-10am ET upload window"
"Upload Week 2: Respiratory Health listing live","2026-07-06","2026-07-07",2,"Upload Week 1: Women's Health Etsy listing live | Writing: Respiratory Health bundle (12-14 hrs)",0,"YES","7-8 days after Women's Health; price $20; cold/flu season prep positioning; 9-10am ET"
"Upload Week 3: Sleep and Nervines listing live","2026-07-13","2026-07-13",1,"Upload Week 2: Respiratory Health listing live | Writing: Sleep and Nervines bundle (12-14 hrs)",0,"YES","7 days after Respiratory; price $20; burnout/summer positioning; marks end of production sprint"
"Upload Week 4: Immunity listing live","2026-07-20","2026-07-20",1,"Upload Week 3: Sleep and Nervines listing live | PDF export + file prep: all 5 bundles",0,"YES","7 days after Sleep; price $22; Goldenseal + Ashwagandha practitioner keywords peak; 9-10am ET"
"Upload Week 5: Digestive listing live","2026-08-03","2026-08-03",1,"Upload Week 4: Immunity listing live",0,"YES","14-day gap (double spacing); price $20; August gut-health positioning; forager cohort cross-sell; FORAGER20 email trigger"
"Float Day 1","2026-07-12","2026-07-12",1,"Writing: Digestive bundle (12-14 hrs)",0,"No","Absorb up to 5 hrs overrun from Weeks 1-2; or begin Immunity staging if ahead of schedule"
"Float Day 2","2026-07-13","2026-07-13",1,"Float Day 1",0,"No","Absorb remaining overrun; sprint retrospective; WORKLOG.md update; post-sprint monitoring setup"
"WORKLOG.md update (photo attribution + supplier log)","2026-06-17","2026-07-13",27,"Photo editing + culling to 50-60 keepers",14,"No","Rolling; log every Wikimedia CC image with source URL and license; log supplier orders with dates; update at end of each week"
