asset_name,location,format,cc_licensed,tested,status,notes
"Wild-Edibles: helianthus-tuberosus (Jerusalem Artichoke) habit photo","assets/wild-edibles/helianthus-tuberosus-habit.jpg",JPEG 375x500,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (375x500 — below minimum); replace immediately"
"Wild-Edibles: nasturtium-officinale (Watercress) habit photo","assets/wild-edibles/nasturtium-officinale-habit.jpg",JPEG 375x500,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (375x500 — below minimum); replace immediately"
"Wild-Edibles: oxalis-stricta (Wood Sorrel) habit photo","assets/wild-edibles/oxalis-stricta-habit.jpg",JPEG 834x672,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (834x672 — below 1200 width threshold); replace"
"Wild-Edibles: portulaca-oleracea (Purslane) habit photo","assets/wild-edibles/portulaca-oleracea-habit.jpg",JPEG 500x281,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (500x281 — well below minimum); replace immediately"
"Wild-Edibles: stellaria-media (Chickweed) habit photo","assets/wild-edibles/stellaria-media-habit.jpg",JPEG 1600x1200,"YES — Wikimedia Commons; WORKLOG entry missing","NO","needs-fix","PASS resolution (1600x1200); license documented as Wikimedia source per WORKLOG May 9 session; verify CC license type"
"Wild-Edibles: taraxacum-officinale (Dandelion) habit photo","assets/wild-edibles/taraxacum-officinale-habit.jpg",JPEG 1765x1413,"YES — Wikimedia Commons; WORKLOG entry missing","NO","needs-fix","PASS resolution (1765x1413); license documented as Wikimedia source per WORKLOG May 9 session; verify CC license type"
"Wild-Edibles: typha-latifolia (Cattail) habit photo","assets/wild-edibles/typha-latifolia-habit.jpg",JPEG 500x375,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (500x375 — below minimum); replace immediately"
"Wild-Edibles: urtica-dioica (Stinging Nettle) habit photo","assets/wild-edibles/urtica-dioica-habit.jpg",JPEG 609x640,"YES — source unknown; WORKLOG entry missing","NO","needs-fix","FAIL resolution (609x640 — below 1200 width threshold); replace"
"Endangered Species: American Ginseng habit photo","assets/endangered-species-photos/ [MISSING]","N/A","N/A","NO","blocked","0 files in directory; iNaturalist CC-BY sourcing sprint not started"
"Endangered Species: Goldenseal habit photo","assets/endangered-species-photos/ [MISSING]","N/A","N/A","NO","blocked","0 files in directory; iNaturalist CC-BY sourcing sprint not started"
"Endangered Species: Black Cohosh habit photo","assets/endangered-species-photos/ [MISSING]","N/A","N/A","NO","blocked","0 files in directory; iNaturalist CC-BY sourcing sprint not started"
"Endangered Species: Ramps habit photo","assets/endangered-species-photos/ [MISSING]","N/A","N/A","NO","blocked","0 files in directory; iNaturalist CC-BY sourcing sprint not started; does not block May 30 launch (Sept 2026 target)"
"Canva Brand Kit (Seedwarden)","Canva cloud [NOT CREATED]","N/A","N/A","NO","blocked","CRITICAL: Not started as of May 5. Gates all zone card builds, pin templates, social image production"
"Zone Card: Zone 3 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 3 variant"
"Zone Card: Zone 4 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 4 variant"
"Zone Card: Zone 5 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built (master template — blocks all other zones). Gates Kit Email 1 Zone 5 variant"
"Zone Card: Zone 6 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 6 variant"
"Zone Card: Zone 7 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 7 variant"
"Zone Card: Zone 8 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 8 variant"
"Zone Card: Zone 9 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 9 variant"
"Zone Card: Zone 10 PDF","assets/zone-cards/ [MISSING]","PDF (planned)","N/A","NO","blocked","CRITICAL: Not built. Gates Kit Email 1 Zone 10 variant"
"Kit Account (kit.co)","kit.co/seedwarden [NOT CREATED]","Platform account","N/A","NO","blocked","CRITICAL: Not created as of May 5. Gates all email automation"
"Kit Landing Page","kit.co/seedwarden [NOT CREATED]","Web page","N/A","NO","blocked","CRITICAL: Not published. Bio links are broken; no email capture active"
"Kit Email Sequence: Email 1 (Zone Card Delivery — 8 variants)","Kit account [NOT BUILT]","Email","N/A","NO","blocked","CRITICAL: Not built. Requires zone card PDFs + Kit account. Copy exists in marketing/email-and-launch-plan.md"
"Kit Email Sequence: Email 2 (Heirloom Seed Philosophy)","Kit account [NOT BUILT]","Email","N/A","NO","blocked","Copy ready in marketing/email-and-launch-plan.md; platform build not started"
"Kit Email Sequence: Email 3 (Seed Saving Story)","Kit account [NOT BUILT]","Email","N/A","NO","blocked","Copy ready; seed-saver click-tag link required; platform build not started"
"Kit Email Sequence: Email 4 (Catalog Introduction)","Kit account [NOT BUILT]","Email","N/A","NO","blocked","Copy ready; 3 segmentation links required; platform build not started"
"Kit Email Sequence: Email 5 (First Offer — SEEDWARDEN15)","Kit account [NOT BUILT]","Email","N/A","NO","blocked","Copy ready; requires SEEDWARDEN15 Etsy coupon to be active; platform build not started"
"Kit Launch Broadcast Email","Kit account [NOT STAGED]","Email","N/A","NO","blocked","Copy ready in phase-2-kit-broadcast-copy.md; requires subscriber list > 0; not staged"
"Etsy Listing: Food Sovereignty Starter Guide","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 images: MISSING"
"Etsy Listing: Seed Saving Field Manual","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 images: MISSING"
"Etsy Listing: Anti-Catalog 30 Heirlooms","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 images: MISSING"
"Etsy Listing: Seed Swap Hosting Kit","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 images: MISSING"
"Etsy Listing: Apartment Plant Catalog","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 images: MISSING"
"Etsy Listing: Survival Garden Regional Plans","Etsy shop [status unconfirmed]","Etsy listing","N/A","NO","needs-fix","Phase 1 upload checklist confirmed ready Apr 26; live status unconfirmed. Slots 4-5 compositing: stock-raw staged, not composited"
"Etsy Listing: Native Plants Regional Guide","Etsy shop [BLOCKED — PDF oversize]","Etsy listing / PDF","N/A","NO","blocked","PDF is 56.96MB; Etsy limit is 5MB. Cannot upload until recompressed. Flagged since Apr 26 with no resolution documented"
"Etsy Lifestyle Photo: Cluster A (Seeds/Garden) — slot 4/5 images x9 products","marketing/lifestyle-photos/etsy-ready/ [MISSING]","JPEG 2400x2400 (planned)","N/A","NO","blocked","0/18 images. Requires May 10-11 photo shoot + editing. Not yet produced"
"Etsy Lifestyle Photo: Cluster B (Urban/Container) — slot 4/5 images x4 products","marketing/lifestyle-photos/etsy-ready/ [MISSING]","JPEG 2400x2400 (planned)","N/A","NO","blocked","0/8 images. Requires May 10-11 photo shoot + editing. Not yet produced"
"Etsy Lifestyle Photo: Cluster C (Kitchen/Preservation) — slot 4/5 images x3 products","marketing/lifestyle-photos/etsy-ready/ [MISSING]","JPEG 2400x2400 (planned)","N/A","NO","blocked","0/6 images. Requires May 10-11 photo shoot + editing. Not yet produced"
"Etsy Lifestyle Photo: Cluster D (Stock composite) — slot 4/5 for 4 products","assets/stock-raw/ [STAGED NOT COMPOSITED]","JPEG 2400x2400 (planned)","YES — Pexels license","NO","needs-fix","8 source images staged in assets/stock-raw/; compositing in Canva not done; etsy-ready images: 0/8"
"Etsy Lifestyle Photo: Cluster E (Wikimedia composite) — native-plants slot 4/5","assets/stock-raw/native-plants-regional-guide/ [STAGED NOT COMPOSITED]","JPEG 2400x2400 (planned)","YES — Wikimedia CC","NO","needs-fix","2 source images staged; compositing not done; BLOCKED also by PDF oversize issue"
"SEEDWARDEN15 Etsy Coupon","Etsy Shop Manager [status unconfirmed]","Etsy coupon code","N/A","NO","needs-fix","Planned 15% off coupon for Kit Email 5; creation in Etsy Shop Manager not confirmed"
"Social Media: Instagram Business Account","instagram.com/seedwarden [NOT CREATED]","Platform account","N/A","NO","blocked","HIGH: Not created as of Apr 29. No posting history before launch"
"Social Media: TikTok Business Account","tiktok.com/@seedwarden [NOT CREATED]","Platform account","N/A","NO","blocked","HIGH: Not created as of Apr 29. No posting history before launch"
"Social Media: Pinterest Business Account","pinterest.com/seedwarden [NOT CREATED]","Platform account","N/A","NO","blocked","HIGH: Not created as of Apr 29. No posting history before launch"
"Social Calendar: 60-day posting schedule (June 1–30)","docs/phase-2-operations/phase-2-social-posting-scheduler.csv",CSV,"N/A","NO","needs-fix","90 posts written; image files all reference empty etsy-ready/ directory; Etsy URLs not yet inserted (named references only); hashtag packs 6-8 per post vs. 10-15 target"
"Social Content: Day 1 Origin Story Reel (video)","Not yet filmed","MP4 1080x1920 (planned)","N/A","NO","blocked","Script exists in phase-2-social-content-calendar-60day.md; film not started"
"Social Content: Day 3 Carousel (5 slides)","Not yet built in Canva","PNG 1080x1350 (planned)","N/A","NO","blocked","Specifications exist; Canva Brand Kit not set up; images: not produced"
"Social Content: Pinterest Pin Batch 1 (6 pins)","Not yet built in Canva","JPEG 1000x1500 (planned)","N/A","NO","blocked","5 templates specified in pin-template-specs.md; Canva Brand Kit not set up; pins: not produced"
"Social Scheduling: Buffer or Later account","Buffer/Later [NOT CREATED]","Platform account","N/A","NO","blocked","Account not set up; social calendar not loaded; launch posts not scheduled"
"Analytics Dashboard: Phase 2 Launch Template","docs/phase-2-operations/phase-2-launch-analytics-dashboard-template.xlsx",XLSX,"N/A","NO","ready","Production-ready 5-sheet template. Not a launch blocker — user activates on May 30"
"Email Strategy: Phase 2 Automation Sequence","docs/phase-2-operations/phase-2-email-automation-sequence.md",Markdown,"N/A","N/A","ready","Complete day-by-day timing, A/B subjects, UTM schema, unsubscribe handling. Ready for Kit implementation"
"Email Strategy: Pre-Launch Email Templates","phase-2-execution/pre-launch-email-templates.md",Markdown,"N/A","N/A","ready","Copy production-ready; not a blocker until Kit account exists"
"Go/No-Go Framework: Phase 2 Decision Criteria","phase-2-go-no-go-decision-criteria.md",Markdown,"N/A","N/A","ready","3-checkpoint decision framework (June 15/30, Sept 1) fully documented and executable"
"Launch Day Checklist","docs/phase-2-operations/phase-2-launch-day-checklist.md",Markdown,"N/A","N/A","ready","Hour-by-hour May 30 timeline with automated alert setup and rollback procedures"
"Contingency Playbook","docs/phase-2-operations/phase-2-contingency-playbook.md",Markdown,"N/A","N/A","ready","5-scenario post-launch contingency playbook (low conversion / photos fail / email delivery / social lockout / demand spike)"
