Date,Cluster,Time,Species,Shot Number,Description,Angle,Style,Image Filename,Keeper Assessment,Quality Notes,Guide Assignment,Alternative Use
May 19,B,Late morning,Ramps,2,"Flower umbel white flowers, delicate",Close-up,Macro,2026-05-19-RAMPS-FLOWER.jpg,TBD,"Delicate white flowers, umbel structure",Single-herb guide,"Identification"
May 19,B,Late morning,Ramps,3,"Whole plant in context, distinctive broad leaves",Wide,Habitat,2026-05-19-RAMPS-WHOLE.jpg,TBD,"Plant form, leaf arrangement",Single-herb guide,"Cultivation"
May 19,B,Late morning,Ramps,4,"Bulb detail if lifted, distinctive onion scent",Detail,Macro,2026-05-19-RAMPS-BULB.jpg,TBD,"Bulb color, scale, vernation",Single-herb guide,"Identification"
May 19,B,Afternoon,False Unicorn,1,"Flower spike tall, delicate white flowers",Close-up,Macro,2026-05-19-UNI-001.jpg,TBD,"Spike definition, flower detail",Single-herb guide,"Identification"
May 19,B,Afternoon,False Unicorn,2,"Leaf base arrangement, distinctive basal rosette",Wide,Habitat,2026-05-19-UNI-LEAF.jpg,TBD,"Basal leaf arrangement, color",Single-herb guide,"Growth habit"
May 19,B,Afternoon,False Unicorn,3,"Whole plant in context, height (18-24 inches)",Wide,Habitat,2026-05-19-UNI-WHOLE.jpg,TBD,"Mature plant height, habitat",Single-herb guide,"Cultivation"
May 19,B,Afternoon,False Unicorn,4,"Root detail if available, rhizome structure",Extreme macro,Detail,2026-05-19-UNI-ROOT.jpg,TBD,"Root color, texture, preservation",Single-herb guide,"Harvesting"
May 19,B,Late afternoon,Bloodroot,1,"Red flower unique bloom, priority shot",Close-up,Macro,2026-05-19-BLOOD-001.jpg,TBD,"Red flower unique color, clarity",Single-herb guide,"Identification"
May 19,B,Late afternoon,Bloodroot,2,"Leaf white underside, distinctive feature",Close-up,Detail,2026-05-19-BLOOD-LEAF.jpg,TBD,"White underside color, leaf shape",Single-herb guide,"Identification"
May 19,B,Late afternoon,Bloodroot,3,"Whole plant in habitat context",Wide,Habitat,2026-05-19-BLOOD-WHOLE.jpg,TBD,"Plant form, habitat preference",Single-herb guide,"Cultivation"
May 21,C,Full day,All species,1-100,"Root detail macros (Ginseng, Goldenseal, Cohosh), seed pod macros (all species), dried herb preparations, white-background isolation shots, styled flat-lay arrangements","Various: macro, detail, product, styled","Multiple: macro, product, flat-lay, lifestyle","2026-05-21-STUDIO-001.jpg through 100.jpg",TBD,"Studio setup critical: consistent lighting, white background, ring light for macro, reflectors for fill light",Multiple bundles + Single-herb guides,"Social media, marketing, product pages"
