Day,Date,Day of Week,Week,Phase,Task,Writing Hours Target,Photography / Design Hours,Supplier / Admin Hours,Total Hours,Bundle,Dependencies,Float (days),Critical Path?,Contingency Path,Notes
7,2026-06-28,Sunday,Week 1,Sprint — Etsy Prep,"Women's Health Etsy listing prep: title (under 140 characters, primary keyword in first 40: 'Black Cohosh Cultivation Guide — Women's Health Medicinal Herb Bundle'); 13 tags; description (200+ words); price $22; mockup images (slot 1: cover; slot 2: CC species photo; slot 3: flat-lay dried herbs if available)",0,1.5,0,1.5,Women's Health,PDF assembled,1,No,"Float 1 day — can combine with Day 8 morning.","Etsy listing. Confirm 13 tags are all populated before saving as draft. Price: $22."
8,2026-06-29,Monday,Week 2,Sprint — Launch,"MILESTONE 1: Women's Health bundle LIVE on Etsy. Upload PDF; publish listing; immediately purchase test copy to confirm digital download delivers correctly; screenshot confirmation page; log in WORKLOG.md",0,0,1.0,1.0,Women's Health,PDF complete; Etsy listing ready,0,YES — ZERO FLOAT,"No contingency: if any technical issue blocks upload, resolve before starting any other work. Writing continues but Women's Health listing goes live TODAY.","CRITICAL MILESTONE. ZERO FLOAT. Test the digital download immediately after publishing. Log: 'Women's Health live [TIME] June 29. Test purchase confirmed [Y/N].' in WORKLOG.md."
8,2026-06-29,Monday,Week 2,Sprint — Writing,"Respiratory bundle — introduction paragraph (400 words); FTC disclaimer page (paste verbatim from Appendix A); sourcing ethics sidebar; Elderberry cross-reference sidebar (connects to Immunity bundle)",2.0,0,0,2.0,Respiratory,Species pages Days 4-6 complete,1,No,"Float 1 day — bundle framework sections.","Bundle framework sections for Respiratory."
8,2026-06-29,Monday,Week 2,Sprint — Canva,"Respiratory cover design: Sage Green #6B8E6F header; Apothecary Gold accent; Elderberry hero image (Wikimedia CC-BY-SA Sambucus nigra berry cluster — confirm filename logged in PHOTO_ATTRIBUTION_LOG.md); export test",0,1.0,0,1.0,Respiratory,Brand kit loaded; Elderberry image sourced and logged,3,No,"Google Docs fallback if not resolved in 2 hours. 3-day float.","Float 3 days on design. Can defer to July 2 without consequence."
9,2026-06-30,Tuesday,Week 2,Sprint — Writing,"Respiratory self-edit pass: FTC language review; word count check (target 5,000-5,800 words); conservation sidebars review (E. angustifolia UpS sidebar present?); mullein regional note (state-specific invasive status)? Fix all gaps.",2.0,0,0,2.0,Respiratory,All Respiratory species complete,1,No,"Float 1 day.","Edit pass. Same FTC review protocol as Women's Health."
9,2026-06-30,Tuesday,Week 2,Sprint — Writing,"Sleep bundle — Valerian species page: root cultivation (division propagation); second-year harvest timing; drying protocol; European sleep herb history; FTC framing ('traditionally used as a sleep-supporting herb in European herbalism') — cultivation-focused angle, not supplement-framing",3.0,0,0,3.0,Sleep,Respiratory draft complete,2,No,"Float 2 days. Cultivation-focused content is the Etsy differentiation.","Begin Sleep track. Target: 1,600-1,800 words."
10,2026-07-01,Wednesday,Week 2,Sprint — Assembly,"Respiratory PDF assembly: Canva layout; image insertion with CC attribution; export; file size verification (under 5MB); cover finalization",0,2.0,0,2.0,Respiratory,Self-edit complete; cover designed,1,No,"Float 1 day — can defer to July 2.","Assembly."
10,2026-07-01,Wednesday,Week 2,Sprint — Writing,"Sleep bundle — Passionflower species page: visual anchor for Sleep bundle; trellis requirements; zone 4-10 cultivation (perennial Zone 6-10, annual Zone 4-5); maypop fruit forager bridge; anxiolytic research descriptive framing ('studied for its effects on the nervous system in several trials')",3.0,0,0,3.0,Sleep,Valerian Day 9 start,2,No,"Float 2 days. Target: 1,600-1,800 words.","Passionflower is the thumbnail anchor for the Sleep bundle — confirm and log the hero image filename in PHOTO_ATTRIBUTION_LOG.md before starting this page so the image is ready for the cover."
11,2026-07-02,Thursday,Week 2,Sprint — Etsy Prep,"Respiratory Etsy listing prep: title; 13 tags; description; price $20; mockup image Slot 1 (cover); Slot 2 (Elderberry CC-BY-SA berry cluster)",0,1.0,0,1.0,Respiratory,PDF assembled,1,No,"Float 1 day.","Etsy prep."
11,2026-07-02,Thursday,Week 2,Sprint — Writing,"Sleep bundle — Lemon Balm species page: dual Sleep+Digestive bundle; nervine + carminative profile; forager tea bridge; 'used traditionally for relaxation and digestive comfort in European herbalism'",2.0,0,0,2.0,Sleep,Passionflower Day 10,2,No,"Float 2 days. Target: 1,400 words.","Lemon Balm writes quickly — simplest nervine herb in the sprint."
11,2026-07-02,Thursday,Week 2,Sprint — Canva,"Zone card production — Women's Health zone cards (5 zones x 1 card each = 5 Canva designs; Deep Burgundy #8B3E3E header; condensed herb overview; cultivation zone notes)",0,2.0,0,2.0,Women's Health,"Women's Health bundle live June 29; Canva template from Phase 2",2,No,"Float 2 days — can defer to July 4.","Zone cards supplement practitioner tier and Etsy listing slot 3."
12,2026-07-03,Friday,Week 2,Sprint — Canva,"DESIGN LOCK: All five bundle covers must be finalized by EOD today. Women's Health (complete); Respiratory (complete or complete today); Sleep cover (complete today). Immunity and Digestive covers can be placeholder if not yet started.",0,0.5,0,0.5,All bundles,"Women's Health cover complete; Respiratory cover complete; Sleep cover started",0,YES — ZERO FLOAT,"Any cover not ready defaults to Google Docs text-header. Do not extend design session beyond 2 hours. Launch is not blocked by a text-header cover.","DESIGN LOCK. After today no design changes to covers except critical corrections. Log in WORKLOG.md: 'Design lock July 3. Covers complete: [list]'."
12,2026-07-03,Friday,Week 2,Sprint — Writing,"Sleep bundle — Lavender species page for Sleep bundle: condensed adaptation of Women's Health Lavender page; Sleep framing; 800-word condensed version; confirm Sleep bundle FTC note ('used traditionally as a nervine and sleep-supporting herb in aromatherapy practice')",1.5,0,0,1.5,Sleep,Lemon Balm Day 11,1,No,"Float 1 day.","Condensed from Women's Health Lavender content. Not a full rewrite — an adaptation with sleep framing."
12,2026-07-03,Friday,Week 2,Sprint — Canva,"Sleep cover design: Muted Lavender #9B8BA0 header; Passionflower hero image (confirm most vibrant full-flower Wikimedia CC image — this is the Sleep bundle thumbnail anchor); export test",0,1.0,0,1.0,Sleep,Passionflower image sourced and logged,0,YES — DESIGN LOCK,"Passionflower image must be pre-selected BEFORE opening Canva session. Select offline. Do not spend >2 hours.","Complete today — design lock day."
13,2026-07-04,Saturday,Week 2,Sprint — Launch,"MILESTONE 2: Respiratory bundle LIVE on Etsy — upload PDF; publish listing; test purchase to confirm digital download; screenshot confirmation; log in WORKLOG.md",0,0,1.0,1.0,Respiratory,PDF complete; Etsy listing ready,0,YES — float window July 4-7,"Respiratory has a 3-day float window (July 4-7). MUST be live by July 7 at the latest.","CRITICAL MILESTONE. Float window July 4-7. Log launch time in WORKLOG.md."
13,2026-07-04,Saturday,Week 2,Sprint — Writing,"Sleep bundle — bundle introduction (400 words); FTC disclaimer page (paste verbatim from Appendix A); practitioner use note (nervines and sleep in clinical herbalism practice); cross-reference page to Women's Health and Digestive bundles",2.0,0,0,2.0,Sleep,Species pages Days 9-12 complete,2,No,"Float 2 days.","Bundle framework sections."
13,2026-07-04,Saturday,Week 2,Sprint — Canva,"Zone cards — Respiratory zone cards (5 cards; Sage Green #6B8E6F header)",0,2.0,0,2.0,Respiratory,"Respiratory bundle live; Canva template ready",2,No,"Float 2 days.","Zone cards."
14,2026-07-05,Sunday,Week 2,Sprint — Writing,"Sleep bundle self-edit pass: FTC language review (sleep claims are most sensitive in this sprint — every claim must be 'traditionally used' not a treatment claim; verify: Valerian, Passionflower, Lemon Balm, Lavender); word count check (target 4,800-5,600 words)",2.5,0,0,2.5,Sleep,All Sleep species pages complete,1,No,"Float 1 day.","FTC sleep claims are the highest-risk language in the sprint. Review every sentence against the FTC Quick Reference. Passionflower and Valerian carry the highest claim risk."
14,2026-07-05,Sunday,Week 2,Sprint — Admin,"Photo attribution log audit: verify all Wikimedia CC images used in all three sprint bundles are logged in PHOTO_ATTRIBUTION_LOG.md with: Wikimedia URL, license code, attribution text, download date; no image without attribution ships in any bundle",0,0,1.0,1.0,All bundles,All images downloaded,1,No,"Float 1 day. This is a compliance requirement. Do not skip.","Attribution log must be current before any bundle export goes to Etsy."
15,2026-07-06,Monday,Week 3,Sprint — Assembly,"Sleep PDF assembly: Canva layout; all pages; image insertion with CC attribution captions; page numbering; export; file size check (under 5MB)",0,2.0,0,2.0,Sleep,Self-edit complete; Sleep cover designed July 3,1,No,"Float 1 day.","Assembly."
15,2026-07-06,Monday,Week 3,Sprint — Etsy Prep,"Sleep Etsy listing prep: title; 13 tags; description; price $20; mockup; insert Passionflower hero image as Etsy listing slot 1 (this is the click-through driver for the Sleep bundle)",0,1.0,0,1.0,Sleep,PDF assembled,1,No,"Float 1 day.","Passionflower full-flower image is the thumbnail — it must be Etsy listing slot 1."
15,2026-07-06,Monday,Week 3,Sprint — Canva,"Zone cards — Sleep zone cards (5 cards; Muted Lavender #9B8BA0 header); Digestive zone cards start (5 cards; Sage Green #6B8E6F) if time allows",0,2.0,0,2.0,Sleep + Digestive,Zone card template ready,1,No,"Float 1 day.","Zone cards for third and fourth bundles."
16,2026-07-07,Tuesday,Week 3,Sprint — Photography,"Photo review session: cull and edit all dried herb flat-lay images from June 17-21 studio session (or replacement session if MRH delivery delayed); select 2-3 images per bundle for Etsy listing slots 2-4; optimize for web (72-96 DPI, 2000px wide)",0,2.5,0,2.5,All bundles,"Dried herbs ordered June 15; studio session June 17-21 or rescheduled to June 23-25",1,No,"Float 1 day. If live specimens arrived (Tier 3 orders placed June 22), photograph those today as well.","Photo edit session."
16,2026-07-07,Tuesday,Week 3,Sprint — Writing,"Immunity bundle — Goldenseal species page (CITES Appendix II sidebar — forest farming angle; FGV certification overview; berberine and antimicrobial research FTC note: 'contains berberine, studied in lab settings'). This is the most complex species page in the sprint — CITES sidebar alone is 300-400 words.",3.0,0,0,3.0,Immunity (post-sprint),"Path 2 confirmed June 8 (Wikimedia CC images downloaded and logged); Immunity bundle first-draft begins",2,No,"Float 2 days. Immunity is a post-sprint bundle targeting July 20 upload.","Goldenseal guide is the most factually complex page in Phase 3. Allocate full 3 hours."
17,2026-07-08,Wednesday,Week 3,Sprint — FTC Review,"FTC compliance review — read all five bundle drafts sequentially; flag any claim that exceeds 'traditionally used' or 'studied for' framing; revise flagged language before any export; prioritize Women's Health and Immunity (highest-risk claim territory)",2.0,0,0,2.0,All bundles,"All five bundle drafts complete; self-edits done",0,YES — ZERO FLOAT,"FTC review is non-negotiable. A treatment claim in a live listing creates legal risk that is not bounded by sales volume.","FTC REVIEW. ZERO FLOAT. Open FTC Quick Reference table (Appendix A of critical path doc) in a browser tab. Review every sentence with a health outcome. Replace any treatment claim with traditional-use framing."
17,2026-07-08,Wednesday,Week 3,Sprint — SEO,"SEO optimization pass: verify all Etsy listing titles use primary keyword in first 40 characters; verify all 13 tags are populated in each listing; verify descriptions use natural keyword repetition (not keyword stuffing); update any listing that fails these checks",0,1.5,0,1.5,All bundles,FTC review complete,1,No,"Float 1 day.","SEO pass."
18,2026-07-09,Thursday,Week 3,Sprint — Writing,"Immunity bundle — Echinacea angustifolia species page: conservation focus; prairie restoration content; species distinction from E. purpurea; UpS At-Risk sidebar; prairie native range map reference",2.5,0,0,2.5,Immunity,"Goldenseal Day 16",2,No,"Float 2 days.","Immunity bundle second species page."
18,2026-07-09,Thursday,Week 3,Sprint — Admin,"Update Women's Health and Respiratory Etsy listings: insert improved dried herb flat-lay photos (from July 7 cull session) into listing slots 3 and 4",0,1.0,0,1.0,Women's Health + Respiratory,"Photo cull complete Day 16",2,No,"Float 2 days.","Photo upgrade for live listings."
19,2026-07-10,Friday,Week 3,Sprint — Writing,"Immunity bundle — Ashwagandha species page: adaptogen framing; Ayurvedic Rasayana classification; cultivation zones 5-11; annual vs. perennial content; FTC note: 'traditionally classified as a Rasayana herb in Ayurvedic medicine'",2.5,0,0,2.5,Immunity,"Echinacea angustifolia Day 18",2,No,"Float 2 days. Target: 1,600 words.","Adaptogen framing requires care — 'adaptogen' is not an FDA-recognized category; use in descriptive-of-tradition context only."
19,2026-07-10,Friday,Week 3,Sprint — Admin,"Etsy analytics review: review search rank signal from first 10 days live data for Women's Health (went live June 29 = 11 days of data today); check Sleep listing (live July 13 — not yet live); adjust tags on Women's Health if views-per-impression below 3%",0,0,0.5,0.5,Sleep + Women's Health,Sleep live for 3+ days (not yet by July 10 — review Women's Health data only),2,No,"Float 2 days.","30 min analytics. Use Etsy Stats dashboard."
20,2026-07-11,Saturday,Week 3,Sprint — Float,"FLOAT DAY 1: available to absorb any single-day overrun from Weeks 1-2. If no overrun: begin Immunity bundle Elderberry supporting section (adapt Respiratory Elderberry page with Immunity framing — 30-40% rewrite). Or begin Digestive bundle planning.",0,0,0,0,Float,"All sprint bundles on schedule",0,No,"Use only if needed. If consumed by overrun: resume normal schedule next day.","Float Day 1."
21,2026-07-12,Sunday,Week 3,Sprint — Staging,"Sleep bundle upload staging: confirm PDF in correct output directory; file size check (under 5MB); confirm all CC attribution logs current in PHOTO_ATTRIBUTION_LOG.md; Etsy listing final review; confirm price $20; test product thumbnail looks correct at Etsy listing thumbnail size",0,1.0,0,1.0,Sleep,Sleep PDF assembled; Etsy listing complete,1,No,"Float 1 day.","Upload staging."
21,2026-07-12,Sunday,Week 3,Sprint — Writing,"Immunity bundle — bundle introduction paragraph (400 words); FTC disclaimer page (paste verbatim); sourcing ethics section; FGV verification note; forest farming sourcing emphasis",1.5,0,0,1.5,Immunity,"Goldenseal + Echinacea + Ashwagandha drafts",2,No,"Float 2 days.","Bundle framework for Immunity."
22,2026-07-13,Monday,Week 3,Sprint — Launch,"MILESTONE 3: Sleep bundle LIVE on Etsy. Upload PDF; publish listing; test digital download; screenshot confirmation; log in WORKLOG.md. SPRINT IS COMPLETE.",0,0,1.0,1.0,Sleep,"Sleep listing ready; PDF confirmed",0,YES — ZERO FLOAT,"No contingency on Sleep. If any technical issue: resolve before logging sprint completion. Immunity and Digestive continue post-sprint at lower intensity (2-3 hours/day).","SPRINT END. ZERO FLOAT. Log in WORKLOG.md: 'Sprint complete July 13. Bundles live: WH June 29, Respiratory [date], Sleep July 13. Total words produced: [count]. Photo attribution log status: [current/not current]. Immunity bundle next: July 20 target.'"
22,2026-07-13,Monday,Post-Sprint,Post-Sprint Planning,"Sprint completion log: record in WORKLOG.md — bundles uploaded; total words per bundle; conversion data from Women's Health (first 14 days live by July 13); any FTC language revised during sprint; Immunity bundle upload target July 20; Digestive bundle upload target August 3; outstanding Tier 3 plant orders still in transit",0,0,1.0,1.0,All,"Sprint complete",0,No,"Nothing is contingent — this is documentation.","Log word counts. Log first Women's Health sales data. Set Immunity and Digestive targets."
