task_name,category,duration_hours,start_date,end_date,float_days,dependencies,owner,critical_path,notes
"Elderberry potted shrub purchased (2-gal, local garden center)",sourcing,0.5,2026-06-15,2026-06-15,0,"Prairie Moon stock check","user",YES,"HARD DEADLINE. Buy at local garden center. $15–$35. Also buy Lavender and Lemon Balm starts."
"Mountain Rose Herbs order hard deadline (5-day ship = June 20–21 arrival)",sourcing,0,2026-06-15,2026-06-15,0,"MRH order placed","user",YES,"If not placed by June 13 recommended date: June 15 is absolute hard deadline."
"Canva palette decision deadline — auto-lock if no decision",design,0.25,2026-06-15,2026-06-15,0,"palette decision","user",YES,"Any palette change after June 23 requires rebuilding completed covers at 1.2 hrs each."
"AHG outreach follow-up wave (non-respondents + UpS network)",admin,0.5,2026-06-15,2026-06-15,6,"AHG outreach June 8","user",NO,"Expand to UpS practitioner network and AANP state chapters if no AHG responses."
"Frontier Co-op backup order (only if MRH sku confirmed OOS at time of ordering)",sourcing,0.5,2026-06-15,2026-06-15,0,"MRH order placed","user",NO,"Place same-day as MRH order if any sku is OOS. Identical species coverage, same pricing tier."
"Mature/flowering specimen photography window",photography,5,2026-06-10,2026-06-16,5,"plant procurement","user",NO,"Photograph within 3 days of arrival. iNaturalist CC-BY is automatic fallback."
"Dried herb studio session Day A — setup + attribution log completion",photography,2,2026-06-20,2026-06-20,2,"MRH order arrival","user",NO,"Studio setup, props, download and log 5 cover heroes in PHOTO_ATTRIBUTION_LOG.md."
"Dried herb studio session Day B — bundle flat-lays + root close-ups + lifestyle",photography,4,2026-06-21,2026-06-21,1,"Day A setup complete","user",NO,"Target: 60–80 raw images. 5 bundle flat-lays + root close-ups + 2 lifestyle setups."
"Photo editing: cull to 50–60 keepers; export 2400×2400px JPEG; create PHOTO_MANIFEST.csv",photography,3,2026-06-21,2026-06-21,1,"photography sessions","user",NO,"Systematic naming: phase3_[bundle]-[subject]-[shot-type]-[sequence].jpg"
"Attribution logging — all Wikimedia CC + iNaturalist sources complete in PHOTO_ATTRIBUTION_LOG.md",admin,1,2026-06-21,2026-06-21,0,"photo editing","user",YES,"ZERO FLOAT. Must complete before sprint Day 1."
"Canva Brand Kit Phase 3 palette loaded (15-minute action)",design,0.25,2026-06-21,2026-06-21,0,"palette decision","user",YES,"Add 5 Phase 3 colors as second group labeled 'Phase 3 — Herbalist'. Test with one zone card export."
"AHG peer reviewer confirmation expected (revenue ceiling)",admin,0,2026-06-21,2026-06-21,0,"AHG outreach","user",NO,"If no reviewer by June 21: sprint begins June 22 regardless. Add quote retroactively when secured."
"Tier 3 plant orders placed (Echinacea purpurea + E. angustifolia + Passionflower + Valerian + Ashwagandha + Vitex)",sourcing,0.5,2026-06-22,2026-06-22,10,"SM summer shipping confirmed","user",NO,"All Tier 3 arrive during sprint or post-sprint. CC fallback active for all regardless."
"--- SPRINT BEGINS --- D1: WH front matter + intro + Black Cohosh (700w)",writing,5,2026-06-22,2026-06-22,1,"attribution log complete; brand kit loaded","user",YES,"Black Cohosh: ID + 150w conservation sidebar + cultivation + harvest + constituents + contraindications."
"D2: WH Vitex (600w) + Red Clover (400w)",writing,5,2026-06-23,2026-06-23,1,"D1 complete","user",YES,"Vitex: TN/NC invasive note + harvest + dopaminergic framing + pregnancy contraindication."
"D2: Women's Health cover design (Black Cohosh or Calendula hero, Deep Burgundy #8B3E3E)",design,1.2,2026-06-23,2026-06-23,4,"brand kit loaded; hero pre-staged","user",NO,"Can slip to June 27 with zero impact. Writing takes absolute priority."
"D2: Studio session — Calendula + Red Clover seedlings",photography,2,2026-06-23,2026-06-23,2,"plants available","user",NO,"Flat-lay on linen; seedling in pot; leaf close-up."
"D3: WH Calendula (400w) + Lavender (400w) + prep methods + practitioner context + self-edit — PACE GATE",writing,5,2026-06-24,2026-06-24,0,"D2 complete","user",YES,"ZERO FLOAT PACE GATE EOD. WH must be 2,500+ words. Below 2,500w = activate Option C immediately."
"D3: Respiratory cover design (Elderberry berry cluster, Sage Green #6B8E6F)",design,1.2,2026-06-24,2026-06-24,4,"brand kit loaded; hero pre-staged","user",NO,"Can slip to June 28. Elderberry berry cluster is the strongest visual in Phase 3."
"D3: Studio session — Lavender + Lemon Balm + Thyme nursery starts",photography,3,2026-06-24,2026-06-24,3,"plants purchased","user",NO,"Full plant habit; stem close-up; dried bundle staged."
"D4: Resp front matter + intro + Elderberry (800w)",writing,5,2026-06-25,2026-06-25,1,"D3 WH complete","user",YES,"Elderberry: raw berry toxicity + sambunigrin note + elderflower forager crossover + cultivar guide."
"D4: Studio session — Immunity dried herb props (mortar/pestle flat-lay)",photography,3,2026-06-25,2026-06-25,1,"MRH herbs arrived","user",NO,"Mortar-and-pestle + glass jars + Immunity bundle flat-lay for listing slot 3."
"D5: Resp Mullein (600w) + Echinacea two-species (600w)",writing,5,2026-06-26,2026-06-26,1,"D4 complete","user",YES,"Mullein: biennial lifecycle + ear oil. Echinacea: E. purpurea vs. E. angustifolia + UpS At-Risk sidebar MANDATORY."
"D5: Photo edit + cull sessions June 23–25",photography,2,2026-06-26,2026-06-26,2,"D4 studio session","user",NO,"Rate keepers; export 2400×2400px."
"D6: Resp Thyme (500w) + shared sections + WH final self-edit pass",writing,4,2026-06-27,2026-06-27,2,"D5 complete","user",NO,"Thyme: thymol framing + pregnancy caution. Shared sections = growing conditions, region map, sources."
"D7: Resp self-edit + WH PDF export QA",admin,2,2026-06-28,2026-06-28,2,"D6 complete","user",NO,"WH PDF QA: under 5MB + no placeholder text + attribution confirmed + thumbnail 170×135px."
"D8: UPLOAD Women's Health ($22) — 9–10am ET",upload,2,2026-06-29,2026-06-29,0,"WH PDF QA complete","user",YES,"ZERO FLOAT MILESTONE. Revenue begins. Confirm download works as buyer before end of upload session."
"D8: Immunity intro + Echinacea condensed (immunity framing, 600w)",writing,3,2026-06-29,2026-06-29,1,"D8 upload complete","user",YES,"Immunity framing = different angle from Resp; condensed at 60% of Resp Echinacea section length."
"D8: Immunity cover design (Goldenseal root or Ashwagandha hero, Deep Burgundy)",design,1.2,2026-06-29,2026-06-29,4,"brand kit loaded; hero confirmed","user",NO,"Can slip to July 3."
"D9: Immunity Ashwagandha (900w)",writing,5,2026-06-30,2026-06-30,1,"D8 Immunity writing","user",YES,"Rasayana context + withanolide RCT framing + cultivation zones + MANDATORY thyroid + pregnancy warning."
"D9: Sleep cover design (Passionflower flower hero, Muted Lavender #9B8BA0)",design,1.2,2026-06-30,2026-06-30,3,"brand kit loaded; hero pre-staged","user",NO,"Passionflower is the highest click-through hero in Phase 3. Can slip to July 3."
"D10: Immunity Elderberry condensed + Goldenseal intro + CITES sidebar (200w MANDATORY verbatim)",writing,5,2026-07-01,2026-07-01,1,"D9 complete","user",YES,"CITES sidebar text: verbatim from Appendix A of PHASE_3_MEDICINAL_HERBS_CRITICAL_PATH.md v8.0."
"D10: Women's Health zone card (4-field template)",design,0.8,2026-07-01,2026-07-01,4,"WH cover complete","user",NO,"Fields: herb name + traditional use + growing region + preparation method."
"D11: Immunity Goldenseal cultivation + berberine constituents + shared sections + self-edit",writing,5,2026-07-02,2026-07-02,1,"D10 CITES sidebar complete","user",YES,"CITES sidebar from D10 MUST precede D11 self-edit. Sequential dependency."
"D11: Respiratory zone card (4-field template)",design,0.8,2026-07-02,2026-07-02,4,"Resp cover complete","user",NO,"Same 4-field format as WH zone card."
"D12: Sleep front matter + intro + Valerian (800w)",writing,4,2026-07-03,2026-07-03,2,"D11 complete","user",NO,"Valerian: second-year root harvest + valerenic acid + MANDATORY sedative drug interaction warning."
"D12: DESIGN LOCK — Digestive cover final EOD (Dandelion root or Ginger rhizome, Sage Green)",design,1.2,2026-07-03,2026-07-03,0,"brand kit loaded; hero pre-staged","user",YES,"ZERO FLOAT DESIGN TASK. No cover changes after July 3 EOD."
"D13: Sleep Passionflower (700w)",writing,4,2026-07-04,2026-07-04,2,"D12 complete","user",NO,"Maypop forager crossover + trellis requirements + chrysin/vitexin framing + MANDATORY MAOI interaction note."
"D14: Sleep Lemon Balm condensed (MANDATORY TSH caution) + Lavender condensed + shared sections + self-edit",writing,4,2026-07-05,2026-07-05,2,"D13 complete","user",NO,"Lemon Balm TSH caution MANDATORY. Lavender framing distinct from WH version."
"D15: UPLOAD Respiratory Health ($20) — 9–10am ET",upload,2,2026-07-06,2026-07-06,0,"Resp PDF QA complete","user",YES,"ZERO FLOAT MILESTONE. 7-day spacing from WH upload. Confirm download works."
"D15: Digestive intro + Dandelion (900w)",writing,5,2026-07-06,2026-07-06,1,"D15 upload complete","user",YES,"Dandelion: bitters prep + wild-edibles cross-sell hook + roasted root coffee substitute + inulin/taraxacin framing."
"D15: Immunity zone card + Digestive zone card",design,1.6,2026-07-06,2026-07-06,2,"Immunity and Digestive covers complete","user",NO,"0.8 hrs each. Can slip to July 8."
"D16: Digestive Calendula condensed + Lemon Balm condensed + shared sections",writing,4,2026-07-07,2026-07-07,1,"D15 complete","user",NO,"Calendula: internal infusion + mucosal healing. NOT topical salve framing."
"D16: Sleep zone card + template consistency review + export test all 5 covers",design,1.3,2026-07-07,2026-07-07,2,"Sleep cover complete","user",NO,"Consistency: hex codes match + Playfair Display Bold on all headers + Latin binomials in Lato Italic."
"D17: Digestive Ginger (700w) + Digestive self-edit",writing,4,2026-07-08,2026-07-08,2,"D16 complete","user",NO,"Ginger: cultivation zones + grocery rhizome sourcing note + gingerol/shogaol framing + nausea RCT evidence."
"D18: FTC compliance review all 5 bundles",review,3,2026-07-09,2026-07-09,2,"all 5 bundles written","user",NO,"Priority: WH → Immunity → Sleep → Resp → Digestive. See Appendix A of critical path v8.0 for FTC language guide."
"D18: Practitioner bundle cover design (8.5x11 Gold/Burgundy premium layout)",design,1.5,2026-07-09,2026-07-09,5,"all 5 covers complete","user",NO,"Post-sprint design. Can slip to July 14."
"D19: SEO pass (Etsy title/tag keyword density) + PDF export all 5 bundles",seo,4,2026-07-10,2026-07-10,1,"FTC review complete","user",NO,"13 tags per listing, each under 20 characters. Primary keyword in first 40 characters of title."
"D20: File naming + practitioner variant staging + Etsy listing QA for Sleep + Immunity + Digestive",admin,2,2026-07-11,2026-07-11,1,"PDF export complete","user",NO,"Practitioner 10-pack variant: stage for July 15 activation alongside Sleep upload."
"D21: FLOAT DAY 1 — absorbs any Week 3 overrun",float,8,2026-07-12,2026-07-12,0,"writing track","user",NO,"Primary use: writing overrun. Secondary: Sleep upload staging + practitioner variant QA + WORKLOG.md."
"D22: UPLOAD Sleep and Nervines ($20) — 9–10am ET",upload,2,2026-07-13,2026-07-13,0,"Sleep PDF QA complete","user",YES,"ZERO FLOAT SPRINT CLOSE MILESTONE. 7-day spacing from Resp. Confirm download works."
"D22: Sprint retrospective + WORKLOG.md final update",admin,2,2026-07-13,2026-07-13,0,"Sleep upload live","user",YES,"Log sprint performance metrics + velocity actual vs. plan + supplier outcomes + reviewer status."
"Practitioner tier activation ($120–$150 three-bundle package)",admin,1,2026-07-15,2026-07-15,0,"Sleep upload live","user",YES,"3-bundle clinical library minimum met. Stage July 13; activate July 15."
"Kit broadcast: Women's Health upload announcement",marketing,1,2026-06-29,2026-06-29,0,"WH upload live","user",YES,"Practitioner segment. Subject: Black Cohosh and women's health herbs."
"Kit broadcast: Respiratory upload announcement",marketing,1,2026-07-06,2026-07-06,0,"Resp upload live","user",YES,"General list. Subject: Elderberry and cold-season preparation."
"Kit broadcast: Sleep upload announcement",marketing,1,2026-07-13,2026-07-13,0,"Sleep upload live","user",YES,"Subject: Burnout recovery and nervous system rest."
"UPLOAD Immunity Support ($22)",upload,2,2026-07-20,2026-07-20,0,"Immunity PDF QA complete","user",NO,"7-day spacing from Sleep. Post-sprint. Review accumulation before Nov–Dec cold/flu peak."
"Kit broadcast: Immunity upload announcement",marketing,1,2026-07-20,2026-07-20,0,"Immunity upload live","user",NO,"Practitioner + wellness segment. Subject: Goldenseal, Ashwagandha, immune support."
"UPLOAD Digestive Support ($20) + Kit FORAGER20 trigger",upload,2,2026-08-03,2026-08-03,0,"Digestive PDF QA complete","user",NO,"14-day spacing from Immunity. Kit FORAGER20 segment trigger: Phase 2 wild-edibles buyers receive dandelion cross-sell."
