task,start,duration,dependencies,float
[D12] Sleep: front matter + intro + Valerian complete (800w — second-year root harvest / valerenic acid / MANDATORY sedative drug interaction warning),2026-07-03,1,Immunity Day 4,1
[DESIGN LOCK] Digestive Canva cover — Dandelion root or Ginger rhizome hero; Sage Green #6B8E6F — ZERO FLOAT,2026-07-03,1,Resp zone card,0
[CHECKPOINT 2] WH live / Immunity complete 3800w / Sleep writing started / all 5 covers in production / design lock confirmed,2026-07-03,1,Immunity + Sleep + all covers,0
[D13] Sleep: Passionflower complete (700w — maypop forager crossover / chrysin+vitexin framing / MANDATORY MAOI interaction note),2026-07-04,1,Sleep Day 1,2
[D14] Sleep: Lemon Balm condensed (MANDATORY TSH caution) + Lavender condensed (linalool / sleep sachet framing) + shared sections + self-edit,2026-07-05,1,Sleep Day 2,2
[CHECKPOINT 3] Immunity complete 3800w / Sleep complete 3500w / all 5 covers complete / design lock active / Resp PDF queued,2026-07-05,1,Sleep Day 3,0
[MILESTONE 2] UPLOAD Respiratory Health ($20) + practitioner 10-pack — 9–10am ET — 7-day spacing from WH,2026-07-06,1,Resp PDF export QA complete,1
[D15] Resp upload AM (2 hrs) + Digestive: intro + Dandelion complete (900w — bitters prep / wild-edibles cross-sell hook / inulin/taraxacin framing),2026-07-06,1,Respiratory upload,1
Immunity zone card + Digestive zone card — 4-field template fill each (0.8 hr per card),2026-07-06,2,Digestive cover design lock,2
[D16] Digestive: Calendula condensed (internal infusion / mucosal healing) + Lemon Balm condensed (carminative / post-meal gas) + shared sections,2026-07-07,1,Digestive Day 1,1
Sleep zone card + template consistency review + export test all 5 covers (170×135px thumbnail crop),2026-07-07,1,Sleep cover; all covers complete,2
[D17] Digestive: Ginger complete (700w — cultivation zones / grocery rhizome warning / gingerol+shogaol / nausea RCT evidence) + Digestive self-edit,2026-07-08,1,Digestive Day 2,2
Practitioner bundle cover — 8.5×11 Gold/Burgundy premium layout,2026-07-08,1,All 5 covers complete,5
[D18] FTC compliance review all 5 bundles — priority: WH / Immunity / Sleep / Resp / Digestive,2026-07-09,1,Digestive Day 3,2
Consistency review + thumbnail export test all 5 covers and zone cards,2026-07-09,1,Practitioner cover,2
[D19] SEO optimization pass + PDF export all 5 bundles (<5MB / no placeholder text / all images attributed),2026-07-10,1,FTC compliance review,1
[D20] File naming all 5 bundles + practitioner variant staging + Etsy listing QA for Sleep / Immunity / Digestive,2026-07-11,1,SEO pass + PDF export,1
[CHECKPOINT 4] Resp live / Immunity complete / Sleep complete / Digestive complete / all 5 covers + zone cards done,2026-07-11,1,File naming complete,0
[FLOAT DAY 1] Absorbs Week 3 writing overrun — 8 hours available; secondary: Sleep upload staging + practitioner QA,2026-07-12,1,File naming + listing QA,0
[MILESTONE 3] UPLOAD Sleep and Nervines ($20) — 9–10am ET — sprint close — WH + Resp + Sleep live,2026-07-13,1,Float Day 1; Sleep PDF complete,0
[CHECKPOINT 5 — SPRINT CLOSE] WH + Resp + Sleep live / Immunity staged July 20 / Digestive staged Aug 3 / all 5 PDFs export-ready,2026-07-13,1,Sleep upload,0
Practitioner tier listing creation + Kit email sequence activation — 3-bundle minimum met,2026-07-13,2,Sleep upload,0
[MILESTONE 4] Practitioner tier live ($120–$150 per bundle — 10-copy license — 3-bundle clinical library active),2026-07-15,1,Practitioner tier listing creation,0
[MILESTONE 5] UPLOAD Immunity Support ($22) — 7-day spacing from Sleep — review accumulation for Nov/Dec cold/flu peak,2026-07-20,1,Immunity PDF complete,0
[MILESTONE 6] UPLOAD Digestive Support ($20) — full 5-bundle launch — Kit FORAGER20 cross-sell trigger fires,2026-08-03,1,Digestive PDF complete,0
[CONTINGENCY 1] Wikimedia CC path for Goldenseal — email media@ncbg.unc.edu + download + log CC-BY-SA images,2026-06-07,1,Goldenseal sourcing path decision,0
[CONTINGENCY 2] Option C scope activation — defer Immunity to July 20 / Digestive to Aug 3 — trigger: WH below 2500w EOD June 24,2026-06-24,1,WH Day 3 pace gate,0
[CONTINGENCY 3] Upload stagger — shift Immunity to July 27 / Digestive to Aug 10 — trigger: Immunity writing not complete July 5,2026-07-05,1,Sleep Day 3 complete,0
[CONTINGENCY 4] Google Docs PDF fallback — activate if any Canva cover session exceeds 2 hours on first attempt,2026-06-22,12,WH cover,0
[CONTINGENCY 5] Minimum viable launch — upload whichever 2–3 bundles are write-ready by July 13 (priority: WH / Sleep / Resp),2026-07-09,1,FTC compliance review,0
[CONTINGENCY 6] Mountain Rose Herbs delayed — order Frontier Co-op emergency 3–5 day ship if MRH not shipped by June 20,2026-06-20,1,Mountain Rose Herbs order placed,0
[CONTINGENCY 7] AHG peer reviewer not secured by June 21 — begin sprint June 22 as planned; add reviewer quote retroactively,2026-06-21,1,AHG outreach follow-up,0
[CONTINGENCY 8] Black Cohosh not arrived by sprint Day 1 — activate iNaturalist CC-BY Appalachian range as primary photo; log in WORKLOG.md,2026-06-22,1,WH Day 1,0
