Day,Date,Day of Week,Week,Task,Hours,Bundle,Dependencies,Float (days),Notes
6,2026-06-27,Saturday,Week 1,"Respiratory bundle — Mullein species page (biennial lifecycle; roadside harvest legality by state; ear oil preparation as culinary-category; respiratory folk use framing)",2.5,Respiratory,Echinacea Day 5,1,"Float: 1 day. Target: 1,400-1,600 words. Roadside harvest framing is the content hook."
6,2026-06-27,Saturday,Week 1,"Respiratory bundle — Thyme species page (culinary herb bridge; respiratory folk use; easy cultivation annual; connects to forager cohort kitchen herb angle)",1.5,Respiratory,Mullein Day 6 start,2,"Float: 2 days. Thyme is the simplest species page in the sprint. Target: 800-1,000 words."
7,2026-06-28,Sunday,Week 1,"Women's Health PDF assembly — Canva layout of all pages; image insertion; page numbering; cover finalization; export settings check (PDF print quality, under 5MB)",2.0,Women's Health,Self-edit pass complete (Day 5),1,"PDF assembly. If cover design was deferred, complete it today. Export test: open PDF in reader and verify all images render, fonts load, layout is correct."
7,2026-06-28,Sunday,Week 1,"Women's Health Etsy listing prep — title (under 140 chars, primary keyword in first 40); 13 tags; description (200+ words); price $22; mockup images",1.5,Women's Health,PDF assembled,1,"Etsy listing. Can combine with Day 8 morning if needed — 1-day float."
8,2026-06-29,Monday,Week 2 (Writing + Canva Templating),"MILESTONE 1: Women's Health bundle live on Etsy — upload PDF; publish listing; confirm download delivers correctly via Etsy test purchase",1.0,Women's Health,PDF complete; Etsy listing ready,0,"CRITICAL MILESTONE. ZERO FLOAT. Women's Health must go live June 29 for the production sequence to hold. Test the digital download immediately after publishing — confirm buyer receives the file."
8,2026-06-29,Monday,Week 2,"Respiratory bundle — introduction paragraph (400 words); FTC disclaimer page; sourcing ethics sidebar; Elderberry cross-reference sidebar (connects to Immunity bundle)",2.0,Respiratory,Species pages Days 4-6 complete,1,"Bundle framework sections."
8,2026-06-29,Monday,Week 2,"Respiratory cover design — Sage Green #6B8E6F header; Apothecary Gold accent; Elderberry hero image (Wikimedia CC-BY-SA Sambucus nigra berry cluster); export test",1.0,Respiratory,Brand kit loaded; Elderberry image sourced,3,"3-day float on design. Can defer to July 2 without consequence."
9,2026-06-30,Tuesday,Week 2,"Respiratory self-edit pass — FTC language review; word count check (target 5,000-5,800 words); conservation sidebars review (E. angustifolia UpS sidebar); mullein regional note",2.0,Respiratory,All Respiratory species complete,1,"Edit pass. 1-day float. FTC review is non-negotiable."
9,2026-06-30,Tuesday,Week 2,"Sleep bundle — Valerian species page (root cultivation; second-year harvest timing; drying protocol; European sleep herb history; FTC framing: 'traditionally used as sleep-supporting herb')",3.0,Sleep,Respiratory draft complete,2,"Begin Sleep track. Target: 1,600-1,800 words. Cultivation-focused content is the differentiation — most Etsy guides are supplement-framing."
10,2026-07-01,Wednesday,Week 2,"Respiratory PDF assembly — Canva layout; image insertion; export; file size verification (under 5MB); cover finalization",2.0,Respiratory,Self-edit complete; cover designed,1,"Assembly. 1-day float — can defer to July 2."
10,2026-07-01,Wednesday,Week 2,"Sleep bundle — Passionflower species page (visual anchor; trellis requirements; zone 4-10 cultivation; maypop fruit forager bridge; anxiolytic research descriptive framing)",3.0,Sleep,Valerian Day 9 start,2,"Passionflower is the thumbnail anchor for the Sleep bundle — the flower photograph must be selected and inserted in design. Target: 1,600-1,800 words."
11,2026-07-02,Thursday,Week 2,"Respiratory Etsy listing prep — title; tags; description; price $20; mockup",1.0,Respiratory,PDF assembled,1,"Etsy prep. Float 1 day."
11,2026-07-02,Thursday,Week 2,"Sleep bundle — Lemon Balm species page (dual Sleep+Digestive bundle; nervine + carminative profile; forager tea bridge; 'used traditionally for relaxation and digestive comfort')",2.0,Sleep,Passionflower Day 10,2,"Target: 1,400 words. 2-day float. Lemon Balm writes quickly — it is the simplest nervine herb in the sprint."
11,2026-07-02,Thursday,Week 2,"Zone card production — Women's Health zone card (5 zones x 1 card each = 5 Canva designs; Deep Burgundy palette; condensed herb overview; cultivation zone notes)",2.0,Women's Health,"Women's Health bundle live June 29; Canva template from Phase 2",2,"Zone cards are supplemental content for the practitioner tier and for Etsy listing slot 3. 2-day float — can defer to July 4."
12,2026-07-03,Friday,Week 2,"DESIGN LOCK: All five bundle covers must be finalized by EOD today — no design changes after July 3 under any circumstances",0.5,All bundles,"Women's Health cover complete; Respiratory cover complete; Sleep cover in progress",0,"DESIGN LOCK. ZERO FLOAT. A cover that is not ready by July 3 defaults to Google Docs text-header fallback. That is launch-viable but lower quality. Push to complete all five covers today."
12,2026-07-03,Friday,Week 2,"Sleep bundle — Lavender species page (Sleep bundle supporting herb; condensed page sharing content with Women's Health version; 800 words condensed)",1.5,Sleep,Lemon Balm Day 11,1,"This is a condensed adaptation of the Women's Health Lavender page. 1-day float."
12,2026-07-03,Friday,Week 2,"Sleep cover design — Muted Lavender #9B8BA0 header; Passionflower hero image (Wikimedia CC-BY-SA — confirm most vibrant full-flower image); export test",1.0,Sleep,Passionflower image sourced,0,"Complete today for design lock."
13,2026-07-04,Saturday,Week 2,"MILESTONE 2: Respiratory bundle live on Etsy — upload PDF; publish listing; confirm download",1.0,Respiratory,PDF complete; Etsy listing ready,0,"CRITICAL MILESTONE. Respiratory goes live July 4-7 window. Float is 3 days (July 4-7) — confirm within this window."
13,2026-07-04,Saturday,Week 2,"Sleep bundle — bundle introduction (400 words); FTC disclaimer page; practitioner use note; cross-reference page to Women's Health and Digestive bundles",2.0,Sleep,Species pages Days 9-12 complete,2,"Bundle framework. 2-day float."
13,2026-07-04,Saturday,Week 2,"Zone cards — Respiratory zone cards (5 cards; Sage Green palette)",2.0,Respiratory,"Respiratory bundle live; template ready",2,"Float 2 days."
14,2026-07-05,Sunday,Week 2,"Sleep bundle self-edit pass — FTC language review (sleep claims are sensitive — verify every claim is 'traditionally used' not treatment claim); word count check (target 4,800-5,600 words)",2.5,Sleep,All Sleep species pages complete,1,"Edit pass. 1-day float."
14,2026-07-05,Sunday,Week 2,"Photo attribution log — verify all Wikimedia CC images have been logged in PHOTO_ATTRIBUTION_LOG.md; confirm each image has: Wikimedia URL, license code, attribution text, download date",1.0,All bundles,All images downloaded,1,"Compliance documentation. Must be complete before any bundle goes live. 1-day float."
15,2026-07-06,Monday,Week 3 (Photography + Final Production),"Sleep PDF assembly — Canva layout; all pages; images; page numbering; export; file size check (under 5MB)",2.0,Sleep,Self-edit complete; cover designed,1,"Assembly. 1-day float."
15,2026-07-06,Monday,Week 3,"Sleep Etsy listing prep — title; 13 tags; description; price $20; mockup; insert Passionflower hero image as Etsy listing slot 1",1.0,Sleep,PDF assembled,1,"Etsy prep."
15,2026-07-06,Monday,Week 3,"Zone cards — Sleep zone cards (5 cards; Muted Lavender palette); Digestive zone cards start (5 cards; Sage Green)",2.0,Sleep+Digestive,Zone card template ready,1,"Zone cards for third and fourth bundles."
16,2026-07-07,Tuesday,Week 3,"Photo review session — cull and edit all dried herb flat-lay images from June 17-21 studio session; select 2-3 images per bundle for Etsy listing slots 2-4; optimize for web (72-96 DPI, 2000px wide)",2.5,All bundles,Dried herbs ordered by June 15; studio session June 17-21,1,"Photography edit session. If live specimens arrived (Tier 3 orders placed June 22), photograph those today as well. 1-day float."
16,2026-07-07,Tuesday,Week 3,"Immunity bundle — Goldenseal species page (CITES Appendix II sidebar; forest farming angle; FGV certification overview; berberine/antimicrobial research FTC note: 'contains berberine, studied in lab settings')",3.0,Immunity (post-sprint),"Path 2 confirmed June 8 (Wikimedia CC); immunity bundle first-draft begins",2,"Immunity is a post-sprint bundle targeting July 20 upload. Begin writing today with 2-day float. The Goldenseal guide is the most complex species page in the entire sprint — the CITES sidebar alone is 300-400 words."
17,2026-07-08,Wednesday,Week 3,"FTC compliance review — read all five bundles sequentially; flag any claim that exceeds 'traditionally used' or 'studied for' framing; revise flagged language before export",2.0,All bundles,"All five bundle drafts complete; self-edits done",0,"FTC REVIEW. ZERO FLOAT on compliance. A guide that goes live with a treatment claim (not a traditional use claim) creates legal risk. This review is the final gate before upload."
17,2026-07-08,Wednesday,Week 3,"SEO optimization pass — verify all Etsy listing titles use primary keyword in first 40 characters; verify all 13 tags are populated; verify descriptions use natural keyword repetition (not stuffing)",1.5,All bundles,FTC review complete,1,"SEO pass. 1-day float."
18,2026-07-09,Thursday,Week 3,"Immunity bundle — Echinacea angustifolia species page (conservation focus; prairie restoration content; species distinction from E. purpurea; UpS At-Risk sidebar)",2.5,Immunity,"Goldenseal Day 16",2,"Immunity bundle second species page. 2-day float."
18,2026-07-09,Thursday,Week 3,"Updated Etsy listing images — insert improved dried herb flat-lay photos (from July 7 cull session) into listing slot 3 and 4 for Women's Health and Respiratory",1.0,Women's Health + Respiratory,"Photo cull complete Day 16",2,"Photo upgrade for live listings. 2-day float."
19,2026-07-10,Friday,Week 3,"Immunity bundle — Ashwagandha species page (adaptogen framing; Ayurvedic Rasayana classification; cultivation zones 5-11; annual vs. perennial content; 'traditionally classified as a Rasayana herb' FTC note)",2.5,Immunity,"Echinacea Day 18",2,"Target: 1,600 words. 2-day float."
19,2026-07-10,Friday,Week 3,"Sleep listing SEO refinement — review search rank signal from first 10 days live (Women's Health went live June 29 = 11 days of data by today); adjust tags if needed",0.5,Sleep,Sleep live for 3+ days,2,"Etsy analytics review. 30 min. 2-day float."
20,2026-07-11,Saturday,Week 3,"FLOAT DAY 1 — available to absorb any single-day overrun from Weeks 1-2",0,Float,"All sprint bundles on schedule",0,"Use only if needed. If no overrun: begin Immunity bundle Elderberry supporting section (already written for Respiratory — adapt with Immunity framing). Or begin Digestive bundle planning."
21,2026-07-12,Sunday,Week 3,"Sleep bundle upload prep — confirm PDF in /projects/seedwarden/scripts/output/; file size check; all attribution logs current; Etsy listing final review",1.0,Sleep,Sleep PDF assembled; Etsy listing complete,1,"Upload staging. 1-day float."
21,2026-07-12,Sunday,Week 3,"Immunity bundle — bundle introduction paragraph; FTC disclaimer page; sourcing ethics section; FGV verification note",1.5,Immunity,Goldenseal + Echinacea + Ashwagandha drafts,2,"Bundle framework for Immunity. 2-day float."
22,2026-07-13,Monday,Week 3 (Sprint End),"MILESTONE 3: Sleep bundle live on Etsy — upload PDF; publish listing; confirm download; SPRINT COMPLETE",1.0,Sleep,"Sleep listing ready; PDF confirmed",0,"SPRINT END. ZERO FLOAT. Sleep bundle goes live July 13. Sprint is complete. Immunity and Digestive bundles continue post-sprint on a lower-intensity schedule (2-3 hours/day)."
22,2026-07-13,Monday,Post-Sprint Planning,"Post-sprint planning — log sprint completion in WORKLOG.md; record word counts per bundle; record conversion data from Women's Health (first 14 days live); note any FTC revisions needed; set Immunity bundle upload target (July 20)",1.0,All,Sprint complete,0,"Completion log. Include: bundles uploaded, total words produced, photo attribution log status, outstanding Tier 3 plant orders still in transit."
