Task ID,Task Name,Phase,Track,Start Date,End Date,Duration (days),Predecessor IDs,Float (days),Critical Path,Milestone,Revenue Gate,Notes
17,Photography Week 3: mature + flowering specimen photography (Black Cohosh / Elderberry / local nursery species),PRE-SPRINT,PHOTOGRAPHY,2026-06-10,2026-06-16,7,"15,16",5,No,No,No,"iNaturalist CC-BY auto-fallback for species not yet arrived; 3–4 hours shoot; 40–50 images; attribute all stock"
18,[GATE CHECK] Phase 2 Week 1 post-launch data: forager cohort % + Native Plants conversion %,PRE-SPRINT,GATE,2026-06-06,2026-06-06,0,—,—,No,No,No,Record in phase-3-gate-tracker.md; alert immediately if either drops below threshold
19,[GATE CHECK] Phase 2 Week 2 data: confirm both gates still cleared,PRE-SPRINT,GATE,2026-06-13,2026-06-13,0,18,—,No,No,No,"If one gate drops within 0.5% of threshold: flag but proceed; if below threshold: user decision within 24 hours"
20,[HARD DEADLINE] Mountain Rose Herbs dried herbs ordered (12 species × 1 oz each; $80–120),PRE-SPRINT,SUPPLIER,2026-06-13,2026-06-13,0,8,0,YES,No,Dried herb studio session blocked if not delivered by June 21,"Order by June 13 (not June 15) for East Coast 7–10 business day transit; Frontier Co-op 3–5 day emergency backup"
21,[HARD DEADLINE] Elderberry ordered: Prairie Moon bare-root ($30–45) OR local nursery potted contingency,PRE-SPRINT,SUPPLIER,2026-06-15,2026-06-15,0,7,0,YES,No,Respiratory bundle photography path,"Local nursery potted Elderberry valid if Prairie Moon OOS; can purchase same-week through June 22"
22,[PALETTE DECISION DEADLINE] Canva palette finalized — no changes accepted after June 23,PRE-SPRINT,DESIGN,2026-06-15,2026-06-15,0,3,0,YES,No,Cover design begins June 23 — palette change after that date = 2–3 hrs rework per cover,"Default auto-confirmed June 15 if no revision submitted; 6 hex codes locked"
23,Photography Week 4: dried herb studio session + full edit/cull (Mountain Rose Herbs delivery),PRE-SPRINT,PHOTOGRAPHY,2026-06-17,2026-06-21,5,20,1,No,No,No,"3-hour studio session June 17–18; 5 bundle flat-lays; mortar+pestle prep shots; cull 100–150 raw to 50–60 keepers at 2400×2400px"
24,Photo editing: organize 50–60 keepers into bundle folders; flag cover hero per bundle; export 2400×2400px,PRE-SPRINT,PHOTOGRAPHY,2026-06-19,2026-06-21,3,23,1,No,No,No,"Warm preset: +0.2 exp / -20 highlights / +15 shadows; five bundle subfolders (WH / RESP / IMM / SLP / DIG)"
25,[ATTRIBUTION LOG] All Wikimedia CC + iNaturalist sources logged in WORKLOG.md by June 21,PRE-SPRINT,ADMIN,2026-06-21,2026-06-21,0,24,0,YES,No,ZERO TOLERANCE — no unlicensed images in any published guide,"Format: species name / source URL / license type / filename / date retrieved"
26,Canva Brand Kit updated: Phase 3 palette loaded + one zone card export-tested and confirmed,PRE-SPRINT,DESIGN,2026-06-21,2026-06-21,0,22,1,YES,No,Sprint design blocked without brand kit,"15-minute action; test export confirms all 6 hex codes render correctly; confirms Playfair Display Bold and Lato Italic available"
27,[PRE-SPRINT READINESS GATE] June 20 final gate check + all tracks confirmed (photo / supplier / palette / templates),PRE-SPRINT,GATE,2026-06-20,2026-06-20,0,19,1,YES,No,Go/No-Go for June 22 sprint start,"Record final forager cohort % and Native Plants % in phase-3-gate-tracker.md; WORKLOG.md sprint sign-off entry"
28,[SPRINT START] D1: WH front matter + introduction + Black Cohosh (700w — conservation sidebar / cultivation / contraindications),SPRINT,WRITE,2026-06-22,2026-06-22,1,26,1,YES,No,YES: Sprint begins,"Mandatory: 95% wild-harvest statistic / FGV URL / 3 toxic lookalike species / 3–5yr root harvest timeline; Cherokee framing"
29,D1: Tier 3 plant orders placed (Echinacea + Ashwagandha + Passionflower + Valerian + Ginger + Vitex),SPRINT,SUPPLIER,2026-06-22,2026-06-22,0,26,0,YES,No,No,"Arrive July 8–15 as v1.1 photography upgrades; Strictly Medicinal Seeds primary; Prairie Moon fallback"
30,D2: WH — Vitex (600w — invasive note TN/NC mandatory) + Red Clover (400w — isoflavone framing),SPRINT,WRITE,2026-06-23,2026-06-23,1,28,1,YES,No,No,"Vitex: invasive watch list TN/NC / Zone 6 / MAOI+OC interaction; Red Clover: 4 isoflavone names / white clover ID distinction"
31,D2: Women's Health cover design (Black Cohosh or Calendula hero; Deep Burgundy #8B3E3E — 1.2 hrs),SPRINT,DESIGN,2026-06-23,2026-06-23,1,26,4,No,No,No,"Float 4 days — complete before June 28 EOD; pre-select 3–5 hero candidates on June 21 to reduce revision risk"
32,D2: Studio photography — Calendula + Red Clover seedlings (flat-lay / seedling in pot / leaf close-up — 2 hrs),SPRINT,PHOTOGRAPHY,2026-06-23,2026-06-23,1,24,7,No,No,No,"Secondary to writing; skip entirely if D2 writing runs long"
33,D3: WH — Calendula (400w) + Lavender (400w — 3-cultivar comparison) + Preparation Methods + self-edit pass,SPRINT,WRITE,2026-06-24,2026-06-24,1,30,0,YES,No,No,"Lavender: Hidcote / Munstead / Phenomenal cultivars with zone hardiness each; lean soil note; essential oil ingestion warning"
34,[PACE GATE] EOD D3: WH word count check — below 2500w triggers immediate Option C activation,SPRINT,CHECKPOINT,2026-06-24,2026-06-24,0,33,0,YES,No,YES: Scope trigger gate,"If below 2500w: pace < 300w/hr; Option C defers Immunity to Aug 3 and Digestive to Aug 17; June 29 / July 6–7 / July 13 dates intact"
35,D3: Respiratory cover design (Elderberry berry cluster hero; Sage Green #6B8E6F — 1.2 hrs),SPRINT,DESIGN,2026-06-24,2026-06-24,1,31,4,No,No,No,"Float 4 days — complete before June 29 EOD; Wikimedia CC Sambucus nigra berry cluster confirmed available"
36,D3: Studio photography — Lavender + Lemon Balm + Thyme flat-lay studio batch (3 hrs),SPRINT,PHOTOGRAPHY,2026-06-24,2026-06-24,1,32,7,No,No,No,"Secondary to writing and design; skip if D3 writing at pace gate risk"
37,D4: Resp — introduction + Elderberry (800w — raw berry toxicity / sambunigrin / elderflower forager crossover / cultivar guide),SPRINT,WRITE,2026-06-25,2026-06-25,1,33,1,YES,No,No,"Sambunigrin mandatory: always cook raw berries; red elderberry distinction; cross-pollination note; Adams/Bob Gordon/York cultivars"
38,D4: Dried herb studio photography — Immunity props flat-lay batch (mortar+pestle / glass jars — 3 hrs),SPRINT,PHOTOGRAPHY,2026-06-25,2026-06-25,1,36,7,No,No,No,"Mountain Rose Herbs material; secondary to writing; useful for Immunity bundle Etsy listing slots 3–4"
39,D5: Resp — Mullein (600w — biennial lifecycle / ear oil prep / noxious weed note) + Echinacea two-species (600w — E. purpurea vs E. angustifolia / UpS At-Risk sidebar),SPRINT,WRITE,2026-06-26,2026-06-26,1,37,1,YES,No,No,"E. angustifolia UpS At-Risk mandatory; two-species comparison is primary differentiator vs PLR guides; root harvest timeline each species"
40,D5: Edit + cull D2–D4 studio photos (rate 150 raw; select 50–60 keepers; export 2400×2400px — 2 hrs),SPRINT,PHOTOGRAPHY,2026-06-26,2026-06-26,1,38,5,No,No,No,"Secondary to writing; complete before sprint Week 2"
41,D6: Resp — Thyme (500w — thymol / pregnancy caution) + shared sections + WH final self-edit pass,SPRINT,WRITE,2026-06-27,2026-06-27,1,39,2,No,No,No,"Lighter day; WH self-edit is final quality gate before PDF export; thymol culinary-safe vs essential-oil caution"
42,D7: Resp self-edit pass + WH PDF export QA (5MB limit / no placeholder / attribution confirmed / thumbnail 170×135px),SPRINT,WRITE+ADMIN,2026-06-28,2026-06-28,1,41,2,No,No,No,"WH PDF export-ready by D7 EOD; Resp self-edit has 2-day float relative to July 6–7 upload"
43,[MILESTONE 1] Women's Health bundle uploaded to Etsy ($22; practitioner 10-pack $120–130 simultaneously),SPRINT,UPLOAD,2026-06-29,2026-06-29,1,42,0,YES,YES: WH live — revenue starts,YES: Milestone 1 — June 29,"Upload checklist: title <140 chars with primary keyword in first 40; 13 tags each <20 chars; 5 image slots; test download; FTC disclaimer visible; PDF under 5MB; 72-hr Etsy discovery window opens"
44,D8: Imm — introduction + Echinacea condensed (600w — immunity framing / 40% of Respiratory effort),SPRINT,WRITE,2026-06-29,2026-06-29,1,43,1,YES,No,No,"Second occurrence; immunity framing only; cross-reference note to Respiratory bundle for full two-species cultivation guide"
45,D8: Immunity cover design (Goldenseal root or Ashwagandha hero; Deep Burgundy #8B3E3E — 1.2 hrs),SPRINT,DESIGN,2026-06-29,2026-06-29,1,35,4,No,No,No,"Float 4 days — complete before July 4 EOD; Wikimedia CC Hydrastis canadensis confirmed at guide quality"
46,D9: Imm — Ashwagandha complete (900w — Rasayana context / withanolide / MANDATORY thyroid + pregnancy + autoimmune + drug warnings),SPRINT,WRITE,2026-06-30,2026-06-30,1,44,1,YES,No,No,"Mandatory: all 4 contraindication categories; grocery store rhizome growth inhibitor note; Unani medicine reference; withanolide RCT framing"
47,D9: Sleep cover design (Passionflower flower hero; Muted Lavender #9B8BA0 — 1.2 hrs),SPRINT,DESIGN,2026-06-30,2026-06-30,1,45,3,No,No,No,"Float 3 days — complete before July 4 EOD; iNaturalist CC-BY Passiflora incarnata SE US — excellent visual quality"
48,[CHECKPOINT 1] Green: WH live on Etsy + Resp complete + Imm writing started + 2 of 5 covers done,SPRINT,CHECKPOINT,2026-06-30,2026-06-30,0,46,0,YES,No,YES: Checkpoint 1,"If WH not uploaded: date-slip path (WH July 3 / Resp July 10 / Sleep July 17); if Imm not started: evaluate Option C activation"
49,D10: Imm — Elderberry condensed (400w — fermentation / immunity framing) + Goldenseal intro + CITES Appendix II sidebar (200w MANDATORY),SPRINT,WRITE,2026-07-01,2026-07-01,1,46,1,YES,No,No,"CITES sidebar mandatory: CITES Appendix II since 1997; international wild-harvest trade requires export permits; cultivated only; FGV URL"
50,D10: Women's Health zone card (cultivation calendar; grow/harvest emphasis; Zone 5 baseline — 0.8 hrs),SPRINT,DESIGN,2026-07-01,2026-07-01,1,45,4,No,No,No,"Phase 2 template adapted: sow/transplant → grow/harvest; root harvest row added; Zone 5 baseline with Zone 3 and Zone 8 notes"
51,D11: Imm — Goldenseal cultivation (200w) + FGV sourcing documentation + berberine framing + Immunity self-edit,SPRINT,WRITE,2026-07-02,2026-07-02,1,49,1,YES,No,No,"FGV participant directory URL cited; berberine: 'Contains berberine studied in vitro and clinical settings for antimicrobial activity'; 3 cultivated-source suppliers"
52,D11: Respiratory zone card (cultivation calendar; Elderberry cross-pollination note; Mullein biennial timing — 0.8 hrs),SPRINT,DESIGN,2026-07-02,2026-07-02,1,50,4,No,No,No,"Zone 5 baseline; Elderberry Zone 4–9; Mullein biennial sow-to-flower year distinction"
53,D12: Sleep — introduction + Valerian complete (800w — second-year root harvest / valerenic acid / sedative drug interaction MANDATORY),SPRINT,WRITE,2026-07-03,2026-07-03,1,51,1,YES,No,No,"Sedative drug interaction warning MANDATORY in contraindications AND preparation methods; second-year root harvest only; WWI shell shock reference"
54,D12: Digestive cover design (Dandelion root or Ginger rhizome hero; Sage Green #6B8E6F — 1.2 hrs) — DESIGN LOCK EOD,SPRINT,DESIGN,2026-07-03,2026-07-03,1,52,0,YES,No,YES: Design lock — no cover changes after July 3 EOD,"Final cover; design lock July 3 EOD; Google Docs PDF fallback if Canva fails; no design changes until post-launch"
55,D13: Sleep — Passionflower complete (700w — maypop forager crossover / trellis requirements / MAOI interaction MANDATORY / chrysin+vitexin framing),SPRINT,WRITE,2026-07-04,2026-07-04,1,53,2,No,No,No,"MAOI interaction warning is mandatory and highest-severity drug interaction in Sleep bundle; trellis requirement note; Zone 6–10 perennial vs Zone 4–5 annual"
56,D14: Sleep — Lemon Balm condensed (500w — TSH caution MANDATORY) + Lavender condensed (500w — linalool sleep framing distinct from WH salve) + shared sections + self-edit,SPRINT,WRITE,2026-07-05,2026-07-05,1,55,2,No,No,No,"Lemon Balm TSH binding inhibition MANDATORY; Lavender: linalool/linalyl acetate sleep framing vs. topical salve in WH bundle"
57,[MILESTONE 2] Respiratory bundle uploaded to Etsy ($20; 7-day spacing from WH; practitioner 10-pack $120–130 simultaneously),SPRINT,UPLOAD,2026-07-06,2026-07-07,2,42,1,YES,YES: Resp live — revenue starts,YES: Milestone 2 — July 6–7,"2-day upload window; cold/flu research intent builds July–August; all 5 image slots confirmed; 72-hr discovery window"
58,D15: Dig — introduction + Dandelion complete (900w — bitters mechanism / wild-edibles cross-sell hook / roasted root coffee sub / inulin+taraxacin framing),SPRINT,WRITE,2026-07-06,2026-07-07,2,57,1,YES,No,No,"Cross-sell hook mandatory: 'If you purchased Wild Edibles Quick Reference you have already met dandelion'; bitters mechanism is physiological not product claim"
59,D15: Immunity + Digestive zone cards (two 0.8-hr sessions — 1.6 hrs total),SPRINT,DESIGN,2026-07-06,2026-07-07,2,54,2,No,No,No,"Immunity: Goldenseal Zone 5–8 / Ashwagandha Zone 8–12 perennial vs annual; Digestive: Dandelion all-zone / Ginger Zone 8–12 container annual"
60,D16: Dig — Calendula condensed (600w — digestive internal tea framing / mucosal healing) + Lemon Balm condensed (500w — carminative) + shared sections,SPRINT,WRITE,2026-07-07,2026-07-07,1,58,1,No,No,No,"Calendula digestive framing: internal mucosal tea — explicitly distinct from WH topical salve section; anti-inflammatory properties same compound different application"
61,D16: Sleep zone card (Lavender + Passionflower zone notes; Valerian second-year harvest timing — 0.8 hrs),SPRINT,DESIGN,2026-07-07,2026-07-07,1,59,2,No,No,No,"Lavender Zone 5–9 with cultivar recommendations; Passionflower Zone 6–10 trellis notes; Valerian second-year root harvest timing"
62,D16: Export test all 5 covers at thumbnail 170×135px (Etsy preview crop check),SPRINT,DESIGN,2026-07-07,2026-07-07,1,61,2,No,No,No,"Verify all hex codes match Brand Kit; Playfair Display Bold on headers; Lato Italic on Latin binomials; crop confirms key visual retained at thumbnail size"
63,[CHECKPOINT 2] Green: Resp live + Imm and Sleep writing complete + Dig at 1500w+ + all 5 covers complete (design lock July 3 confirmed),SPRINT,CHECKPOINT,2026-07-07,2026-07-07,0,62,0,YES,No,YES: Checkpoint 2 — July 7,"If Sleep not complete: Sleep shifts July 13 → July 16 (3-day slip; no cascade to Immunity upload); if <3 bundles write-ready: activate Contingency 5"
64,D17: Dig — Ginger complete (700w — grocery rhizome warning / cultivation zones / gingerol+shogaol framing / nausea RCT evidence) + Dig self-edit,SPRINT,WRITE,2026-07-08,2026-07-08,1,60,2,No,No,No,"Ginger nausea RCT framing: 'Multiple RCTs have studied ginger for nausea associated with pregnancy / chemotherapy / postoperative recovery'; blood-thinning anticoagulant interaction"
65,D18: FTC language compliance review all 5 bundles (efficacy claims / contraindication completeness / qualifying language / mandatory warnings),SPRINT,REVIEW,2026-07-09,2026-07-09,1,64,2,No,No,No,"Review order: WH (Black Cohosh/Vitex) → Imm (Goldenseal CITES/Ashwagandha thyroid) → Sleep (sedative interactions all 4 species) → Resp → Dig"
66,D18: Canva consistency check all 5 covers + zone cards: hex codes / Playfair Display / Lato Italic binomials / crop test,SPRINT,DESIGN,2026-07-09,2026-07-09,1,62,2,No,No,No,"Final design QA before PDF export; any inconsistency flagged and corrected within the 2-hour review session"
67,D19: SEO optimization pass (Etsy title/tag keyword density) + PDF export all 5 bundles (<5MB / no placeholder / attribution complete),SPRINT,ADMIN,2026-07-10,2026-07-10,1,65,1,No,No,No,"Etsy title: primary keyword in first 40 characters / under 140 total; 13 tags each under 20 characters; all 5 PDFs export-ready"
68,D20: File naming all 5 bundles + Sleep upload staging + practitioner 10-pack staging all 5 ($120–130) + Immunity listing QA,SPRINT,UPLOAD_PREP,2026-07-11,2026-07-11,1,67,1,No,No,No,"Practitioner 10-pack: $120–130 (Immunity $130); explicit 10-copy license language on practitioner variant page"
69,[FLOAT DAY 1] Absorb writing overrun from any Week 3 day OR early Sleep upload staging,SPRINT,FLOAT,2026-07-12,2026-07-12,1,68,0,No,No,YES: Float buffer — 8 hours available,"If D15–D19 on schedule: use for Sleep upload staging and practitioner variant QA refinement; if any day slipped: writing recovery here"
70,[MILESTONE 3] Sleep and Nervines bundle uploaded to Etsy ($20; sprint completion — WH + Resp + Sleep live),SPRINT,UPLOAD,2026-07-13,2026-07-13,0,69,0,YES,YES: Sleep live — sprint complete; revenue starts,YES: Milestone 3 — Sprint Close,"Upload checklist: all 5 slots filled; practitioner 10-pack live simultaneously; WORKLOG.md sprint retrospective entry"
71,[SPRINT CLOSE CHECKPOINT 3] Confirm: WH + Resp + Sleep live; Imm staged July 20; Dig staged Aug 3; all 5 PDFs export-ready; attributions logged,SPRINT,CHECKPOINT,2026-07-13,2026-07-13,0,70,0,YES,No,YES: Sprint completion gate,"Sprint NOT complete if any PDF is not export-ready; photo attribution log must be complete before sprint close"
72,Post-sprint: FTC compliance final check before Immunity upload (Goldenseal CITES sidebar + Ashwagandha mandatory warnings confirmed present),POST-SPRINT,REVIEW,2026-07-14,2026-07-14,1,70,5,No,No,No,"Immunity has the most legally complex content in portfolio; 20-minute spot check on the mandatory sections"
73,Post-sprint: Practitioner 10-pack listings activated all 5 bundles — Kit email practitioner sequence initiated,POST-SPRINT,ADMIN,2026-07-14,2026-07-15,2,70,0,YES,No,No,"Practitioner tier highest LTV segment; sequence triggers at purchase; all 5 practitioner listings live by July 15"
74,[MILESTONE 4] Immunity Support bundle uploaded to Etsy ($22; 7-day spacing from Sleep; Goldenseal CITES sidebar confirmed in PDF),POST-SPRINT,UPLOAD,2026-07-20,2026-07-20,0,51,0,YES,YES: Immunity live — review accumulation for Nov–Dec cold/flu window,YES: Milestone 4 — July 20,"CITES sidebar must appear in uploaded PDF; practitioner 10-pack $130 (top of range justified by content complexity)"
75,[MILESTONE 5] Digestive Support bundle uploaded to Etsy ($20; full 5-bundle launch complete; forager cohort cross-sell email trigger),POST-SPRINT,UPLOAD,2026-08-03,2026-08-03,0,64,0,YES,YES: Full launch complete — forager cross-sell FORAGER20 segment activates,YES: Milestone 5 — August 3,"Kit email trigger: FORAGER20 segment receives 'extend your dandelion knowledge' messaging; forager attach rate target 15% conservative / 25% optimistic"
76,[CONTINGENCY A] Option C activation: 3-bundle scope if WH below 2500w EOD June 24 — defer Immunity to Aug 3 / Digestive to Aug 17,CONTINGENCY,CONTINGENCY,2026-06-24,2026-06-24,0,34,0,No,No,No,"Pre-authorized at May 30; activates automatically at pace gate; June 29 / July 6–7 / July 13 uploads fully preserved; no user decision needed mid-sprint"
77,[CONTINGENCY B] Goldenseal CC path: if no live specimen confirmed by June 7 — email NC Botanical Garden + Missouri Botanical Garden for high-res license,CONTINGENCY,CONTINGENCY,2026-06-07,2026-06-07,1,15,0,No,No,No,"media@ncbg.unc.edu + media@mobot.org; zero cost; zero schedule risk; Wikimedia CC-BY-SA Goldenseal coverage confirmed guide-quality at launch"
78,[CONTINGENCY C] Mountain Rose Herbs delay: order Frontier Co-op by June 20 if MRH not shipped by June 13,CONTINGENCY,CONTINGENCY,2026-06-13,2026-06-13,0,20,0,No,No,No,"Frontier Co-op 3–5 business day ship; order placed June 20 arrives June 23–25; studio session shifts to Sprint Days 2–3; no upload impact"
79,[CONTINGENCY D] Design fallback: activate Google Docs PDF if any Canva cover exceeds 2 hours on first attempt,CONTINGENCY,CONTINGENCY,2026-06-23,2026-07-03,11,28,0,No,No,No,"Content quality drives practitioner purchase; Docs PDF is launch-viable; Canva version becomes v1.1 post-launch upgrade"
80,[CONTINGENCY E] Goldenseal unavailable — substitute Barberry or launch with Wikimedia CC photography only,CONTINGENCY,CONTINGENCY,2026-06-10,2026-06-10,0,16,0,No,No,No,"Path A: substitute Barberry (also berberine-containing; no CITES; CITES sidebar becomes comparative framing); Path B: launch with CC photography; Path C: Immunity delayed to Aug 3 (least preferred)"
81,[CONTINGENCY F] Pace repair: if 2200–2499 words EOD D3 — reduce second-occurrence sections to 300w each; saves 4–8 hrs,CONTINGENCY,CONTINGENCY,2026-06-24,2026-06-24,0,34,0,No,No,No,"Combined with Option C activation if below 2500w; practitioners prioritize clinical and cultivation content over history; minimal quality impact"
82,[CONTINGENCY G] Immunity upload slip: if Immunity not complete by July 5 EOD — shift to July 27; Digestive to August 10,CONTINGENCY,CONTINGENCY,2026-07-05,2026-07-05,0,56,0,No,No,No,"Sleep remains July 13; sprint writing extends to July 15 (2 calendar days beyond nominal sprint end); revenue delay approx $180–350 first-month gross"
83,[CONTINGENCY H] Minimum viable launch: upload whichever 2–3 bundles are write-ready by July 13 (priority WH → Sleep → Resp),CONTINGENCY,CONTINGENCY,2026-07-09,2026-07-09,0,65,0,No,No,No,"Defer remaining bundles to Aug–Sep; log sprint retrospective with root-cause analysis in WORKLOG.md; all revenue from launched bundles begins immediately"
84,[FINANCIAL] Break-even per bundle at 300w/hr pace: WH 14–17 units / Resp 13–16 / Imm 15–18 / Sleep 13–16 / Dig 13–16 at $20–22,FINANCIAL,FINANCIAL,2026-08-03,2026-10-03,60,75,—,No,No,No,"Conservative: 3–5 sales/bundle/month × 5 bundles × $21 avg = $315–525/month gross; practitioner 10-pack ($120–130) doubles revenue floor at 1 sale/month/bundle"
85,[FINANCIAL] Practitioner tier revenue model: 10 practitioners × $125 avg = $1,250 first cohort; unlocks at 3-bundle minimum (July 13),FINANCIAL,FINANCIAL,2026-07-15,2027-01-15,183,73,—,No,No,No,"15–20% of core buyers who are practitioners convert to 10-pack; at 50 core buyers/month = 7–10 practitioner sales/month by Month 6"
86,[FINANCIAL] Forager cohort attach rate: 15% of Phase 2 buyers purchase 1+ Phase 3 bundle by Month 6 (Digestive primary vehicle via dandelion cross-sell),FINANCIAL,FINANCIAL,2026-08-03,2027-01-03,153,75,—,No,No,No,"Kit email trigger Aug 3: FORAGER20 segment; 15% conservative / 25% optimistic; dandelion cross-sell hook written into Digestive bundle identification section"
