Week,Period,Phase,Track,Task,Start Date,End Date,Duration (days),Dependencies,Float Days,Critical Path Y/N,Resource (Hours),Resource Notes,Status,Notes
PRE-SPRINT,2026-06-17,Pre-Sprint Photography,Photography,"Dried herb studio session: mortar/pestle staging / glass jars / flat-lay by bundle theme",2026-06-17,2026-06-21,5,Mountain Rose Herbs delivered,1,NO,3,"Photography: User",PENDING,"North-facing window 9am–2pm. Bundle backgrounds: linen (WH) / white+elderberry (Resp) / dark wood (Imm) / grey muslin (Sleep) / kraft paper (Dgt)."
PRE-SPRINT,2026-06-19,Pre-Sprint Photography,Photography,"Photo editing: cull 100–150 raw to 50–60 keepers; warm preset (+0.2 exp / -20 highlights / +15 shadows); export 2400×2400px",2026-06-19,2026-06-21,3,Studio session complete,1,NO,3,"Photography: User",PENDING,"Target: 8–12 studio images per bundle (40–60 total) + 3–5 hero/cover candidates per bundle."
PRE-SPRINT,2026-06-21,Pre-Sprint Admin,Admin,"Attribution logging: Wikimedia CC + iNaturalist sources for all pre-sprint images (WORKLOG.md protocol)",2026-06-21,2026-06-21,1,Photo editing complete,0,YES,1,"Admin: User",PENDING,"Zero-float. Must complete before sprint Day 1. WORKLOG: species / source URL / license / filename."
PRE-SPRINT,2026-06-21,Pre-Sprint Design,Design,"Canva brand kit: load Phase 3 Medicinal palette (6 hex codes) + pre-test one zone card",2026-06-21,2026-06-21,1,Palette confirmed,1,YES,0.25,"Design: User",PENDING,"15-minute action per canva-phase-3-adaptation-guide.md. No Brand Kit rebuild — palette is additive. Must run before June 22."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Women's Health,"WH Day 1: Front matter + Introduction + Black Cohosh (700w — conservation sidebar / Cherokee use / cultivation / contraindications)",2026-06-22,2026-06-22,1,Brand kit loaded; outlines reviewed,1,YES,5,"Writing: User",PENDING,"Conservation sidebar (150w) and Cherokee traditional use framing require accuracy review. Tier 3 plant orders placed same day."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Women's Health,"WH Day 2: Vitex (600w — invasive note SE states) + Red Clover (400w — isoflavone framing / edibility note)",2026-06-23,2026-06-23,1,WH Day 1 complete,1,YES,5,"Writing: User",PENDING,"Vitex invasive watch list (TN/NC) note is mandatory. Red Clover phytoestrogenic isoflavone framing per FTC quick reference."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Women's Health,"WH Day 3: Calendula (400w) + Lavender (400w — 3 cultivars) + preparation methods + self-edit pass [ZERO FLOAT]",2026-06-24,2026-06-24,1,WH Day 2 complete,0,YES,5,"Writing: User",PENDING,"ZERO FLOAT. WH must complete by June 28 EOD for June 29 upload. PACE SELF-TEST: if below 2500w EOD June 24 activate Option C."
WEEK 1,2026-06-22,Sprint Week 1,Design — Women's Health,"WH cover design (Black Cohosh or Calendula hero; Deep Burgundy #8B3E3E; existing template)",2026-06-23,2026-06-23,1,"WH Day 1 complete; hero photo available",4,NO,1.2,"Design: User",PENDING,"Parallel to WH Day 2 writing. 4-day float. Lower revision risk — wide CC-licensed selection."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Respiratory,"Resp Day 1: Introduction + Elderberry (800w — raw berry toxicity / sambunigrin / cultivar guide / elderflower forager crossover)",2026-06-25,2026-06-25,1,WH writing in progress,1,YES,5,"Writing: User",PENDING,"Elderberry is the most complex Respiratory species. Raw berry toxicity and sambunigrin framing require accuracy."
WEEK 1,2026-06-22,Sprint Week 1,Design — Respiratory,"Resp cover design (Elderberry berry cluster hero; Sage Green #6B8E6F; existing template)",2026-06-24,2026-06-24,1,"WH Day 2 complete; hero photo available",4,NO,1.2,"Design: User",PENDING,"Lowest cover revision risk — widest CC-licensed elderberry selection of any Phase 3 species."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Respiratory,"Resp Day 2: Mullein (600w — biennial lifecycle / ear oil prep) + Echinacea two-species (600w — E. angustifolia UpS sidebar)",2026-06-26,2026-06-26,1,Resp Day 1 complete,1,YES,5,"Writing: User",PENDING,"E. angustifolia conservation sidebar mandatory. Two-species comparison is primary content differentiation vs. PLR."
WEEK 1,2026-06-22,Sprint Week 1,Photography — Studio,"Sprint studio session 1: Calendula + Red Clover seedlings (flat-lay on linen / seedling in pot / leaf close-up)",2026-06-23,2026-06-23,1,Dried herbs available,2,NO,2,"Photography: User",PENDING,"Photography is secondary to writing. Compress or skip if writing behind pace."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Respiratory,"Resp Day 3: Thyme (500w — thymol / pregnancy caution) + shared sections + WH final self-edit pass",2026-06-27,2026-06-27,1,Resp Day 2 complete,2,NO,4,"Writing: User",PENDING,"Lighter day. WH self-edit is final quality gate before PDF export. Resp can slip 1 day without affecting July 6–7 upload."
WEEK 1,2026-06-22,Sprint Week 1,Photography — Studio,"Sprint studio session 2: Lavender + Lemon Balm + Thyme (full plant habit / stem close-up / dried bundle staged)",2026-06-24,2026-06-24,1,Local nursery starts available,3,NO,3,"Photography: User",PENDING,"3-day float. Secondary to writing."
WEEK 1,2026-06-22,Sprint Week 1,Writing — Respiratory + Admin,"Resp self-edit pass; WH PDF export QA (5MB limit / no placeholder / attribution confirm)",2026-06-28,2026-06-28,1,"Resp writing and WH self-edit done",2,NO,2,"Writing + Admin: User",PENDING,"WH PDF must be export-ready by EOD Day 7. Resp PDF targeted complete; can slip 1 day without upload impact."
WEEK 1,2026-06-22,Sprint Week 1,Photography — Studio,"Sprint studio session 3: Dried herb Immunity props (mortar-and-pestle / glass jars / flat-lay Immunity bundle)",2026-06-25,2026-06-25,1,Dried herbs delivered,1,NO,3,"Photography: User",PENDING,"Parallel to Resp Day 1 writing. Photography secondary; writing has priority."
WEEK 1,2026-06-22,Sprint Week 1,Photography — Admin,"Sprint studio session 4: Edit + cull Days 1–3 photos; rate keepers; export 2400×2400px for Canva",2026-06-26,2026-06-26,1,Studio sessions 1–3 complete,2,NO,2,"Photography: User",PENDING,"Cull to 8–12 keepers per bundle. Secondary to writing."
WEEK 1 TOTAL,2026-06-22,Sprint Week 1,ALL,"WEEK 1 SUMMARY: Women's Health (3800w) + Respiratory (3600w) written and self-edited. WH PDF export-ready. First upload June 29.",2026-06-22,2026-06-28,7,"All Week 1 tasks complete",0,YES,31 (writing) + 10 (design+photo),"Writing 31 hrs; Design 2.4 hrs; Photography 10 hrs; Total ~43.4 hrs",TARGET,"MILESTONE: WH complete and export-ready. Resp complete. June 29 first upload gates from this week."
WEEK 2,2026-06-29,Sprint Week 2,Upload — Women's Health,"[MILESTONE 1] Women's Health uploaded to Etsy (9–10am ET) — REVENUE START",2026-06-29,2026-06-29,1,"WH PDF complete; all 5 image slots filled; 13 tags verified",0,YES,2,"Admin: User",PENDING,"72-hr Etsy discovery window opens. Upload checklist: title <140 chars / 13 tags / 5 image slots / test download / practitioner 10-pack simultaneous ($120–130)."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Immunity,"Immunity Day 1: Introduction + Echinacea condensed (immunity framing; 60% of Resp length)",2026-06-29,2026-06-29,1,WH upload complete,1,YES,3,"Writing: User",PENDING,"Post-upload pivot. Echinacea second occurrence — immunity framing shifts from respiratory support to immune modulation."
WEEK 2,2026-06-29,Sprint Week 2,Design — Immunity,"Immunity cover design (Goldenseal root or Ashwagandha hero; Deep Burgundy; existing template)",2026-06-29,2026-06-29,1,"WH upload complete; hero photo available",4,NO,1.2,"Design: User",PENDING,"Highest revision risk cover — Goldenseal root hero may require multiple sourcing attempts."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Immunity,"Immunity Day 2: Ashwagandha complete (900w — Rasayana context / withanolide studies / cultivation zones / mandatory thyroid+pregnancy warning)",2026-06-30,2026-06-30,1,Immunity Day 1 complete,1,YES,5,"Writing: User",PENDING,"Ashwagandha thyroid/pregnancy warning is mandatory — omitting creates product liability. Longest single species section in Phase 3."
WEEK 2,2026-06-29,Sprint Week 2,Design — Sleep,"Sleep cover design (Passionflower flower hero; Muted Lavender #9B8BA0; existing template)",2026-06-30,2026-06-30,1,"Immunity Day 1 complete; hero photo available",3,NO,1.2,"Design: User",PENDING,"Passionflower Wikimedia CC flower image is the listing thumbnail — visually superior to a fresh specimen."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Immunity,"Immunity Day 3: Elderberry condensed (fermentation note added; immunity framing) + Goldenseal intro + CITES sidebar (200w mandatory)",2026-07-01,2026-07-01,1,Immunity Day 2 complete,1,YES,5,"Writing: User",PENDING,"CITES sidebar is mandatory. Language: Goldenseal listed in CITES Appendix II / international trade in wild-harvested material requires permits / guide recommends cultivated sources only."
WEEK 2,2026-06-29,Sprint Week 2,Design — Women's Health,"Women's Health zone card (existing template; 4-field fill)",2026-07-01,2026-07-01,1,WH cover done,4,NO,0.8,"Design: User",PENDING,"4-field fill from existing Phase 2 zone card template. No structural redesign needed. 4-day float."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Immunity,"Immunity Day 4: Goldenseal cultivation (200w) + FGV sourcing documentation + berberine framing + self-edit",2026-07-02,2026-07-02,1,Immunity Day 3 complete,1,YES,5,"Writing: User",PENDING,"FGV sourcing: cite UpS FGV participant directory. Berberine: contains berberine, an alkaloid studied in vitro and clinical settings."
WEEK 2,2026-06-29,Sprint Week 2,Design — Respiratory,"Respiratory zone card (existing template; 4-field fill)",2026-07-02,2026-07-02,1,Resp cover done,4,NO,0.8,"Design: User",PENDING,"4-day float. Elderberry berry cluster thumbnail visible in zone card header."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Sleep,"Sleep Day 1: Introduction + Valerian complete (800w — second-year root harvest / valerenic acid framing / mandatory drug interaction with sedatives)",2026-07-03,2026-07-03,1,Immunity writing in progress,1,YES,4,"Writing: User",PENDING,"Valerian sedative drug interaction warning is mandatory. Second-year root harvest detail is primary differentiation for practitioner buyers."
WEEK 2,2026-06-29,Sprint Week 2,Design — Digestive,"Digestive cover design (Dandelion root or Ginger rhizome hero; Sage Green; existing template) — DESIGN LOCK EOD",2026-07-03,2026-07-03,1,Hero photo available,0,YES,1.2,"Design: User",PENDING,"DESIGN LOCK EOD July 3. Zero float. No design changes after this date until post-launch. Final cover in production sequence."
WEEK 2,2026-06-29,Sprint Week 2,Checkpoint,"[CHECKPOINT 1] Green: WH live on Etsy + Resp complete + Immunity writing started + 2 of 5 covers done",2026-06-30,2026-06-30,0,Day 8 complete,0,YES,0,"Review: User",TARGET,"If WH not uploaded by June 30 EOD: activate date-slip path (WH July 3 / Resp July 10 / Sleep July 17). No scope reduction required."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Sleep,"Sleep Day 2: Passionflower complete (700w — maypop forager crossover / trellis requirements / mandatory MAOI interaction note)",2026-07-04,2026-07-04,1,Sleep Day 1 complete,2,NO,4,"Writing: User",PENDING,"MAOI interaction note is mandatory. Passionflower is listing thumbnail species."
WEEK 2,2026-06-29,Sprint Week 2,Writing — Sleep,"Sleep Day 3: Lemon Balm condensed (nervine / TSH caution) + Lavender condensed (linalool / sleep sachet) + shared sections + self-edit",2026-07-05,2026-07-05,1,Sleep Day 2 complete,2,NO,4,"Writing: User",PENDING,"Lemon Balm TSH warning mandatory. Lavender second occurrence foregrounds aromatherapy and sleep sachet."
WEEK 2 TOTAL,2026-06-29,Sprint Week 2,ALL,"WEEK 2 SUMMARY: WH uploaded (June 29). Immunity (3800w) complete. Sleep (3500w) complete. All 5 Canva covers complete. Design lock July 3.",2026-06-29,2026-07-05,7,"Week 1 outputs complete; WH PDF uploaded",0,YES,28 (writing) + 5 (design+upload),"Writing 28 hrs; Design 5 hrs; Upload 2 hrs; Total ~35 hrs",TARGET,"MILESTONE: WH revenue live. Immunity + Sleep written. All 5 covers complete. Resp PDF queued July 6–7. Sleep PDF queued July 13."
WEEK 3,2026-07-06,Sprint Week 3,Upload — Respiratory,"[MILESTONE 2] Respiratory uploaded to Etsy (9–10am ET) — REVENUE START",2026-07-06,2026-07-06,1,"Resp PDF complete; all 5 image slots filled",1,YES,2,"Admin: User",PENDING,"72-hr discovery window. 7 days after WH upload maximizes algorithmic separation. Cold/flu research intent builds July–August."
WEEK 3,2026-07-06,Sprint Week 3,Writing — Digestive,"Digestive Day 1: Introduction + Dandelion complete (900w — bitters / wild-edibles cross-sell hook / roasted root coffee substitute / inulin/taraxacin framing)",2026-07-06,2026-07-06,1,Resp upload complete,1,YES,5,"Writing: User",PENDING,"HIGHEST-LEVERAGE SECTION IN PHASE 3. Dandelion cross-sell hook connects wild-edibles forager cohort to medicinal herbs. Kit FORAGER20 segment trigger."
WEEK 3,2026-07-06,Sprint Week 3,Design — Immunity + Digestive,"Immunity zone card + Digestive zone card (0.8 hr each; existing template; 4-field fill)",2026-07-06,2026-07-07,2,Immunity and Digestive covers done,2,NO,1.6,"Design: User",PENDING,"2-day float. Parallel to Digestive writing — design secondary on constrained days."
WEEK 3,2026-07-06,Sprint Week 3,Writing — Digestive,"Digestive Day 2: Calendula condensed (digestive framing — tea not oil) + Lemon Balm condensed (carminative / post-meal gas) + shared sections",2026-07-07,2026-07-07,1,Digestive Day 1 complete,1,NO,4,"Writing: User",PENDING,"Calendula digestive framing: internal infusion and GI use (vs. WH topical salve). Different framing same species."
WEEK 3,2026-07-06,Sprint Week 3,Design — Sleep,"Sleep zone card (existing template; 4-field fill)",2026-07-07,2026-07-07,1,Sleep cover done,2,NO,0.8,"Design: User",PENDING,"2-day float. Passionflower flower thumbnail visible in zone card header."
WEEK 3,2026-07-06,Sprint Week 3,Design — All,"Template consistency review + export test all 5 covers (thumbnail crop 170×135px / no placeholder / attribution)",2026-07-07,2026-07-07,1,All covers done; design lock active,2,NO,0.5,"Design: User",PENDING,"Verify 170×135px Etsy preview crop for all 5 covers. Design lock confirmed."
WEEK 3,2026-07-06,Sprint Week 3,Checkpoint,"[CHECKPOINT 2] Green: Resp live + Immunity complete + Sleep complete + Digestive at 1500+ words + all 5 covers done",2026-07-07,2026-07-07,0,Day 16 complete,0,YES,0,"Review: User",TARGET,"If Sleep not complete July 7: Sleep upload shifts July 13 to July 16 (3-day slip; no cascade). If Digestive below 1500w: Aug 3 upload shifts to Aug 10."
WEEK 3,2026-07-06,Sprint Week 3,Writing — Digestive,"Digestive Day 3: Ginger complete (700w — grocery store rhizome warning / gingerol+shogaol framing / nausea RCT evidence) + Digestive self-edit",2026-07-08,2026-07-08,1,Digestive Day 2 complete,2,NO,4,"Writing: User",PENDING,"Ginger nausea RCT evidence is strongest of any species in Phase 3. Frame: multiple RCTs for nausea in pregnancy / chemotherapy / postoperative recovery."
WEEK 3,2026-07-06,Sprint Week 3,Review — All Bundles,"FTC language compliance review: all 5 bundles (efficacy claims / contraindications / qualifying language / mandatory warnings)",2026-07-09,2026-07-09,1,All writing complete,2,NO,3,"Review: User",PENDING,"Priority order: WH (Black Cohosh / Vitex) → Immunity (Goldenseal CITES / Ashwagandha thyroid+pregnancy) → Sleep (sedative interactions) → Resp → Dgt."
WEEK 3,2026-07-06,Sprint Week 3,SEO + Export — All Bundles,"SEO optimization pass: Etsy title/tag keyword density verification; PDF export all 5 bundles (5MB limit / no placeholder / attribution)",2026-07-10,2026-07-10,1,FTC review complete,1,NO,2,"Admin: User",PENDING,"Etsy title: primary keyword in first 40 chars / under 140 total. 13 tags each under 20 chars. PDF under 5MB."
WEEK 3,2026-07-06,Sprint Week 3,Admin — Upload Prep,"Upload prep: file naming convention for all 5 bundles; practitioner variant staging; Etsy listing QA for Sleep and queued bundles",2026-07-11,2026-07-11,1,PDFs exported,1,NO,2,"Admin: User",PENDING,"Practitioner 10-pack price $120–130. Practitioners are highest-LTV segment across all 5 bundles."
WEEK 3,2026-07-06,Sprint Week 3,Float,"FLOAT DAY 1 — absorb writing overrun OR begin Sleep upload staging early",2026-07-12,2026-07-12,1,Writing complete,0,NO,0-4,"Buffer: 8 hrs available","FLOAT","If Days 15–19 on schedule: use for Sleep upload staging and practitioner variant QA."
WEEK 3,2026-07-06,Sprint Week 3,Upload — Sleep,"[MILESTONE 3] Sleep uploaded to Etsy (9–10am ET); sprint retrospective; WORKLOG.md final update — SPRINT COMPLETION",2026-07-13,2026-07-13,1,"Sleep PDF complete; all 5 image slots filled; 13 tags verified",0,YES,2,"Admin: User",PENDING,"SPRINT COMPLETION DEFINITION: WH + Resp + Sleep live. Immunity and Digestive staged for July 20 and August 3."
WEEK 3,2026-07-06,Sprint Week 3,Checkpoint,"[CHECKPOINT 3 — SPRINT CLOSE] Confirm: WH + Resp + Sleep live / Immunity staged July 20 / Digestive staged August 3",2026-07-13,2026-07-13,0,Day 22 complete,0,YES,0,"Review: User",TARGET,"Sprint NOT complete if PDFs not ready. All 5 PDFs must be export-ready regardless of upload date."
WEEK 3 TOTAL,2026-07-06,Sprint Week 3,ALL,"WEEK 3 SUMMARY: Digestive (3600w) complete. FTC review all 5 bundles. SEO pass. Resp uploaded July 6. Sleep uploaded July 13. Float Day 1 July 12.",2026-07-06,2026-07-13,8,"Weeks 1–2 outputs complete",0,YES,14 (writing) + 8 (review/admin) + 3 (design),"Writing 14 hrs; Review 5 hrs; Admin 4 hrs; Design 2.9 hrs; Upload 4 hrs; Total ~29.9 hrs",TARGET,"MILESTONE: Resp + Sleep revenue live. All 5 PDFs export-ready. Immunity + Digestive staged."
POST-SPRINT,2026-07-20,Post-Sprint,Upload — Immunity,"[MILESTONE 4] Immunity uploaded to Etsy (9–10am ET) — REVENUE START",2026-07-20,2026-07-20,1,"Immunity PDF + listing draft complete",0,YES,2,"Admin: User",PENDING,"Review accumulation for November–December cold/flu gifting window begins. 7-day spacing from Sleep upload."
POST-SPRINT,2026-08-03,Post-Sprint,Upload — Digestive,"[MILESTONE 5] Digestive uploaded to Etsy (9–10am ET); Kit FORAGER20 cross-sell email trigger — FULL LAUNCH COMPLETE",2026-08-03,2026-08-03,1,"Digestive PDF + listing draft complete",0,YES,2,"Admin: User",PENDING,"FULL LAUNCH COMPLETE. 14-day gap from Immunity. Kit email trigger: FORAGER20 segment receives dandelion cross-sell on August 3."
CONTINGENCY,2026-06-07,Contingency,Contingency,"[CONTINGENCY 1] Goldenseal CC photo path: email media@ncbg.unc.edu + media@mobot.org; download + log Wikimedia CC-BY-SA Goldenseal images",2026-06-07,2026-06-07,1,"No order confirmation by June 7 EOD",0,NO,0.5,"Admin: User","If triggered","Trigger: no order confirmation by June 7 EOD. Zero cost / zero schedule risk. Log in WORKLOG.md."
CONTINGENCY,2026-06-24,Contingency,Contingency,"[CONTINGENCY 2] Option C activation: 3-bundle scope if Women's Health below 2500w at EOD June 24",2026-06-24,2026-06-24,0,"Day 3 writing pace check",0,NO,0,"Scope change: User","If triggered","Move Sleep to Week 2; defer Immunity + Digestive to late July. Immunity shifts Aug 3; Digestive shifts Aug 17. WH Jun 29 / Resp Jul 6–7 / Sleep Jul 13 unchanged."
CONTINGENCY,2026-07-05,Contingency,Contingency,"[CONTINGENCY 3] Upload stagger instead of compressing writing: shift Immunity to July 27 / Digestive to August 10",2026-07-05,2026-07-05,0,"July 5 EOD Immunity not complete",0,NO,0,"Scope change: User","If triggered","Sleep remains July 13. Sprint writing extends to July 15. Revenue impact: negligible."
CONTINGENCY,2026-06-22,Contingency,Contingency,"[CONTINGENCY 4] Google Docs PDF fallback: if any single cover design exceeds 2 hours on first attempt",2026-06-22,2026-07-03,12,"Cover session time check",0,NO,0,"Design: User","If triggered","Create Google Docs template. Export as PDF for launch. Canva version becomes v1.1 post-launch design upgrade."
CONTINGENCY,2026-07-09,Contingency,Contingency,"[CONTINGENCY 5] Minimum viable launch: if fewer than 3 bundles written and export-ready at Day 18",2026-07-09,2026-07-09,0,"Day 18 bundle count",0,NO,0,"Scope: User","If triggered","Priority order: WH → Sleep → Resp. Upload 2–3 ready bundles by July 13. Defer remaining to August–September."
RESOURCE SUMMARY,2026-06-22,Sprint Resource Summary,ALL,WEEK 1 RESOURCE TOTAL (June 22–28),2026-06-22,2026-06-28,7,—,—,—,43.4,Writing 31 hrs / Design 2.4 hrs / Photography 10 hrs,—,"Highest-intensity week. Writing 5 hrs/day. Photography parallel. Design 1 session/day."
RESOURCE SUMMARY,2026-06-29,Sprint Resource Summary,ALL,WEEK 2 RESOURCE TOTAL (June 29–July 5),2026-06-29,2026-07-05,7,—,—,—,35,Writing 28 hrs / Design 5 hrs / Upload 2 hrs,—,"WH upload + Immunity (4 sessions) + Sleep (3 sessions) writing. All 5 covers complete. Design lock July 3."
RESOURCE SUMMARY,2026-07-06,Sprint Resource Summary,ALL,WEEK 3 RESOURCE TOTAL (July 6–13),2026-07-06,2026-07-13,8,—,—,—,29.9,Writing 14 hrs / Review 5 hrs / Admin 4 hrs / Design 2.9 hrs / Upload 4 hrs,—,"Digestive writing + FTC review + SEO pass + 2 uploads (Resp July 6 / Sleep July 13). Float Day 1 July 12."
RESOURCE SUMMARY,2026-06-22,Sprint Resource Summary,ALL,SPRINT TOTAL (June 22–July 13),2026-06-22,2026-07-13,22,—,—,—,108.3,Writing 73 hrs (adj. 56–66) / Design 10.3 hrs / Photography 10 hrs / Review+Admin 9 hrs / Upload 8 hrs,—,"Adjusted writing: 56–66 hrs with shared-species efficiency. Sprint peak: Week 1 (43.4 hrs). Taper: Week 3 (29.9 hrs)."
