Task ID,Phase,Task Name,Start Date,End Date,Duration (days),Dependencies,Resource,Critical Path (Y/N),Float Days,Status,Notes
W2-05,Week 2 Writing,Sleep: Intro + Valerian complete (800 words; second-year root harvest; valerenic acid; drug interaction warning),2026-07-03,2026-07-03,1,W2-04,Writer,N,2,Not Started,4 hours; drug interaction warning mandatory: "may potentiate sedative medications — consult provider"
W2-06,Week 2 Writing,Sleep: Passionflower complete (700 words; maypop forager crossover; trellis requirements; Appalachian use),2026-07-04,2026-07-04,1,W2-05,Writer,N,2,Not Started,4 hours; Passionflower is the visual thumbnail anchor for Sleep bundle listing
W2-07,Week 2 Writing,Sleep: Lemon Balm condensed + Lavender condensed + shared sections + self-edit pass,2026-07-05,2026-07-05,1,W2-06,Writer,N,2,Not Started,4 hours; both shared species (~300 words each); 3500-word Sleep complete; 2-day float
W2-08,Week 2 Design,Immunity Canva cover — Goldenseal root or Ashwagandha hero; Deep Burgundy palette,2026-06-29,2026-06-29,1,W1-CHKPT,Designer,N,4,Not Started,1.2 hours; runs parallel to W2-01 writing; Goldenseal forest-farm photo if available
W2-09,Week 2 Design,Sleep Canva cover — Passionflower flower hero (unmistakable purple/white); Muted Lavender palette,2026-06-30,2026-06-30,1,W2-08,Designer,N,3,Not Started,1.2 hours; Passionflower is the highest-impact thumbnail in all 5 bundles
W2-10,Week 2 Design,Women's Health zone card (Apothecary Gold accent; existing zone card template),2026-07-01,2026-07-01,1,W1-08,Designer,N,8,Not Started,0.8 hours; zone card template loaded from Phase 2 Track B; high float
W2-11,Week 2 Design,Respiratory zone card,2026-07-02,2026-07-02,1,W1-09,Designer,N,8,Not Started,0.8 hours; 8-day float — purely parallel task
W2-CHKPT,Week 2 Checkpoint,Week 2 sprint checkpoint: Immunity 3800 words done / Sleep 3500 words done / Respiratory upload queued,2026-07-05,2026-07-05,1,W2-07,User review,Y,0,Not Started,If Immunity writing not complete by July 5: activate Contingency 3 — shift Immunity upload to July 27
W3-01,Week 3 Writing,Respiratory upload (AM) + Digestive: Intro + Dandelion complete (900 words; forager-to-herbalist cross-sell hook),2026-07-06,2026-07-06,1,W2-CHKPT,Writer,N,1,Not Started,2 hours upload + 5 hours writing; Dandelion cross-sell hook is the most important bridge in Phase 3
W3-02,Week 3 Writing,Digestive: Calendula (digestive framing; mucosal support; tea not oil) + Lemon Balm (carminative) + shared sections,2026-07-07,2026-07-07,1,W3-01,Writer,N,1,Not Started,4 hours; both are second-occurrence shared species (~300–400 words each); production efficiency
W3-03,Week 3 Writing,Digestive: Ginger complete (700 words; untreated rhizome sourcing; gingerol/shogaol framing; nausea evidence),2026-07-08,2026-07-08,1,W3-02,Writer,N,2,Not Started,4 hours; 3600-word Digestive complete; note grocery-store rhizome must be verified untreated
W3-04,Week 3 Writing,FTC language review — all 5 bundles; disease claim audit; contraindications completeness check,2026-07-09,2026-07-09,1,W3-03,Writer / Editor,N,2,Not Started,3 hours; mandatory for Women's Health (Black Cohosh / Vitex) and Immunity (Goldenseal CITES / Ashwagandha pregnancy)
W3-05,Week 3 Writing,SEO optimization pass — Etsy title/tag keyword density check; confirm 13 tags × under 20 chars per bundle,2026-07-10,2026-07-10,1,W3-04,Writer,N,2,Not Started,2 hours; keyword targets per bundle confirmed in etsy-listing templates file
W3-06,Week 3 Writing,PDF export all 5 bundles from Canva: verify under 5MB / no placeholders / images attributed / covers 2400×2400px,2026-07-11,2026-07-11,1,W3-05,Writer / Designer,N,1,Not Started,2 hours; includes upload prep: file naming / practitioner variant staging / Etsy listing QA
W3-07,Week 3 Design,Digestive cover — Dandelion root cross-section or fresh Ginger rhizome hero; Sage Green palette,2026-07-03,2026-07-03,1,W2-11,Designer,Y,0,Not Started,1.2 hours; zero float — Design Lock July 3 is a hard deadline; no design changes after this date
W3-08,Week 3 Design,DESIGN LOCK July 3 — no cover or zone card changes after this date,2026-07-03,2026-07-03,1,W3-07,Designer,Y,0,Gate,All 5 covers finalized; zone card designs locked; PDF layout frozen
W3-09,Week 3 Design,Immunity zone card,2026-07-06,2026-07-06,1,W2-09,Designer,N,2,Not Started,0.8 hours; 2-day float; parallel to writing track
W3-10,Week 3 Design,Sleep zone card,2026-07-07,2026-07-07,1,W3-09,Designer,N,2,Not Started,0.8 hours; lavender sachet / passionflower motif; 2-day float
W3-11,Week 3 Design,Digestive zone card,2026-07-06,2026-07-06,1,W3-08,Designer,N,2,Not Started,0.8 hours; kraft paper / dandelion motif; 2-day float
W3-12,Week 3 Design,Template consistency review + export test all 5 covers (thumbnail crop at 170×135px),2026-07-07,2026-07-07,1,W3-10 W3-11,Designer,N,2,Not Started,0.5 hours; final pre-export quality check; confirm all covers pass Etsy thumbnail crop
FLOAT-01,Float,Float Day 1 — absorb writing overrun OR Sleep Etsy upload staging prep,2026-07-12,2026-07-12,1,W3-06,User / Writer,N,8,Not Started,8 hours available float; Sleep upload can stage here if PDF export was delayed
FLOAT-02,Float,Float Day 2 — Sleep upload live; sprint retrospective; WORKLOG.md update,2026-07-13,2026-07-13,1,FLOAT-01,User / Writer,N,4,Not Started,4 hours available float; sprint formally closes; bundle 3 of 5 live on Etsy
UPL-01,Upload,UPLOAD: Women's Health (MH-BUNDLE-WH-001 / $22) + practitioner 10-pack,2026-06-29,2026-06-29,1,W2-01,User / Seedwarden,Y,0,Scheduled,First revenue milestone; simultaneously activate Kit women-health-interest + all-bundles-preview email tags
UPL-02,Upload,UPLOAD: Respiratory Health (MH-BUNDLE-RH-001 / $20) + practitioner 10-pack,2026-07-06,2026-07-07,2,W3-01,User / Seedwarden,Y,0,Scheduled,7-day spacing from WH upload; Elderberry keyword peak begins July; Kit respiratory-interest tag
UPL-03,Upload,UPLOAD: Sleep and Nervines (MH-BUNDLE-SN-001 / $20) + practitioner 10-pack,2026-07-13,2026-07-13,1,FLOAT-02,User / Seedwarden,Y,0,Scheduled,Sprint end upload; summer burnout intent peak; Kit sleep-interest tag; 3 bundles live at sprint close
UPL-04,Upload (Post-Sprint),UPLOAD: Immunity Support (MH-BUNDLE-IM-001 / $22) + practitioner 10-pack,2026-07-20,2026-07-20,1,W2-04,User / Seedwarden,N,7,Scheduled,Post-sprint; builds toward November cold/flu peak; Kit immunity-interest tag
UPL-05,Upload (Post-Sprint),UPLOAD: Digestive Support (MH-BUNDLE-DS-001 / $20) + practitioner 10-pack,2026-08-03,2026-08-03,1,W3-03,User / Seedwarden,N,14,Scheduled,14-day gap from Immunity; August forager crossover; FORAGER20 coupon cross-sell trigger active
CONT-01,Contingency,CONTINGENCY 1: Activate Wikimedia CC photo path for Goldenseal (if no order by June 7 EOD),2026-06-07,2026-06-08,1,PRE-07,User / Seedwarden,N,0,Contingency,Email media@ncbg.unc.edu + media@mobot.org; download 3–5 CC-BY-SA Wikimedia images; log in WORKLOG.md
CONT-02,Contingency,CONTINGENCY 2: Activate Option C (3-bundle scope) if Women's Health below 2500 words on Day 3,2026-06-24,2026-06-24,1,W1-03,User / Writer,N,0,Contingency,Move Sleep to Week 2; defer Immunity + Digestive to August; Women's Health June 29 + Respiratory July 6 + Sleep July 13 preserved
CONT-03,Contingency,CONTINGENCY 3: Shift Immunity upload July 27 if writing not complete by July 5,2026-07-05,2026-07-05,1,W2-CHKPT,User / Writer,N,0,Contingency,Negligible revenue impact; all bundles still live before August 10; holiday window fully preserved
CONT-04,Contingency,CONTINGENCY 4: Activate Google Docs PDF fallback if any Canva cover exceeds 2 hours,2026-06-22,2026-07-12,21,W1-08 W1-09 W2-08 W2-09,Designer,N,21,Contingency,Google Docs header + title + zone indicator as text; export PDF; Canva becomes v1.1 design upgrade post-launch
CONT-05,Contingency,CONTINGENCY 5: Minimum viable launch (2–3 bundles) if fewer than 3 complete by July 9,2026-07-09,2026-07-09,1,W3-04,User review,N,0,Contingency,Priority order: (1) Women's Health (2) Sleep and Nervines (3) Respiratory; defer remaining to Aug–Sep
RSRC-01,Resource Summary,Week 1 resource total (June 22–28): Writing 31 hrs / Design 2.4 hrs / Photography 10 hrs (pre-sprint) = 43.4 hrs,2026-06-22,2026-06-28,7,,—,—,—,—,Reference,Per-day average 6.2 hrs; heaviest week; Women's Health + Respiratory both in progress
RSRC-02,Resource Summary,Week 2 resource total (June 29–July 5): Writing 28 hrs / Design 4.4 hrs / Upload admin 2 hrs = 34.4 hrs,2026-06-29,2026-07-05,7,,—,—,—,—,Reference,Per-day average 4.9 hrs; Immunity + Sleep writing; Women's Health upload Day 1
RSRC-03,Resource Summary,Week 3 resource total (July 6–13): Writing 18 hrs / Design 4.3 hrs / Upload admin 4 hrs / Float 12 hrs = 38.3 hrs,2026-07-06,2026-07-13,8,,—,—,—,—,Reference,Includes 2 float days (12 hrs buffer); Respiratory + Sleep upload; Digestive writing complete
RSRC-04,Resource Summary,Sprint total (June 22–July 13): ~116 hrs gross / ~104 hrs working (with float); 22-day window; avg 4.7 hrs/day,2026-06-22,2026-07-13,22,,—,—,—,—,Reference,Post-sprint: Immunity Jul 20 + Digestive Aug 3; all 5 bundles live by Aug 3 on nominal plan
