Date,Platform,Time (local EST),Content_Type,Caption,Hashtags,Link,Image_File,Notes
2026-06-02,Pinterest,08:00 PM,Product Pin,"Zone Quick-Start Card — one page. Your zone. What to plant right now. Free when you sign up.","#zonegardening #gardeningcalendar #growyourown #plantingguide #seedwarden #gardening",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Re-pin zone card with slightly different description — Pinterest allows fresh pins of same link
2026-06-03,Instagram,10:00 AM,Educational - Carousel,"5 vegetables that do surprisingly well in containers (and 2 that definitely don't). Save this for your balcony garden plans.","#containergardening #balconygarden #urbangardening #growyourown #apartmentgarden #seedwarden #gardeningtips",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,5-slide carousel: one vegetable per slide with growing tip
2026-06-03,TikTok,06:00 PM,Educational Video,"Container soil mixing — here's what I skip at the nursery every time and why. #gardening #containers","#containergardening #balconygarden #growyourown #gardeningtips #urbangardening #seedwarden #gardeningtok",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Short educational — match IG carousel topic
2026-06-04,Instagram,10:00 AM,Testimonial - Quote Card,"When a guide teaches you something a seed packet never would. Thank you to everyone who's reached out after buying. This is exactly why I built Seedwarden.","#seedwarden #heirloomseeds #growyourown #etsyseller #smallbusiness #digitaldownload",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/quote-card.jpg,Quote card — use a real message if available; otherwise use paraphrased sentiment
2026-06-04,Pinterest,08:00 PM,Educational Pin,"How to thin seedlings without killing your whole row — the method that actually works.","#seedlings #gardeningtips #growyourown #springgardening #vegetablegarden #seedwarden",Zone Quick-Start Card Etsy listing,assets/zone-cards/zone-5-preview.png,Educational pin drives saves — no hard product push
2026-06-05,Instagram,10:00 AM,Behind the Scenes - Story series,"Behind the scenes: how the Zone Quick-Start Cards were built. One card = 6 data points per crop x 40 crops x 8 zones. Here's what that looked like.","#seedwarden #bts #etsyshop #growyourown #zonegardening",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Story or Reel — show the Canva design process or the research behind frost date tables
2026-06-05,TikTok,11:00 AM,Educational Video,"How to save tomato seeds — and why it's not as simple as just letting them dry. #seedsaving #tomatoes","#seedsaving #tomatoes #heirloomseeds #growyourown #foodsovereignty #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,The fermentation method — detailed step-by-step
2026-06-05,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — how to save seeds from 30 vegetable varieties. Fermentation. Drying. Storage. Everything.","#seedsaving #heirloomseeds #foodsovereignty #growyourown #gardening #sustainablegardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Strong evergreen pin — prioritize in Pinterest queue
2026-06-06,Instagram,09:00 AM,Educational - Reel,"The 5 heirloom varieties I'd grow if I were starting over with a 4x8 raised bed. (These are not the popular ones.)","#heirloomseeds #raisedbed #growyourown #seedsaving #vegetablegarden #urbanfarming #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Strong educational hook — drives saves and shares
2026-06-06,Pinterest,08:00 PM,Educational Carousel Pin,"Zone-by-zone seed starting calendar — when to start seeds indoors (and when you're already too late).","#seedstarting #gardeningcalendar #zonegardening #growyourown #seedlings #springgardening #seedwarden",Zone Calendar Etsy listing,assets/zone-cards/zone-5-preview.png,Seasonal educational content — high save rate
2026-06-07,Instagram,10:00 AM,Educational - Carousel,"Companion planting: the 5 combinations that actually work (based on documented field research, not gardening folklore).","#companionplanting #organicgardening #growyourown #gardeningtips #vegetablegarden #seedwarden",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Reference the chart as the source — drives click-through to listing
2026-06-07,TikTok,06:00 PM,Educational Video,"The 3 companion planting myths people still believe (and what actually works). #gardening #companionplanting","#companionplanting #gardeningtips #organicgardening #growyourown #seedwarden #gardeningtok",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Myth-busting format — strong hook for algorithm
2026-06-08,Instagram,10:00 AM,CTA - Single Image,"Your zone card is free. First name and email is all we need — no credit card, no subscription. Link in bio.","#growyourown #zonegardening #gardeningcalendar #freegarden #seedwarden #etsyshop #heirloomseeds",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Direct CTA post — run weekly rotating with educational content
2026-06-08,Pinterest,08:00 PM,Product Pin,"Harvest Preservation Handbook — 47 recipes for fermenting, canning, drying, and storing your harvest. Print and keep in your kitchen.","#foodpreservation #canning #fermentation #harvest #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Product pin with lifestyle image — kitchen setting
2026-06-09,Instagram,10:00 AM,Educational - Reel,"What does 'days to harvest' actually mean? (It's not what most seed packets say.) #seeds #growyourown","#heirloomseeds #growyourown #gardeningtips #seedsaving #vegetablegarden #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Short educational reel — 30-45 seconds
2026-06-09,TikTok,11:00 AM,Educational Video,"Reading a seed packet — 3 things you probably skip that actually matter. #seeds #gardening","#seeds #gardeningtips #growyourown #heirloomseeds #seedwarden #gardeningtok",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Cross-post from IG Reel if available
2026-06-09,Pinterest,08:00 PM,Educational Pin,"Container soil mix recipe — what actually goes in it (and what you can skip). Better than store-bought potting mix.","#containergardening #soilmix #urbangardening #balconygarden #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,DIY gardening content — high save rate on Pinterest
2026-06-10,Instagram,10:00 AM,Social Proof - Carousel,"3 things people say after buying the guides. Real messages. Unedited.","#seedwarden #etsyseller #growyourown #heirloomseeds #smallbusiness #digitaldownload",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,If no reviews yet: use paraphrased DM/message sentiment; note in caption
2026-06-10,Pinterest,08:00 PM,Educational Pin,"Fermented hot sauce — how to make it last without refrigeration. The lacto-fermentation method.","#hotsauce #fermentation #foodpreservation #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Seasonal preservation content — strong for summer
2026-06-11,Instagram,09:00 AM,Educational - Reel,"Why I stopped buying seeds from big catalogs — and what I use instead. #heirloomseeds #seeds","#heirloomseeds #openpollinated #seedsaving #foodsovereignty #growyourown #seedwarden #gardening",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Values-based content — resonates with core audience
2026-06-11,TikTok,06:00 PM,Educational Video,"How to store seeds so they actually germinate next year. #seedsaving #seeds #gardening","#seedsaving #seeds #heirloomseeds #growyourown #gardening #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Practical technique — pairs with seed saving email in nurture sequence
2026-06-11,Pinterest,08:00 PM,Product Pin,"Container Growing Blueprint — apartment gardeners and balcony growers: this one is for you. 40+ pages on making small spaces productive.","#containergardening #balconygarden #apartmentgarden #urbangardening #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Product pin with urban lifestyle context
2026-06-12,Instagram,10:00 AM,CTA - Story Poll,"Poll: are you growing in a container, a raised bed, or in-ground? (We're trying to figure out what guide to write next.) #growyourown","#growyourown #gardening #seedwarden #urbanfarming #raisedbed #containergardening",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Story with Poll sticker — drives engagement and provides audience intel
2026-06-12,TikTok,11:00 AM,Behind the Scenes Video,"I built these guides in a small apartment with a laptop. Here's what the research process actually looked like. #smallbusiness #creator","#smallbusiness #etsyseller #digitaldownload #growyourown #seedwarden #creatortok",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-bts.jpg,Founder story — builds relatability and trust
2026-06-12,Pinterest,08:00 PM,Educational Carousel Pin,"5 vegetables for a 4x8 raised bed — what to plant and how to maximize yield per square foot.","#raisedbed #vegetablegarden #growyourown #gardening #gardeningtips #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-search-volume topic on Pinterest
2026-06-13,Instagram,09:00 AM,Educational - Reel,"Hot sauce fermentation — why the store-bought version is missing the best part. #hotsauce #fermentation","#fermentation #hotsauce #foodpreservation #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Seasonal content — summer pepper harvest is approaching
2026-06-13,Pinterest,08:00 PM,Product Pin,"Zone Calendar 2026 — when to plant, when to harvest, when to start seeds indoors. Your zone on one page.","#gardeningcalendar #zonegardening #planting #growyourown #seedstartingcalendar #seedwarden",Zone Calendar Etsy listing,assets/zone-cards/zone-5-preview.png,Calendar product pin — evergreen
2026-06-14,Instagram,10:00 AM,Educational - Carousel,"Lacto-fermentation for beginners: the easiest preservation method that doesn't require a canner.","#lactofermentation #fermentation #foodpreservation #canning #growyourown #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Step-by-step carousel — 4-6 slides with technique
2026-06-14,TikTok,06:00 PM,Educational Video,"The preservation method your grandparents used that doesn't need electricity. #fermentation #foodpreservation","#fermentation #foodpreservation #homesteading #growyourown #lactofermentation #seedwarden #gardeningtok",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Cross-post from IG carousel if filmed as reel
2026-06-14,Pinterest,08:00 PM,Educational Pin,"Lacto-fermentation basics — the science behind why it works and how to do it without a kit.","#lactofermentation #fermentation #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Educational pin — strong evergreen search volume
2026-06-15,Instagram,10:00 AM,CTA - Single Image,"Free zone card. No credit card. No subscription. Just tell us your zone and we'll send it. Link in bio.","#growyourown #zonegardening #gardeningcalendar #freegarden #seedwarden #etsyshop",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Rotating CTA post — alternate with educational content
2026-06-15,Pinterest,08:00 PM,Educational Pin,"Open-pollinated seeds vs. hybrid vs. heirloom — what's the actual difference and why does it matter?","#heirloomseeds #openpollinated #seedsaving #growyourown #gardening #sustainability #seedwarden",Heirloom Guide Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-search educational pin — drives traffic year-round
2026-06-16,Instagram,09:00 AM,Educational - Reel,"The number one mistake new growers make with seeds (it's not underwatering). #seeds #gardening","#seedsaving #growyourown #gardeningtips #heirloomseeds #seedwarden #gardening",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Hook-driven short reel — strong for shares
2026-06-16,TikTok,11:00 AM,Educational Video,"Why I ferment my tomato seeds before saving them — the simple science behind it. #seedsaving #tomatoes","#seedsaving #tomatoes #heirloomseeds #growyourown #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Technique explainer — pair with June 19 newsletter
2026-06-16,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — the complete guide to saving seeds from 30 vegetables. Step-by-step for each variety.","#seedsaving #heirloomseeds #openpollinated #growyourown #gardening #foodsovereignty #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Re-pin product with updated description — fresh pin policy
2026-06-17,Instagram,10:00 AM,Social Proof - Story,"Someone just messaged saying they printed their zone card and put it on the fridge. That's exactly the right move. #seedwarden","#seedwarden #growyourown #zonegardening #gardeninglife",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Organic testimonial story — use real message if available
2026-06-17,Pinterest,08:00 PM,Educational Carousel Pin,"How to build a survival garden in any zone — the 6 most calorie-dense vegetables for a small space.","#survivalgarden #growyourown #foodsovereignty #gardeningtips #vegetablegarden #seedwarden",Survival Garden Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-d-composite.jpg,Educational carousel for Cluster D/E product
2026-06-18,Instagram,09:00 AM,Behind the Scenes - Reel,"Building a zone card for 8 different growing zones requires 8 different frost date tables. Here's how that research works.","#seedwarden #bts #growyourown #zonegardening #etsyseller #smallbusiness",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Process content — shows depth and care behind the product
2026-06-18,TikTok,06:00 PM,Educational Video,"What is a growing zone and how do you find yours? (The 60-second explanation.) #gardening #zones","#growingzones #gardeningtips #growyourown #seedwarden #zonegardening #gardeningtok",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Beginner-friendly explainer — broad audience appeal
2026-06-18,Pinterest,08:00 PM,Educational Pin,"What to plant in June — a zone-by-zone breakdown. Download your free zone card at the link.","#june #planting #growyourown #gardeningcalendar #zonegardening #seedwarden",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Seasonal CTA pin — high search volume in June
2026-06-19,Instagram,10:00 AM,CTA - Carousel,"6 reasons people tell us they didn't download the free zone card sooner. (They all say the same thing.)","#zonegardening #growyourown #freegarden #seedwarden #gardeningcalendar",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Carousel objection-handling — addresses common hesitations
2026-06-19,TikTok,11:00 AM,Educational Video,"Container soil vs. garden soil — why you can't just use one for the other. #containergardening #soil","#containergardening #soilmix #urbangardening #growyourown #gardeningtips #seedwarden #gardeningtok",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Practical technique — pairs with June 26 newsletter
2026-06-19,Pinterest,08:00 PM,Product Pin,"Container Growing Blueprint — 40 pages on container vegetables, balcony growing, and small-space food production.","#containergardening #balconygarden #urbangardening #apartmentgarden #growyourown #seedwarden",Container Growing Blueprint Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-b-slot4.jpg,Product pin refresh
2026-06-20,Instagram,09:00 AM,Educational - Reel,"Drying herbs at home — 3 methods and which one actually preserves the flavor. #herbs #foodpreservation","#herbs #dryingherbs #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Summer harvest content — high seasonal relevance
2026-06-20,Pinterest,08:00 PM,Educational Pin,"Drying herbs: the 3 methods compared — air drying vs. oven vs. dehydrator. Which one keeps more flavor?","#dryingherbs #herbs #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Companion pin to IG Reel topic
2026-06-21,Instagram,10:00 AM,Educational - Carousel,"The 5 seed-saving mistakes that ruin viability before the seeds even hit the soil.","#seedsaving #heirloomseeds #growyourown #foodsovereignty #gardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Mistake-format content — high share rate
2026-06-21,TikTok,06:00 PM,Educational Video,"5 seed saving mistakes that killed my whole batch. Don't do what I did. #seedsaving","#seedsaving #heirloomseeds #growyourown #gardening #foodsovereignty #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Strong TikTok format — personal failure story
2026-06-21,Pinterest,08:00 PM,Educational Carousel Pin,"5 common seed saving mistakes — and how to avoid each one.","#seedsaving #heirloomseeds #gardeningtips #growyourown #foodsovereignty #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Evergreen educational carousel
2026-06-22,Instagram,10:00 AM,CTA - Single Image,"Everything in the shop is digital. Download once. Print forever. No subscription. No wait. Link in bio.","#digitaldownload #etsyshop #growyourown #seedwarden #instantdownload #printable",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Rotating CTA — remind followers about digital format
2026-06-22,Pinterest,08:00 PM,Product Pin,"Companion Planting Chart — the research-backed combinations. One page. Print it and pin it next to your planting map.","#companionplanting #gardening #organicgardening #vegetablegarden #growyourown #seedwarden",Companion Planting Chart Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-slot4.jpg,Product pin refresh — updated description
2026-06-23,Instagram,09:00 AM,Educational - Reel,"Canning tomatoes without a pressure canner — the water bath method and when it's safe. #canning #foodpreservation","#canning #foodpreservation #tomatoes #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Safety-focused educational — high trust-building
2026-06-23,TikTok,11:00 AM,Educational Video,"Water bath canning — what you can and can't can safely. #canning #foodpreservation #homesteading","#canning #foodpreservation #homesteading #growyourown #seedwarden #gardeningtok",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Cross-post from IG Reel
2026-06-23,Pinterest,08:00 PM,Educational Pin,"Water bath canning guide — the complete beginner checklist for safe home canning.","#canning #foodpreservation #homesteading #growyourown #kitchenpreservation #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Safety + educational — high Pinterest save rate
2026-06-24,Instagram,10:00 AM,Social Proof - Carousel,"What people actually do with these guides. Real use cases from real growers.","#seedwarden #growyourown #heirloomseeds #etsyseller #smallbusiness #digitalgarden",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Social proof at 25-day mark — aggregate any reviews or DMs received
2026-06-24,Pinterest,08:00 PM,Product Pin,"Harvest Preservation Handbook — summer is when you need this. 47 methods for preserving what you grow.","#foodpreservation #harvest #canning #fermentation #drying #homesteading #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Summer seasonality push
2026-06-25,Instagram,09:00 AM,Educational - Reel,"How to read a USDA Plant Hardiness Zone map — and why your zone matters more than your state. #gardening","#growingzones #gardeningtips #growyourown #zonegardening #seedwarden #USDA",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Educational — leads naturally to zone card CTA
2026-06-25,TikTok,06:00 PM,Educational Video,"Your USDA zone is not your microclimate — here's the difference and why it matters. #gardening","#growingzones #gardeningtips #growyourown #seedwarden #zonegardening #gardeningtok",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Pairs with IG Reel — upload natively
2026-06-25,Pinterest,08:00 PM,Educational Pin,"How to find your USDA Plant Hardiness Zone — and what it actually tells you about your garden.","#growingzones #gardeningcalendar #USDA #zonegardening #growyourown #seedwarden",Kit landing page URL,assets/zone-cards/zone-5-preview.png,High search volume — zone finder content
2026-06-26,Instagram,10:00 AM,CTA - Reel,"30 days of Phase 2. Here's what I've learned from the first month and what's coming in the shop next.","#seedwarden #30days #etsyseller #smallbusiness #growyourown #heirloomseeds",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,30-day milestone reflection — builds audience loyalty and sets up Phase 3 anticipation
2026-06-26,TikTok,11:00 AM,Milestone Video,"30 days in — what the Phase 2 launch actually looked like. Real numbers. Real challenges. #smallbusiness #etsy","#smallbusiness #etsyseller #creator #growyourown #seedwarden #creatortok",Kit landing page URL,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Transparent milestone content — strong for trust-building
2026-06-26,Pinterest,08:00 PM,Educational Pin,"What to plant in late June — zone-by-zone second planting guide for summer succession.","#june #planting #growyourown #successionplanting #gardeningcalendar #seedwarden",Zone Calendar Etsy listing,assets/zone-cards/zone-5-preview.png,Seasonal content — fresh for late June
2026-06-27,Instagram,09:00 AM,Educational - Carousel,"Seed storage 101 — how long each vegetable seed actually stays viable (and how to test old seeds).","#seedsaving #seeds #heirloomseeds #growyourown #gardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,High-value educational — drives saves and profile visits
2026-06-27,TikTok,06:00 PM,Educational Video,"The germination test — how to check if old seeds are still worth planting. #seeds #seedsaving","#seeds #seedsaving #heirloomseeds #growyourown #gardeningtips #seedwarden #gardeningtok",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Practical tip — pairs with seed saving theme
2026-06-27,Pinterest,08:00 PM,Product Pin,"Seed Saving Field Manual — end of June is the right time to start saving your first seeds. Here's how.","#seedsaving #heirloomseeds #summer #growyourown #foodsovereignty #gardening #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Seasonally timely product push — June seed saving window
2026-06-28,Instagram,10:00 AM,CTA - Single Image,"The free zone card. Still free. Still one page. Still the fastest way to know what to plant this week.","#growyourown #zonegardening #gardeningcalendar #freegarden #seedwarden",Kit landing page URL,assets/zone-cards/zone-5-preview.png,Simple direct CTA — rotate monthly
2026-06-28,Pinterest,08:00 PM,Educational Carousel Pin,"The seed saving timeline — when to collect seeds from 10 popular vegetables (by month).","#seedsaving #heirloomseeds #gardeningcalendar #growyourown #foodsovereignty #seedwarden",Seed Saving Field Manual Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-a-hero.jpg,Calendar-format pin — high save rate
2026-06-29,Instagram,09:00 AM,Educational - Reel,"The difference between fermenting and canning — and which one I use for what. #fermentation #canning","#fermentation #canning #foodpreservation #homesteading #growyourown #seedwarden",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Practical comparison — drives interest in both preservation methods
2026-06-29,TikTok,11:00 AM,Educational Video,"Fermenting vs canning — a quick breakdown for people who want to preserve food without a canner. #fermentation","#fermentation #canning #foodpreservation #homesteading #growyourown #seedwarden #gardeningtok",Harvest Preservation Handbook Etsy listing,marketing/lifestyle-photos/etsy-ready/cluster-c-slot4.jpg,Cross-post from IG reel
