shot_id,cluster,shoot_date,species_common,species_scientific,subject_type,shot_description,surface_or_setting,lighting_condition,scale_reference,prop_source,sequence_position,frame_count_target,frames_captured,keeper_selected,keeper_filename,resolution_px,file_size_kb,license_type,attribution_required,attribution_text,inaturalist_obs_url,bhl_item_id,notes,qa_pass
C1-013,Cluster 1 — Temperate Forest,2026-05-17,Mixed — multiple species,Multiple,Atmospheric,Understory composition — fern and moss on tree trunk,Forest interior,Natural,none,none,13 of 30,2,,,,,,,,,,,Backdrop for guide cover or chapter header
C1-014,Cluster 1 — Temperate Forest,2026-05-17,Lookalike species,TBD on site,Lookalike,Lookalike comparison — photograph 1 common lookalike per target species encountered,Forest,Natural,ruler,Wild — public land,14 of 30,3,,,,,,,,,,,Document species name in notes; photograph any Poison Hemlock or other safety-relevant lookalike
C1-015,Cluster 1 — Temperate Forest,2026-05-17,Backup,N/A,Backup,Backup / outtake pass — fill any sequence gaps from sessions above,Forest,Natural,varies,varies,15 of 30,3,,,,,,,,,,,Review all previous shots before this pass; identify specific gaps
C2-001,Cluster 2 — Riparian and Wetland,2026-05-18,Watercress,Nasturtium officinale,Habitat context,Wide riparian habitat — creek bank and flow composition,Creek bank — Bent Creek / French Broad corridor,Natural morning light,none,Wild — National Forest,1 of 30,3,,,,,,,,,,,Morning light 8-10 AM preferred. Check flood gauge before departing (USGS 03451500)
C2-002,Cluster 2 — Riparian and Wetland,2026-05-18,Watercress,Nasturtium officinale,Habitat context,Low-angle showing watercress leaves floating on moving water,In-stream or at water margin,Natural,none,Wild — public land,2 of 30,3,,,,,,,,,,,Rubber boots required for this shot — enter water margin carefully
C2-003,Cluster 2 — Riparian and Wetland,2026-05-18,Watercress,Nasturtium officinale,Detail,Leaf detail — pinnate form against water background,At water surface,Natural,quarter,Wild — public land,3 of 30,2,,,,,,,,,,,
C2-004,Cluster 2 — Riparian and Wetland,2026-05-18,Elderberry,Sambucus canadensis,Habitat context,Elderberry wide habit — showing full shrub in riparian setting,Riparian shrub margin,Natural,none,Wild — public land,4 of 30,3,,,,,,,,,,,Late spring — likely in bloom stage (white flat-topped flower clusters)
C2-005,Cluster 2 — Riparian and Wetland,2026-05-18,Elderberry,Sambucus canadensis,Detail,Flower cluster — close showing corymb structure,Riparian margin,Natural,quarter,Wild — public land,5 of 30,3,,,,,,,,,,,
C2-006,Cluster 2 — Riparian and Wetland,2026-05-18,Cattail,Typha latifolia,Habitat context,Cattail colony — wide showing emergent aquatic community,Wetland or pond margin,Natural,none,Wild — public land,6 of 30,2,,,,,,,,,,,
C2-007,Cluster 2 — Riparian and Wetland,2026-05-18,Cattail,Typha latifolia,Detail,Pollen head detail — close showing cylindrical form,At margin,Natural,quarter,Wild — public land,7 of 30,2,,,,,,,,,,,May = pollen stage before brown sausage form develops
C2-008,Cluster 2 — Riparian and Wetland,2026-05-18,Stinging Nettle,Urtica dioica,Habitat context,Nettle patch at riparian edge — showing colony growth form,Riparian margin,Natural,none,Wild — public land,8 of 30,2,,,,,,,,,,,
C2-009,Cluster 2 — Riparian and Wetland,2026-05-18,Stinging Nettle,Urtica dioica,Detail,Leaf detail — toothed serrated margin showing opposite arrangement,Riparian edge,Natural,quarter,Wild — public land,9 of 30,2,,,,,,,,,,,Do not touch leaves bare-handed
C2-010,Cluster 2 — Riparian and Wetland,2026-05-18,Wild Bergamot,Monarda fistulosa,Habitat context,Wild Bergamot in transition zone — bud stage if visible,Meadow edge / shrub margin,Natural,none,Wild — public land,10 of 30,3,,,,,,,,,,,Late May Zone 5 — bud stage probable; full bloom July. Document bud for phenology content.
C2-011,Cluster 2 — Riparian and Wetland,2026-05-18,Mixed — multiple species,Multiple,Atmospheric,Riparian bank composition — water surface and bank edge,Creek bank,Natural morning light,none,none,11 of 30,3,,,,,,,,,,,
C2-012,Cluster 2 — Riparian and Wetland,2026-05-18,Mixed — multiple species,Multiple,Atmospheric,Transition zone — wet meadow and shrub margin composition,Meadow-riparian edge,Natural,none,none,12 of 30,2,,,,,,,,,,,
C2-013,Cluster 2 — Riparian and Wetland,2026-05-18,Backup,N/A,Backup,Backup pass — any species encountered that are unexpected,Riparian / meadow,Natural,varies,varies,13 of 30,3,,,,,,,,,,,Document any unexpected edible species with species name in notes field
C3-001,Cluster 3 — Studio / Indoor Specimens,2026-05-19,American Ginseng,Panax quinquefolius,Prop — dried root,Whole root on white card — showing forked taproot structure,White foam board,Diffused north window,US quarter,Mountain Rose Herbs,1 of 30,4,,,,,,CC-BY (prop — no image license needed for self-photographed),,Self-photographed prop,,,Photograph whole root first before cutting. Set white balance to auto; correct in post if needed.
C3-002,Cluster 3 — Studio / Indoor Specimens,2026-05-19,American Ginseng,Panax quinquefolius,Prop — dried root,Root cross-section on white card — showing internal structure,White foam board,Diffused north window,US quarter + ruler,Mountain Rose Herbs,2 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Cut cleanly with sharp knife; photograph within 10 minutes of cutting. Small amount of water spray can bring out texture.
C3-003,Cluster 3 — Studio / Indoor Specimens,2026-05-19,American Ginseng,Panax quinquefolius,Prop — dried root,Root on dark linen — atmospheric lifestyle shot,Dark linen cloth (olive or charcoal),Diffused north window,none,Mountain Rose Herbs,3 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,No scale reference in this frame — atmospheric use only (not identification)
C3-004,Cluster 3 — Studio / Indoor Specimens,2026-05-19,American Ginseng,Panax quinquefolius,Prop — dried root,Scale reference shot — root alongside ruler,White foam board,Diffused north window,ruler (metric side visible),Mountain Rose Herbs,4 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-005,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Prop — dried root,Whole dried root on white card — showing texture and color,White foam board,Diffused north window,US quarter,Mountain Rose Herbs,5 of 30,4,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Photograph before cutting
C3-006,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Prop — dried root,Cross-section — before misting (baseline color),White foam board,Diffused north window,quarter,Mountain Rose Herbs,6 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Cut immediately before photographing; capture dry state first
C3-007,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Prop — dried root,Cross-section — after misting (deepened yellow color) — MUST SHOOT WITHIN 5 MIN OF MISTING,White foam board,Diffused north window,quarter,Mountain Rose Herbs,7 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,TIMER CRITICAL: mist root; set 5-minute phone timer; photograph before timer expires. Yellow color dulls as moisture evaporates. This is the hero image.
C3-008,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Prop — seeds,Seed packet flat-lay on white card or wood surface,White foam board or wood plank,Diffused north window,none,Strictly Medicinal Seeds,8 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Only if Strictly Medicinal package has arrived. Skip if not yet received — seeds are supplementary
C3-009,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Prop — dried root,Dark linen atmospheric shot — heritage medicinal herb framing,Dark linen cloth,Diffused north window,none,Mountain Rose Herbs,9 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-010,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Ramps / Wild Leek,Allium tricoccum,Prop — fresh leaves,Ramp leaves bundle on white card — showing reddish stem base,White foam board,Diffused north window,ruler,Farmers market — purchase May 17-18,10 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Mist leaves lightly just before shooting. Refrigerate between setups. DO NOT let leaves wilt — reshoot if wilted.
C3-011,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Ramps / Wild Leek,Allium tricoccum,Prop — fresh leaves,Single ramp leaf — close showing lance-shaped form and reddish base,White foam board,Diffused north window,quarter,Farmers market,11 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-012,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Ramps / Wild Leek,Allium tricoccum,Prop — bulb,Ramp bulb / bulblet showing elongated white form with reddish stem and papery skin,White foam board,Diffused north window,quarter,Prairie Moon Nursery (if received),12 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Only if Prairie Moon bulblets received; use iNaturalist CC-BY if not available
C3-013,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Ramps / Wild Leek,Allium tricoccum,Prop — fresh leaves,Dark linen atmospheric — leaves arranged showing spring harvest visual,Dark linen cloth,Diffused north window,none,Farmers market,13 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-014,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Black Cohosh,Actaea racemosa,Prop — live plant,Full plant habit — showing compound leaf structure and stem,Indirect light — north window or shaded table,Diffused natural light,ruler,Strictly Medicinal Seeds,14 of 30,4,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,ONLY photograph if plant arrived by May 17 (48-hour acclimatization complete). If not yet received or acclimated: skip; use iNaturalist CC-BY fallback.
C3-015,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Black Cohosh,Actaea racemosa,Prop — live plant,Compound leaf detail — showing ternate division and serrated toothed margin,Indirect light,Diffused natural,quarter,Strictly Medicinal Seeds,15 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-016,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Black Cohosh,Actaea racemosa,Prop — live plant,Compound leaf — second angle showing leaf undersurface (paler green),Indirect light,Diffused natural,quarter,Strictly Medicinal Seeds,16 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-017,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Black Cohosh,Actaea racemosa,Prop — live plant,Stem base showing emergence from soil and base structure,Indirect light,Diffused natural,quarter,Strictly Medicinal Seeds,17 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-018,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Black Cohosh,Actaea racemosa,Prop — live plant,Emerging bud if present — close of any reproductive structure visible,Indirect light,Diffused natural,quarter,Strictly Medicinal Seeds,18 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Only if flower bud visible on plant received. Document presence/absence in notes.
C3-019,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Wild Bergamot,Monarda fistulosa,Prop — live plant,Full plant habit — showing opposite-branched stem and leaf arrangement,North window or shaded table,Diffused natural,ruler,Local garden center — purchased May 12,19 of 30,4,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-020,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Wild Bergamot,Monarda fistulosa,Prop — live plant,Flower head — if blooming; showing lavender pom-pom-like flower cluster,North window,Diffused natural,quarter,Local garden center,20 of 30,4,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,If not yet in bloom: document bud stage; full bloom will be available for iNaturalist CC-BY archive photo from July
C3-021,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Wild Bergamot,Monarda fistulosa,Prop — live plant,Leaf and stem detail — showing square stem and opposite leaves,North window,Diffused natural,quarter,Local garden center,21 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Square stem is a family identifier (Lamiaceae) — worth capturing as diagnostic feature
C3-022,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Wild Bergamot,Monarda fistulosa,Prop — live plant,Bud close — showing developing flower head structure,North window,Diffused natural,quarter,Local garden center,22 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-023,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Combination — multiple specimens,Multiple species,Prop — multiple,Combination flat-lay — ginseng root / goldenseal root / ramp leaf together,White foam board or wood surface,Diffused north window,none,Multiple vendors,23 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Etsy listing thumbnail use — shows the scope of the bundle. Keep spacing clean.
C3-024,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Combination — multiple specimens,Multiple species,Prop — multiple,Combination lifestyle flat-lay on dark linen — heritage botanical framing,Dark linen cloth,Diffused north window,none,Multiple vendors,24 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-025,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Combination — multiple specimens,Multiple species,Prop — multiple,Kraft envelope with seed packet and root — educational kit composition,White foam board or wood,Diffused north window,none,Multiple vendors + kraft envelope,25 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Kraft seed envelopes from SHOOT_PROPS_CHECKLIST.md if available
C3-026,Cluster 3 — Studio / Indoor Specimens,2026-05-19,American Ginseng,Panax quinquefolius,Scale reference,Scale reference verification — US quarter next to ginseng root,White foam board,Diffused north window,US quarter (mandatory),Mountain Rose Herbs,26 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Confirm quarter is legible in frame; used for editorial consistency across all root shots
C3-027,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Goldenseal,Hydrastis canadensis,Scale reference,Scale reference verification — ruler next to goldenseal root cross-section,White foam board,Diffused north window,ruler metric side visible,Mountain Rose Herbs,27 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,
C3-028,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Backup — all specimens,All species,Backup,Review gaps from sequences above — re-shoot any missed frames,Varies,Diffused natural,varies,varies,28 of 30,3,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Check shot log for any sequence position with 0 frames captured; fill gaps before ending session
C3-029,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Backup — all specimens,All species,Backup,Lighting variation pass — try slightly different angle if any key shot is flat or unclear,Varies,Adjusted window angle,varies,varies,29 of 30,2,,,,,,CC-BY (prop — self-photographed),,Self-photographed prop,,,Rotate the specimen or move it relative to the light source rather than moving the light
C3-030,Cluster 3 — Studio / Indoor Specimens,2026-05-19,Backup — general,N/A,Backup,Final session check — import all frames; confirm no SD card or storage errors,N/A,N/A,N/A,N/A,30 of 30,1,,,,,,,,,,,,Back up all captures to a second device before ending session. Do not rely on phone memory only.
